,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1676713,5,B00005YU82,"I can't wait for this DVD to be out, Friends is the greatest show on TV ever, and their first season is one of the best... this is a keepsake DVD without doubt :)",1012521600,,162,3.7941176470588234
1676714,5,B00005YU82,"Friends is one of my all-time favorite series and while the Best Of DVDs are nice, they keep skipping excellent episodes such as ""The Princess Leia Fantasy"" and the 2-part ""Ross and Rachel Take a Break,"" and while those are third season episodes, it's nice to know they'll soon be covered.  The first season's excellent though, and I look forward to seeing all the original uncut and extended episodes, most of which I'll be seeing uncut for the first time.  Now if only we could get DVD treatment for shows such as Seinfeld and Married With Children...",1012262400,8,553,4.690721649484536
1676715,5,B00005YU82,"Finally, Warner Brothers comes to their senses and releases Friends on a season by season basis instead of those ""best of"" collections which is good but not as good as season by season.
The first season is probably one of the best seasons of the Friends show.  It's hysterical and one of the best shows on television.",1011830400,9,317,4.56140350877193
1676736,1,B00005YU82,"Received this and my daughter gave it to her friend as a Christmas gift and NO damn DVD!  How embarrassing giving this as a gift, box sealed and then unwrap it and nothing it. Disgusting",1513555200,,186,4.314285714285714
1676737,1,B00005YU82,Bought this as a gift for my daughter and she opened it to find no dvd inside the case. My return window has passed and for the cost Im not even going to bother trying to get a refund but be careful if you plan to order!,1512259200,,220,3.702127659574468
1676738,5,B00005YU82,Order came fast. Perfect,1511222400,,24,5.25
1676739,5,B00005YU82,What can I say? Friends is always a good purchase with a Great cast at a good price.,1506470400,,84,3.7222222222222223
1676740,5,B00005YU82,Purchased for my 16 year old daughter and she's  a fan.,1503100800,,55,4.0
1676741,5,B00005YU82,Perfect exactly what I wanted thank you,1502150400,,39,4.714285714285714
1676742,5,B00005YU82,This made a good gift for our young nephew.  He wasn't even born when this series started but he loves it.  We'll give him more of the series now that we know he likes it.,1500940800,2,171,3.857142857142857
1676743,5,B00005YU82,I mean it's friends so 5/5 all the way. No other review needed!,1499990400,,63,3.923076923076923
1676744,5,B00005YU82,Thank u,1499904000,,7,3.0
1676745,5,B00005YU82,Everything was great,1499126400,,20,6.0
1676747,5,B00005YU82,my friends,1495670400,,10,4.5
1676748,5,B00005YU82,"After watching this I wondered why the hell nobody suggested me this earlier, I've watched 10 seasons within one month only, I could not sleep without watching its episode and then one led to another, so basically I could not sleep properly for one complete month but I do not regret it a bit, its worth every second. And after completing this also I never get over this, I watch clips as youtube keeps them recommending and I just cant ignore them, again one led to another and almost I watch them as much time I don't have to do other stuffs. I love falling for Rachel over and over again, she is a dream and I took Ross and Rachel story as main lead, although there were no leads exactly, everyone have there own screen space, Joey, even not being a known friend from their college time made best impression within the group, as a friend, a lover, a human and entertainer. Monica is a very strong character which you do not just want to mess around, and Pheobe could make any moment different on which Chandler can make you laugh and Ross try to convince you for something but he lost his way finding too much logic. You cannot imagine Friends without anyone of them, their bonding, fight, laughter, games, logic, roaming around, passing time, you just want to be there every time. You can feel that you're a part of them, you may not be their friend, but they are yours, they advise on anyhting and everything about any situaton, watching this so fast made major change in me, I can feel that, I'm much happier now, and whenever I feel sad, or doing like nothing I re-watch any random clip, just make me lighter and happier. I haven't yet started watching any TV Shows after watching this, just don't want to get over this, And if you've not watched it yet you just don't know what a sitcom content could be.",1493510400,,1812,4.411940298507463
1676749,1,B00005YU82,No idea.  The DVD I received was factory sealed but there was no disc inside.,1492732800,,77,4.133333333333334
1676750,5,B00005YU82,big fan,1488153600,,7,3.0
1676751,5,B00005YU82,"Bought as a gift, but I also have a copy. I enjoy catching all the episodes with commentaries as well and have an even greater appreciation for the talent of the writers and everyone else involved behind the scenes, in addition to the actors. What a great ensemble - no wonder the series lasted 10 seasons!",1487635200,,306,4.482142857142857
1676752,5,B00005YU82,This is by far the best! So funny! The chemistry between the characters is amazing.,1486857600,,83,4.6
1676753,5,B00005YU82,What's not to like?,1483660800,,19,4.0
1676754,5,B00005YU82,Worked just fine...,1483056000,,19,5.666666666666667
1676755,5,B00005YU82,"Great gift, my boyfriend collects all these video games, movies, etc.",1483056000,,69,5.363636363636363
1676756,5,B00005YU82,Lots of laughs. And we could all use some laughs.,1482537600,,49,4.0
1676769,5,B00005YU82,Best show ever. Still the best.,1482105600,,31,4.333333333333333
1676770,5,B00005YU82,One of the great 90s shows. Always had me laughing and I will forever watch the Retuns. Character were well written and did an amazing job of acting,1476921600,,148,4.321428571428571
1676771,5,B00005YU82,Great!,1476748800,,6,6.0
1676772,5,B00005YU82,Great item. Just as described.,1474588800,,30,5.2
1676773,5,B00005YU82,Very funny!,1472774400,,11,5.0
1676774,1,B00005YU82,Arrived broken on the inside.,1472688000,,29,5.0
1676775,5,B00005YU82,Too funny!,1472256000,,10,4.5
1676776,5,B00005YU82,Love Friends,1472256000,,12,5.5
1676777,5,B00005YU82,Great DVD collection for every Friends fan! This is a must have!,1471305600,,64,4.416666666666667
1676778,5,B00005YU82,Aaa,1469404800,,3,3.0
1676802,5,B00005YU82,"Loved the show back when it was on, still do.",1468972800,,45,3.6
1676803,5,B00005YU82,"Some sitcoms just pass the test of time and Friends is one of those. No matter how many times you've seen the episodes, it's great to curl up and relive the stories. The box set makes it a nice gift for a Friends fan or yourself.

Like most people, I rely on honest product reviews to make purchase decisions. Because the experience of others has been so helpful to me, I try to provide honest, helpful reviews to assist other shoppers in selecting the right products for them. I hope my review has been helpful to you!",1468281600,2,519,4.350515463917525
1676804,5,B00005YU82,I LOVE FRIENDS!!!,1465430400,,17,5.0
1676805,5,B00005YU82,Best show in the world.,1463788800,,23,3.8
1676806,5,B00005YU82,Like,1463270400,,4,4.0
1676807,5,B00005YU82,Super fast shipping and item as described!  Thank you!,1461369600,,54,5.0
1676808,5,B00005YU82,This is my first ever amazon order and I loved it!  One of the best ever sitcoms I have watched.  Then watched again a million times!!,1461024000,,134,4.115384615384615
1676809,1,B00005YU82,I opened the dvd. Too find no DVD,1460678400,,33,3.25
1676810,4,B00005YU82,Skipped a little at the beginning but other than that pretty happy with this purchase,1459987200,,85,4.733333333333333
1676811,5,B00005YU82,Great condition. I LOVE this and am so happy to own it,1459296000,,54,3.5833333333333335
1676852,5,B00005YU82,I love the show,1459209600,,15,3.0
1676853,1,B00005YU82,Other than the quick delivery my order is not satisfactory in the slightest. My order was supposed to include a 4 disk set of the complete FIRST season of Friends. I received a single disk 1 of the FIFTH season. It looks like my husband and I will not be watching Friends this weekend.,1458864000,,285,4.296296296296297
1676854,5,B00005YU82,Good!,1458691200,,5,5.0
1676855,5,B00005YU82,Priceless,1455580800,,9,9.0
1676856,5,B00005YU82,Brilliant!,1453593600,,10,10.0
1676857,5,B00005YU82,I love it,1452211200,,9,2.3333333333333335
1676858,5,B00005YU82,Arrived faster then should amazing season,1450569600,,41,6.0
1676859,5,B00005YU82,Great to have this in blu ray,1448236800,,29,3.2857142857142856
1676860,5,B00005YU82,Awesome quality,1447977600,,15,7.0
1676861,5,B00005YU82,A favorite I can what again and again.,1447113600,,38,3.875
1676892,5,B00005YU82,Friends forever <3,1447027200,,18,5.333333333333333
1676893,5,B00005YU82,"Purchased as present, great deal",1446163200,,32,5.6
