,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1714767,5,B000067FP9,"My kids both LOVE the Magic School Bus videos. My son watched one in Kindergarten and raved about it so much that we bought them all--and we've never been disappointed. We have all learned fun, new facts. The kids watch them again and again.",1193875200,,241,4.5
1714768,5,B000067FP9,"I homeschool (unschool) my son, and the Magic School Bus series is GREAT for teaching kids science. We have 4 DVD sets and a few VHS's.

If you're unfamiliar with the premise, the central characters are Ms. Frizzle (a teacher), her class, Liz the lizard and the Bus. Ms. Frizzle takes her class on crazy field trips, where Bus--and sometimes the kids!--experience a transformation so they can get closer to the action. (For example, become a bee or turning into water droplets.)

One of our most recent purchases was Creepy, Crawly Fun! and it's excellent as always. These three episodes are:

*Inside the Haunted House - Acoustics and hearing

*Going Batty - Nocturnal creatures and echolocation

*Spins a Web - The life of spiders

There is also a few interactive and DVD-ROM features, by my son hasn't used those.

This CD runs about 90 minutes and is supposedly geared towards children 3-8. Personally, I think the age-appropriate range is more like 6-10 because of the complex concepts introduced.

However, if younger kids enjoy it--more power to them! It certainly can't hurt to introduce science to younger kids if the Magic School Bus holds their interest.

My 8-year old son really enjoys the series now (he didn't get into it when he was younger), so I use the Magic School Bus series to supplement our learning/experimenting with science principles. And, my son seems to love Creepy, Crawly Fun--especially where Ms. Frizzle's voice is distorted!

Also, this would be a great DVD for Halloween time--especially since it's educational!",1181260800,4,1546,5.00390625
1714769,5,B000067FP9,Very fun and educational!!! Very creative and fun to watch!! Colorful--bright and great kids!!! Sooooo much fun!!,1179014400,,113,5.705882352941177
1714770,5,B000067FP9,"I was quite surprised at the quality of the programes, so much infomation on so many levels. Easily digested visually and verbally. It presents facts that are both sound and accurate for the range of age groups specified. As a teacher I can heartily reccommend the Magic School Bus series.

If you want to know more about bugs, bats and spiders this is one to have . I would also reccommend MSB Bugs,Bugs, Bugs!!! which is about Ants, Butterflies and Bees. Both of these DVDs are up to MSB's usual standard of excellence.",1175385600,2,521,4.602150537634409
1714771,5,B000067FP9,"My Daughter loved this, she likes Scooby Doo and halloween, it is just scary enough to be fun without being the cause of nightmares. The toy made the movie more fun for her, she like to have it handy while watching the movie --it increases her participation in the stories.",1168473600,,273,4.48
1714772,5,B000067FP9,First-rate educational entertainment for the whole family.,1167868800,,58,7.428571428571429
1714773,4,B000067FP9,"The DVD is excellent in teaching scientific facts, for instance, my 3 year old loves the episode on bats, and has learned much from it. (She corrected me when I said bats were blind.) I also give it high marks beause the teacher does not always answer the children's questions, but instead leads them to a situation where they can discover the answers themselves through interaction and experimentation. My only negative comment is to get to the situation always involves some ""magical"" transformation. It just seemly highly ironic to juxtapose scientific explanations with impossible magical transformations, but the kids love it.",1158019200,3,631,5.257425742574258
1714774,5,B000067FP9,"My son and daughter love this magic school bus dvd.  they watch it all the time.  he is four and she is two.  also, they love the human body dvd.  well worth the money.",1152144000,,168,3.8529411764705883
1714785,4,B000067FP9,"My son is 4 and pretty sensitive about scary things. This video, especially the first episode, is a bit scary. He's getting into an ""I'm so brave. I'm not afraid of anything."" phase right now, but I'm pretty certain that if I had showed him this video a couple of months ago, he never would've made it through the whole thing.
Once you get past the scary bits though, it's very entertaining and educational. We love these videos! Human Body and Space Adventures are my son's favorites.",1317772800,,485,4.586206896551724
1714786,5,B000067FP9,I cannot believe how addicted my 3 year old daughter is to The Magic School Bus. She can watch any of the DVD's over and over. It is wonderful to know that she is watching educational cartoons. She loves the books as well.,1317686400,,222,4.186046511627907
