,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1843523,5,B00008G6GK,"His and Her Circumstances is incredibly funny. Though the storytelling is very direct in the beginning, and character development pretty much done in the first few episodes, the whole series was very enjoyable to watch. This isn't a typical love story with all the backstabbing, exaggerated angst you'd find in a series like, say, fushigi yuugi. His And Her Circumstances, is almost an acquired taste since its niether fast paced nor full of plot turns. Some people whine about the whole still pictures with floating text thing, but it works well to give the story a subtle, reflective flavor to it that makes you think.",1077753600,5,620,4.914285714285715
1843524,4,B00008G6GK,"Two kids in high school, one a girl named Yukino Miyazawa who is a hard working student because she loves the praise and attention it gets her, and the other a boy, named Souichirou Arima,who comes along and takes it away from her, by being the perfect boy.  Of course, this pisses her off and that's when the fun starts.
Yukino does all she can to plot her revenge, but what happens when he tells her he loves her?  And what happens when she realizes she might love him too?
The story is somewhat realistic in the plot, there are no aliens or robots here, just love, hate, need and friendships.  The artwork, and music, changes, depending on the inside thoughts of the characters and whose point of view we happen to be watching.  Sometimes it looks like something out of a black and white film and other times it makes Southpark look like a classic!  But it made me laugh and, a couple of times, almost made me cry.  The characters are all flawed, yet sometimes very strong and very real.  While they sometimes get confused, they don't act stupid nor do they just let things get worse while they whine.  They charge ahead and try to change things for the better, even if things sometimes get really messy.
There are lots of recaps and flashbacks.  Also, the reason I dropped a point was because there is no closure.  There better be another anime series in the making, otherwise I'll have get the manga to figure out what happens next!
OK for males and females, so guys, buy it too!",1077580800,42,1484,4.442804428044281
1843525,5,B00008G6GK,"I have to admit, I was pretty scared. I received the first KareKano DVD as a birthday gift and it was one of the coolest animes I've seen to date.  I truly loved it! After that I began my scheme of how should I put this, gathering funds for my rather expensive investment :p. hehe. Eventually I saved enough dough, and bought the rest of it. The part I was ""scared"" about came after that purchase.  You see, I was so looking forward to my DVDs, I decided to snoop around and read the reviews, and whatever, but I was SHOCKED when I read one of the reviews.  I was really frightened at well... how many unpleasant reviews it received. So I was a LOT more anxious, and a LOT more worried. This is my first REAL anime DVD collection, I've seen other anime, but this was the most expensive most definitely NO REGRETS though! Maybe it's because I read those reviews and I was intent on enjoying them that I did, but this series deserves more credit than given :). I have to admit there were certain parts that were rather disappointing. In my opinion there was at the most 2.5 episodes that were a total waste of time and money, but whatever, everything else rocked!
In a lot of the reviews, I noticed that people were unsatisfied with the ""ending"" of KareKano... (yea I'm disappointed too)BUT I guess I'm still happy with it cause I love it so much. I guess I'm just looking at it as... the end of that DVD... and i'm hoping, and praying that they will continue with it (not gonna happen most likely, but one can dream :)). There was that rather odd episode where there really were cut out figures moved along on sticks -_-"" haha, but i found it amusing more than annoying. (Perhaps I'm writing this review in its defense cause I spent a lot of my money on it haha).
The thing I really enjoyed about KareKano is, is that there doesn't seem to be any ""useless"" characters anywhere, they all had their stories to be told, and they were all very touching. It's not only about the love between some teenage couple either, I noticed that there were a lot of themes involving family as well. Something else I saw a little differently was that, although at first they come right out and the characters intentions are revealed, I just found it amusing the way they did it, it was like they were trying to make it funny rather than shove it down anyone's throats. Not all the characters are presented in this manner though, the rest are rather interesting in their own way and revealed in due time.
If you're interested in KareKano then it would probably be wiser to invest in the Manga, there are 13 volumes and it doesn't look like they'll all be released by Tokyopop by the end of this year, however 1-7 are out now and 8 is coming soon! The Anime ends around where vol8. is. If I had more money I would've definitely invested in the manga as well. *saving like crazy* *sigh* There's so very much I want... :)",1077494400,2,2899,4.364814814814815
1843526,1,B00008G6GK,"Every time another Gainax title jumps into the fray, the same thing happens. Lots of hype. And it's no wonder; they start out extremely engaging and innovative. Then, like the doomed train wreck that any Gainax film is, it goes flying off the track and into oblivion.
His And Her Circumstances chronicles the romance between Yukino and Arima, two high school students striving to be the best for all the wrong reasons. The plot starts out sweet and engaging, with lots of humor. It becomes old pretty quickly, however, because of the mind-numbing angst employed. Remember all those random on-screen text inserts in ""Evangelion""? Yep, they're back. With a vegeance. Yukino and Arima love to go off on these unrealistic tangents where they think about how wonderful or terrible everything is. Cue sappy violin music and lots of inner monologue. Repeat until you feel sick to your stomach. Really, Mr. Anno, this wasn't cool in Eva, and it's not cool now. Kareshi Kanojo no Jijou is up there with the greatest disappointments of anime. Do yourself a favor and check out the far more endearing ""Marmalade Boy,"" which has all the ups and downs of a shaky relationship with a far smaller (if still a bit high) angst helping.",1076457600,5,1218,4.832535885167464
1843527,5,B00008G6GK,"I don't want to make this too long, but I do want to get out a few reasons why i wish there was a vhoice to give His and Her Circumstances 4 1/2 stars rather than a full out 5:
1) Recaps: There's plenty of recap, at the start of episodes as well as in a two part recap episode. It's certainly more recap than any other anime I can recall having seen, and it does get a little annoying. Luckily, the fast forward key on my DVD remote worked like a charm, although kost of the time i didn't mind watching recaps and laughing at more than a few sceanes form the past.
2) Ending: I've started anime series before they're finished, ending on a DVD and wishing there was another coming since things weren't resolved. That's exactly how His and her ended. The only difference is that it was supposed to have ended. It really leads you up to a cliff and then just leaves you there. If rumors are true and there is another series comnig to wrap things up, I'd be very happy to hear it.
Now despite those two facts, His and Her was overall one the best, if not THE best, anime series I personally have seen. The secondary AND main charectors were all great, well developed and interesting. The plot went all around, never spending too much time on one thing I think, and the directors did a good job keeping things interesting for me. His and Her is at moments very touching, and at others uproaringly funny. The music is fitting for every sceane, the artwork is wonderful, and the DVD is well put together over all, with very well done dubbing. While there weren't a whole lot of extras, the interview with the actors and the director's commentary were both very interesting to see.
While this series certainly isn't for everyone (with a lack of blood and guts, and a plenty of angst and humor mixed together), it's certainly a recommend for those that love romantic comedy animes.",1075507200,5,1872,4.3976945244956775
1843528,1,B00008G6GK,"I seem to be of a distinct minority opinion about this show. Granted, there are some very good qualities about it-- the artwork (for the most part) is incredible, there's a reasonable amount of character appeal, and one of the later episodes was so good it left me speechless as the credits rolled. But good artwork and occasional flashes of inspiration can't carry a whole show, and when the interminable final episode drunkenly staggered to its close, I thought, ""you couldn't pay me enough to watch that again"". The basic premise is a blossoming romance between two high school students, Yukino and Arima. That's a concept that can turn into a cliche very easily, and the creators seem bent on putting in enough innovation that that won't happen. Their efforts, however, either fall flat, or have the opposite effect of being so badly done they actually worsen the show.
The first thing I noticed when watching this, is that all subtlety is thrown to the wind. Yukino and Arima both have more to them than at first meets the eye. At least, they would if they didn't come right out in the first couple of episodes and explicitly tell us everything about their personalities, and what they're really like (as in, ""my name is Yukino. I like to fool people into thinking I'm a nice, good student, but really, I just like being the best and having everyone's admiration""). It would be nice to slowly learn about the lead characters, as their subtleties and flaws gradually become apparent. Instead, it's violently shoved down our throats in the first three episodes.
I stated earlier that character appeal is a strength of the series. I should clarify: appeal of the secondary characters is a strength of the series, and they don't get nearly enough face time (Arima is bland, and Yukino is bland with an occasional obnoxious flair). The secondary cast is likeable and funny, and they have a surprising amount of depth for the amount of screen time they receive. But too often, the show subjects us to Yukino and Arima endlessly babbling on about how much they love each other. The high point of the series is definitely the two or three episodes when Arima is out of town. That, briefly, gives the secondary characters a chance to shine.
On to the plot: His and Her Circumstances, obviously, has a fairly mundane story, since it tries to be realistic in what it portrays. In a better show, this might result in gripping, subtle psychological drama. That was probably the idea in this series, but what we get instead is a slew of boring romance/ everyday life scenes which either induce yawns or eye rolling. Ex: It's the school sports fest, and everyone is really busy setting up. Yukino wants to spend time with Arima, but what's this? He's so busy, she has trouble finding him! What will she do?! Everyone she asks has seen him somewhere, but no one knows where he's gone! Oh no!! Then, she finds him. (after about half an episode of this)
The fact that the creators seem to really take this seriously would be funny, if it wasn't such a pain to sit through, and if scenes like that weren't quite so common.
Then, there are the recaps. Recap episodes are an unfortunately common convention of anime, and sometimes  they're used as filler, when the creator falls short on ideas and innovation. That was certainly the case here. Most series which sport this convention have just one recap episode. His and Her Circumstances takes it to a whole new level, with one full recap episode and two half recap episodes. What's more, the later recap material is presented in a way such as to make it impossible to follow if you haven't recently seen the episodes. It's clear the director didn't really care about recapping anything. He needed filler, and this handy little time waster presented itself. Toward the end, the episodes become less and less coherent. Some of them inexplicably start off with a  summary of Japan's faltering economic conditions (don't ask me why). Then the animation budget got slashed, resulting briefly in the hilarious use of paper cutouts of the characters filmed against real time backgrounds. The last episodes degenerate into still pictures of the characters, garbled monologues, and random references to earlier events. This does not serve any higher artistic purpose whatsoever, although some might try to tell you otherwise. Believe them at your own risk.
In closing, while His and Her Circumstances isn't an entire flop, it's certainly enough of one to warrant one star. Many of the problems I mentioned earlier are isolated incidents but, along with others like them, they help to form a fatally flawed whole. Yukino and Arima can be summed up by one word: boring. Teen angst in relationships can be very painful but, as this show proves, that doesn't always make it moving, brilliant, or fun to watch.",1075334400,10,4832,4.799519807923169
1843529,5,B00008G6GK,"Never before in anime have I truly enjoyed a series of such depth and fullness conveyed in such short, 15-minute episodes.  Kare Kano (His and Her Circumstances) is a Japanese manga-turned-anime produced by the famous Studio GAINAX of Evangelion fame.  While this series has gained only word-of-mouth popularity in the US, it is a critically acclaimed series in Asia.
STORY: The series is about high school love, the issues relating to maturity into adulthood, and the construction of personal identity.  Focusing on the relationship between two top students in 10th grade (HS freshman in Japan), it honestly portrays the humanity of two teenagers facing their own weaknesses, their troubles, and interpersonal relations, and ultimately their ""true"" identities that they must find and live up to fulfillment.  Kare Kano being a shoujo anime (anime targeted for girls) has nothing to do with the accessibility of the series -- it maintains a perfect balance between serious high school drama and cute anime humor that have appealed to all of my friends who watched it, though from personal experience this series would be better appreciated by people who have watched a couple animes and understand the standard anime conventions -- this series definitely uses some art styles quite liberally and refreshingly.
ART: The art style of the series is very fascinating -- most of the time, it switches back and forth between ""realistic"" and ""cartoony"" deptions of characters, uses pencil-sketch stills to convey gravity in a situation, and uses heavy amounts of text (like a manga) to depict the mood and atmosphere of a situation -- just like reading an animated comic book.  There are certain episodes that take off entirely, however, and use unconventional art styles that bring about a refreshing look -- for example, one episode is nearly entirely done in paper-cut figurines sketched out with pencil, superimposed around shots of real landmarks (school/surroundings in Japan).  Stories narrated by difference characters also have different looks as well, such as the manga-loving sister depicting the protagonists' story in a cute, superdeformed art style or the high-school-friend-who-looks-like-a-cute-elementary-school-kid friend who shares her tale in crayon-drawn sketches.  Lastly, who could forget the last episode, in which most of the anime are manga stills with a narrator voice-over and melodramatic music?  (It works better than it sounds, pun intended.)
MUSIC: I've found the music to be rather pleasing, though on something as subjective as music I suppose YMMV.  Because of the nature of this anime, the background music switches between cute, zany anime songs and serious, pensive piano music.  It borrows primarily from classical/romantic tradition, with songs as The Girl With Flaxen Hair (Debussy) and On the Central Steppes of Asia (Borodin), though it does feature some J-pop as well.  The music does fit the shoujo style well, though.
DISLIKES:  It there were anything to be said against the series it would probably be the immense amount of recaps for every anime and recap episodes -- there's around 1+.5+.5 (.5 as in half the episode was a recap) episodes worth of going through the story line *again*.  In addition, I was amazed at the capacity in which every single episode intro manages to summarize the plotline of all the episodes before, which, by episode 26 (when you're hearing a recap of 1-25), can be somewhat frustrating. But bear with it -- at least the story that's conveyed in the 10-15 short minutes of the actual anime is developed fuller than any other anime episodes in other series.
*NOTE*: Be very aware that the series does not quite provide resolution -- it's not supposed to, since episodes 1-26 only cover the storyline arch of the manga up to manga 8.  Kare Kano has progressed to manga 17 in Japan right now with the Arima arc being resolved -- the story is excellent I might add, though you'll need some Japanese comprehension to understand the manga.  It is rumored that a second DVD series is coming out, though since there has been a falling out between GAINAX and the comic book writer the chances of a second DVD set is becoming slim... :(
CONCLUSION: I've lived through my fair share of academic competition, procrastination, and anime watching, and I have to conclude that this by far one of the better anime series I've seen!  ""Honest"" is the best adjective that comes in describing this coming-of-age story, with ""beautiful"" coming in as a close second.  Don't miss this!",1063065600,5,4532,5.110960757780785
1843530,5,B00008G6GK,"Yukino is a model student in everyone else's eyes.  Straight A, perfect personality, get along with others.  Yet, there's another side of her that's yet to be discovered along with the arival of Arima Souichirou, intelligent, smart, kind, athletic, charismatic... everything that Yukino had pretended to be all her life... who quickly becomes a strong competition, like getting better grade than Yukino without trying.  At first, Yukino sees Souichirou as her opponant, someone she has to beat.  She competes with him on everything, trying to regain the title of ""model student.""  She eventually gets her title back by studying harder and harder.  Things are now going well for Yunkino..However..as time passed, Yukino starts to develop a crush on Souichirou.  The other side of Yukino, the image of a lazy, selfserving average girl is then accidentally revealed to Souichirou when he pays a visit at Yukino's house.  He then starts ""threatening"" her of revealing her secret unless she does homework for him.  Yukino soon discovered that Souichirou is only using her as she gives up her feeling for him and refuses to do his homework ever again.  Surprisingly, Souichirou goes after her and tells her that he has feelings for her, and the whole ""blackmailing"" thing is only an excuse for him to get to know her better.  So they starts going out...and more interesting stuff happens. (i don't wanna spoil more stuff)
His and her circumstances is a definitely a masterpiece, it's not merely a romance, it really draws you into the actual anime.  I didn't think i would like it at first, because i'm usually into Magic/Romance, but this anime is much more.  Let's just say...It gives you like a fuzzy feeling, and you would want to watch it again and again.  It also tells you that to always trust your instincts, even though perfect relationship is vague, if you try, you will be able to find it n-n;;",1059264000,14,1899,4.89375
1843563,1,B00008G6GK,"Normally I would have given His and Her Circumstances a 5 and praised it with much glory, but unfortunatly I cannot do that because of a horrible epidemic that has plagued most anime productions since the birth of the genre.  That plague is poor budgeting/Runious endings.

This anime had the best first half of a series I have ever seen (the first 16 episodes), but during the second half of the episodes Gainax showed their usual hattred and lack of respect towards their fans, and their amazing laziness, by using some of the most disgusting ideas to cut their budget and save money I have ever seen in an anime (a MASSIVE 5-10 minute series recap at the beginning of EVERY episode, prolonged still scenes, cardboard cutouts, black and white manga drawings which is ok for a while, but not for an entire episode, massive sections where japanese words are writen on screen with little to no dialog [which destroys the anime for americans, because large quanities of kenji/hiragana won't be translated fully for us], and an inclusive ending).

Even with all of those problems, if they had finished the anime then I would have endured it and come out happy, but the anime was cut short since the manga was still in production.  When something like that happens, you MAKE UP AN ENDING, or end the series with a good second series cliff hanger.  Again, just like in NGE, Gainax f#$%ed up and gave us the worst ending Ive ever experienced in an anime to date (worse then X: the movie, the original NGE ending, and some of the other sub-par anime endings Ive experienced).  I have totally lost any faigh in Gainax and have personally boycotted ever buying a product touched by them.

All in all, His and Her Circumstance will throughly piss you off and anger you if you watch it from beginning to end, and I have yet to find anyone who would watch part of a movie or series and stop when they could continue, no matter how rough the going is.  The ending of this series will truly turn you off of this anime, when an ending should leave you satisfied.  I refuse to give any product, no matter how great its beginning was, a good score if it ends piss poor and incomplete.  Thanks alot once again Gainax.",1156464000,9,2199,4.544303797468355
1843564,5,B00008G6GK,"This is the best love story since Romeo & Juliet. Yukino is this shallow attention hungry person who has some serious inferiority complex problems she fixes with good grades and being the best, Souichiro is similar in that he must proove to his family. He is a person worthy of life and that he is a good human being, as opposed to his parents, who he subconciously takes after but conciously denies. They fill in each other emotional gaps so well, Yukino's energy can support Arima and Arima stoic persona creates an air of confidence for Yukino, they are perfect for each other.",1150588800,2,580,4.640776699029126
