,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2054200,5,B00021LRXQ,"I originaly watched this movie as a kid and my memories of it prompted me to purchase this DVD. The movie wasn't as good as my memory but I still enjoyed watching it again, the funny parts are still very funny (fart comedy will never die). The quality of the sound and the pictures was very good for such an old movie and I will keep it in my movie collection for that rainy day when I have nothing else to do.",1126224000,11,410,4.012195121951219
2054201,5,B00021LRXQ,"We had this same movie when my boys were small only on VHS. Needless to say the VHS wore out long ago. This was one of my boys favorite movies. Although they are grown now they have gotten as much enjoyment out of the movie now as they did when they were small. Now if I could only keep the movie at home so I can watch it. Thank you so much for having this DVD for purchase.

Joshlin Sears",1124409600,8,390,3.875
2054202,5,B00021LRXQ,This is a great comedy starring Don Johnson in one of his early roles. It's a must see!!!!!!!!!!!!,1118793600,5,98,4.5
2054203,5,B00021LRXQ,"This movie is truely a joy to watch.  One of the lost greats that unfortunantly is about gone.  Ben Johnson, Don Johnson and a host of others really bring this movie to life.  It is such a shame to see this treasure like so many other great old movies just dissapear.  If you like movies with swamps, moonshiners, the worlds first airboat (including alot of self destructing prototypes), a coondog race, and all manner of good clean fun then you will love this movie.",1106697600,10,467,4.523809523809524
2054204,5,B00021LRXQ,Loved it.  It makes you laugh and is just good for the family.,1502150400,,62,3.769230769230769
2054205,5,B00021LRXQ,Love this movie. Been looking for it a long time. Works great.,1500076800,,62,4.25
2054206,5,B00021LRXQ,Loved the movie growing up and couldn't find it anywhere else!,1495497600,,62,4.7272727272727275
2054207,5,B00021LRXQ,love it.,1493596800,,8,3.5
2054208,5,B00021LRXQ,Very funny!,1490400000,,11,5.0
2054209,5,B00021LRXQ,Good old movie,1489968000,,14,4.0
2054210,5,B00021LRXQ,loved teh movie,1486944000,,15,4.333333333333333
2054211,5,B00021LRXQ,just love this movie.,1482796800,,21,4.5
2054212,5,B00021LRXQ,Great classic movie,1479600000,,19,5.666666666666667
2054213,5,B00021LRXQ,absolutely hillarious what a dog that ole sooner,1476662400,,48,5.125
2054214,5,B00021LRXQ,"Great movie, great price, and fast delivery.",1474848000,,44,5.428571428571429
2054215,5,B00021LRXQ,"Love this movie this makes the second one. The other one got lost, but my whole family loves it. Watched it a million times!",1473724800,,124,4.208333333333333
2054216,5,B00021LRXQ,great,1473206400,,5,5.0
2054217,5,B00021LRXQ,Can't beat a great movie like Soggy Bottom U.S.A!,1469145600,,49,4.555555555555555
