,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2057049,5,B00022PZ56,"a must-have for fans of the series...and a good item to have for puppeteers & puppeteer wanna-bes, too! These movies are a great edition to the DVD set of the series.",1337904000,,166,4.387096774193548
2057050,5,B00022PZ56,"Absolute nostalgia. The only reservations are, the fridge magnet for thunderbird 4 has NO aft rudder, and the pop out card model of thunderbird 2 has the port/starboard wings pointing the wrong way.

I don't think these movies will ever lose their charm and appeal, the whole point of International Rescue saving ""lives"" is very moving. If these movies were to be made again with the puppetry and sophistication of present technology (with Gerry/Sylvia Anderson at the helm?)I wonder how the present generation of children would take them.

Great Fun.",1297641600,,551,5.111111111111111
2057051,5,B00022PZ56,"I am a 43 yr. old man, and had never heard of the ""Thunderbirds"" until one day recently flipping through the channels, Thunderbirds Are Go was on t.v. It was about 2/3 over, but still kinda caught my eye.
  So I automatically came to Amazon.com to find it. All said and done, I got more than I bargained for when I found 2 pack.
  What I liked most about it was how the ""animation"" was done. True marionettes operated by true ""puppet masters"". The plots in both were very catchy. And something that was highly interesting was the special features with some of the original people, interviews, and the making of type segment showing how it was all done.
  I would highly recommend this to all that have interest in the old school type animation (even though I love  Pixar and such) and the real puppets. My next purchase will be the t.v. series discs.
  Too bad I can't go back in time 30-35 yrs and could have seen it when I was a kid.
  To put it sshort, It's well worth the price of admission. (Well, actually well worth the purchase price).",1296345600,2,1043,4.352331606217617
2057052,5,B00022PZ56,"I purchased this set of DVDs because as a boy I remembered seeing these films on the big screen. Back then I was totally blown away by the imagination of Gerry Anderson and his team. What makes these movies so marvelous is that even over 40 years later, they can still hold their own for storyline, gadgets, originality and excitement.

The musical score is exceptional and adds to the majesty of the equipment being portrayed. When the Zero-X in 'Thunderbirds are Go' rolls out the complete screenplay is nothing short of amazing. Because of the difficulty in getting the puppets to walk, there are all of these amazing lifts and conveyors to get the pilots to their cockpits, again this is quite fascinating.

What I find to be wonderful additions to these titles are the special featurettes that show and explain how the puppets were designed, made and operated. The producers also developed this art to perfection on their own as well. The ingenuity used to get the puppets to talk is also nothing short of fascinating.

What is to be noted is that when theses films were made there was not all the interjection of computer animation like the films of today, yet these movies can still hold their own. This is by no means a small feat.

The current price is a real bargain. You can't go wrong with this one. As an additional bonus included are nicely printed card board punch outs of a the thunderbirds, as well as punch out fridge magnets of the main puppet characters.",1285718400,,1474,4.636015325670498
2057053,5,B00022PZ56,"I had the series already on DVD and debated about getting the individual DVD's of these 2 movies or get the set. I am so glad I got the set! It even comes with the super ""birds"", landing area and the space station models. (Cardboard, yes, but very nice none the less) I highly recommend the set to any one debating like I did if it was worth the little extra cost. It was and is.",1207008000,5,379,4.0
2057054,4,B00022PZ56,"Between September 1965 and December 1966, British TV viewers had the opportunity to watch a program featuring a family (the Tracy's) represented by marionettes.  The family members had devoted themselves to rescuing others (also played by marionettes) who had gotten themselves into various forms of trouble, usually due to some type of technical difficulty, weather or sabotage.  Calling themselves ""International Rescue"", the Tracy family was more popularly known by the various high-tech vehicles that they used: the Thunderbirds, which was also the name of the TV program.

Consisting of 32 episodes (26 during its first season and 6 during its second), BBC-TV cancelled ""The Thunderbirds"" early into its second season.  Knowing that their show had been cancelled, the show creators, Gerry and Sylvia Anderson, produced a feature length film entitled ""Thunderbirds Are Go"" that was released in British theaters 10 days before the final television episode aired on December 25, 1966.  The film's fictional story was about the first manned space flight to Mars using a spacecraft called ""Zero-X"".  On take-off, the Zero-X crashes.  Two years later, an investigative committee concludes that the crash was due to sabotage.  With the impending take-off of the second Zero-X mission, mission commanders decide to ask International Rescue for assistance with security.  However, International Rescue has never provided security, as its mission has been limited to helping those who are already in trouble.  After thinking it over, John Tracy (voice of Ray Barrett) decides to assist.  Involved in the security efforts are Jeff Tracy (voice of Peter Dyneley), Gordon Tracy (voice of David Graham), Brains (voice also done by David Graham), Scott Tracy (voice of Shane Rimmer), Alan Tracy (voice Matt Zimmerman), Virgil Tracy (voice of Jeremy Wilkin), Lady Penelope Creighton-Ward (voice of Sylvia Anderson) and her chauffeur Parker (voice also by David Graham).  After the launch of Zero-X, its crew makes an interesting discovery on Mars before returning to Earth; but their return landing may require the International Rescue's assistance again.  Keeping up with what was then popular 1960's culture, the Anderson's created marionette versions of the British pop band ""Cliff Richards and the Shadows"" and featured the band's song ""Shooting Star"" in the film.

Two years after ""Thunderbirds Are Go"" was released, one more Thunderbirds feature-length film was released: ""Thunderbird Six"".  At the beginning of ""Thunderbird 6"", Brains (voice of David Graham), the man who designed all of the Thunderbird ships, presents an idea to a private aircraft corporation to build an airship.  After being laughed at by the company's board of directors, they build the airship anyway because it is powered not by bags of hot air or lighter-than-air gas, but by a highly sophisticated anti-gravity device.  Shortly thereafter, the Tracy family patriarch, John Tracy (voice of Keith Alexander), asks Brains to design a new Thunderbird ship to be called Thunderbird 6.  Unfortunately, Brains' initial design is rejected and spends much of the rest of the film being upset as he tries to design something better.  In the meantime, Alan Tracy (voice Mark Zimmerman), Tin Tin (voice of Christine Finn), Lady Penelope (voice of Sylvia Anderson) and her chauffeur named Parker (voice of David Graham again), take an extended first ""cruise"" aboard the airship that Brains designed for the private aircraft corporation.  However, unknown to them, spies have replaced the airship's crew.

Though no new Thunderbirds episodes or feature-length films were ever made using Gerry and Sylvia Anderson's ""supermarionation"" technique, a steady cult following of the show that has lasted nearly 40 years brought about the production of a live-action version that was released in theaters in 2004.  Aptly titled ""Thunderbirds"" and directed by long-time ""Star Trek"" actor Jonathan Frakes, the 2004 film did not live up to most Thunderbird aficionados' expectations.

Overall, I rate the 1966 supermarionation film ""Thunderbirds Are Go"" and its sequel ""Thunderbird 6"" with 4 out of 5 stars.  It continues to be a very entertaining film even after nearly 40 years, though it may seem somewhat campy by today's standards.  Other TV series that the Anderson's successfully produced using supermarionation include ""Supercar"" (1960-1962, supermarionation), ""Fireball XL5"" (1962), ""Captain Scarlett and the Mysterons"" (1967) and ""Joe 90"" (1968).  After that, the Anderson's started producing live-action TV series that include ""U.F.O."" (1970-1971) and the more familiar ""Space: 1999"" (1975-1977).",1194134400,4,4654,5.510548523206751
2057055,5,B00022PZ56,"Like many Thunderbirds fans around the world, I've watched these exciting TV shows as a child.  Unlike the ubiquitous unoriginal and uninspired children's shows nowadays, the Thunderbirds shows provided plenty of imaginative, captivating, and exciting adventures! This gift set contains two VERY entertaining, widescreen, full-length movies in Dolby 5.1 Surround Sound and features many extras such as commentaries by Silvia Anderson (producer) and David Lane (director), theatrical trailers, photo galleries, quizzes, and many featurettes, etc.....Lots of FUN stuff. These digital re-mastered movies are just amazing: the pictures are sharp, colors vivid, clear sounds/music, and most artifacts like marionette lines removed.  I especially enjoyed the H.M. Royal Marine's performance of the Thunderbirds theme during the closing credits:  THUNDERBIRDS ARE GO!!!",1140134400,,862,6.226890756302521
2057056,5,B00022PZ56,"I AM A MOTHER AND A KINDERGARDEN TEACHER TOO, AND I FOUND WITH MY ""THUNDERBIRDS"" COLLECTION AN EASY WAY TO TEACH ENGLISH TO MY KIDS, AND THEY REALLY ENJOY THIS TWO CHAPTERS BECAUSE THE SUBTITLES AND THE MAGIC FORMULA OF SUPERMARIONATION MAKE THEM FELL INSIDE THE MOVIE... IN ""THUNDERBIRD 6"" WE CAN FIND THE WHOLE TEAM IN A RESCUE ADVENTURE...AND IN THE ""THUNDERBIRDS ARE GO"" THE VISUAL AN SOUD EFFECTS ARE GREAT....",1097971200,4,415,4.777777777777778
2057057,4,B00022PZ56,"The works of Gerry and Sylvia Anderson have diminished little since their salad days in the 1960s.
The release of 'Thunderbirds are Go' and 'Thunderbird 6'to DVD to coincide with the theatrical release of the live action movie in theaters soon,is a delight to see once more.
I hadn't seen these movies since their intial release in 1966 and 1968 respectively but my memory told me the second one was a little better,and I was right.'Thunderbirds are Go' gets a little long in spots and is at times a bit disjointed in plot while 'Thunderbird 6' generally moves along very well.
While working with marionettes and miniature sets was nothing
new,the Andersons took the two where no man or woman had gone before and made it almost an artform in itself. The Andersons' imaginations on the Thunderbirds series and the many others they had running and working at the same time like 'Stingray' and 'Fireball XL-5'(my fave)showed the unbelievable talent and skill they possesed. And to see how well these films still stand up today is a fine testament to that.
Sure you can still see the wires from time to time but the main thing was the tapestry they wove with their myriad of plot devices coupled with the working and integrating of the marionettes with live sequences/actors. In fact in 'Thunderbird 6' try to differentiate between the miniature Tiger Moth biplane and the real thing(...or was it?).And was that the marionettes hand or an actors?
Furthermore the Andersons took the entire thing beyond just this and made each individual marionette into a genuine character with all the foibles and emotions one sees with live actors. With just the right dialogue and nuance they pulled you into that world and you ""believed"".This hadn't been done before nor has it since.
The only other work that comes close and achevied similar results in another related but different medium was Jim Henson and the Muppets.
Much of the Andersons work inspired many pros in the motion picture field for years and does to this day,especially those that work with miniature sets so important in countless pictures involving SFX.
So here's a tip of the hat to you Sylvia and Gerry Anderson.
You did GOOD!!!",1092009600,6,2184,4.857908847184986
2057058,5,B00022PZ56,"I was so surprised that I liked these movies a lot more than I thought I would.  These films were obviously a labor of love for Sylvia and Gerry Anderson, and their extra efforts show in every frame.  Derek Meddings' designs are just incredible; it's easy to see how he was hired to do the futuristic model effects for the James Bond movies.  And the dream sequence in ""Thunderbirds Are Go!"", in which Cliff (""Devil Woman"", ""Little in Love"") Richard and the seminal group The Shadows are modeled by perfect marionette replicas (in what could quite possibly be the first MTV-type music video ever) is alone, in my opinion, worth the price of both DVDs.

The only quibble I would have with both movies would be in the pacing.  There are quite a few slow points in these films (e.g., the launches of the Thunderbirds, the rollout of the Mars vehicle in ""Thunderbirds Are Go!"" which goes on for a full 10 minutes!).  The finely detailed work in the sets and the marionettes well deserve this extra ogling time, though, and I believe kids will particularly be impressed by the ""hardware"" displayed and won't mind the plodding of these scenes.

The extras are fun, too.  Sylvia Anderson and David Lane discuss all the trials and tribulations of pulling off high-tech science-fiction adventure with a cast of 18""-tall puppets.",1092009600,,1319,4.754385964912281
