,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2060843,5,B000244E2O,"I used to have my tuesday nights very busy watching The X-Files and Millennium back to back. But Millennium was COMPLETE. I always felt for the characters. ""Roosters"" and ""Owls"" were some of my favorites episodes. It amazes me how the best show always end up being cancelled. Millennium was intelligent, well-written, dark, intelligent, dark and INTELLIGENT. The last episode was a disappointment, many questions left in the air. I wish they could make a mini-series finale where we could learn what happened with those wonderful characters: Lara, Peter Watts, Jordan (was she a key to something?)(Were they planning something interesting for her character?)If they are NOT going to film such a mini-series/movie, at least have some excellent storyteller write a novel which concludes the series. I will be the first one to buy it. Lance Henriksen plays Frank Black as nobody can. He was excellent for the role!",1085097600,,911,5.120805369127517
2060844,5,B000244E2O,"Millennium is one of my favorite television shows of all time.  Nothing out there has ever been able to compare to its well-written and thought provoking storyline.  Fox really let a lot of fans down when they canned the series unexpectedly, years ago, as we expected a possible fourth series that never showed up.  Fortunately, the series ended with a pretty decent final scene, but there are many loose ends that remain a mystery.  It's a shame that it took so long for Fox to release this on DVD.  Thought the first season of the series is definately my favorite, I sincerely hope that the second and third season get released as well.  I've seen every episode of the series (several times), and I look forward to watching it on DVD again.",1084320000,,742,4.583333333333333
2060845,5,B000244E2O,"I'm not normally one who jumps on the bandwagon with regard to the release of a particular televison show / series on DVD, but in this case I felt that I had to make an exception and chime in.  As with the others who have made their voices heard regarding the much-anticipated release of Season One of ""MillenniuM"", I also have been waiting a long time and with baited breath for its arrival.  Bravo, therefore, to Fox for finally having the good sense to deliver MillenniuM into the hands of those that so richly deserve it (i.e. the fans such as myself who have waited and waited and waited for its release); so too do I hope that the network has the sound judgment to release all three seasons for our future considerations, lest the journey we've begun should prove a vacant enterprise.  Thanks again, Fox.",1084233600,2,810,4.534246575342466
2060846,5,B000244E2O,"So Fox,have you noticed the saLes as of today,(...)  Looks like you had better start prepping seasons 2-and-3,eh? My deepest appreciation to Fox's Peter Staddon for pushing this title through,when,seemingly no one else at Fox gave a damn. A lot of major big budget movies don't alway get a sales rank of 6.let alone a ""cult"" series that has been,shamefully,off the air for 5-years!
  Chris Carter,I hope you are aware of this current ranking and that you feel even more validation for what was,overall,accomplished in this mindbending,groundbreaking series.
  Despite a slip,in Season-2,into silliness and camp-(though still better than anything else that aired at the time!)-your return to S3,ceatively,put the show back on track and into realms that were essentially unexplored in Television drama. Henriksen's performance through out the series,but epsecially in S3 is the stuff of legend. Nothing can compare.
  And now after years of petitions,""waiting"" and ""worrying"",""The time is-(FINALLY)-near""!(...)",1084060800,4,1008,5.68
2060847,5,B000244E2O,"""I become capability. I become the horror-- what we know we can become only in our heart of darkness. It's my gift. It's my curse. That's why I retired."" -- Frank Black
Millennium was that other great show Chris Carter did besides The X-Files.
Millennium aired from the fall of 1996 to the spring of 1999. Three seasons of the series were produced, a total of 67 individual episodes.
Frank Black was played by Lance Henriksen and his wife Catherine was played by Megan Gallagher around these two people an interesting tale of paranormal events and paranoid conspiracies was intricately woven, complexly knotted, and all focused and ready to take some unknowable form upon the coming of the year 2000.
""Paranoia is just a kind of awareness, and awareness is just a form of love."" -- Charles Manson
For all three seasons we eagerly watched the adventures of Frank Black, a former FBI investigator, as the world tilted and twisted spinning closer and closer to the year 2000.
The first two seasons of this show were just beautiful though the second had several questionable miss-steps but kept it together as the pseudo mythology of conspiracies in the show were expanded on creating more and more darkness and paranoia and then came the last season which to summarize frankly tanked miserably.
As with other shows Chris Carter built he created a dark, deadly world and interesting, fragile and paranoid, edgy characters and after a while he lost interest and let other people kill the dang show by seriously messing up the story that was being told, with plot holes bigger than a bread box, and softening up the characters with cheap sentimentality, or out right killing off major pivotal characters.
Hmmm, sounds allot like the The X-Files does it not?
Poor Chris will he ever learn?
Between you and me the third season is only worth watching if you fall in love with the show during the first two. Otherwise although you can see them struggling to save the show let's just say the downward spiral had gone too far.
""Let us go in; the fog is rising."" -- Emily Dickinson, her last words, 1886
Anyway Frank Black and Millennium never made it to the year 2000. Unless you saw that X-Files episode which I refuse to acknowledge.
The show for all concerned was promptly sent to the trash heap of cable programming on the FX channel and forgotten by the FOX big wigs.
That hateful ripoff Profiler seems to still be shown in reruns on TV. But we hate that blond bimbo, she is no Frank Black.
I could go on more about my own fascination with this show, how the thoughts spoken and the dark visions still linger with relevancy and echo with teeth rattling truth.
How the shadows in this show are much darker and meaningful because of what they are not showing than any special effects could have given us.
I will not tell you about the episode Beware Of Dog that used a Carpenters song Close To You as the sound track to a murder of an old couple in a Winnebago by a pack of vicious, demonically possessed, wild dogs. Nor will I tell you how that one twisted, messed up moment makes me laugh every damn time, Nope not one word, I promise.
Just buy this DVD collection of the first season and I promise you some good-scary-fun hours of pure joy.
""CREATE DESIRE"" ""EVERYBODY WANTS BEAUTIFUL HAIR"" ""FACILITATE ENVY"" ""WORK WILL SET YOU FREE"" (...)",1083801600,,3332,4.6300675675675675
2060848,5,B000244E2O,"After years of waiting, after years of suffering through FOX DVD releases like ""Simple Life"" and ""Family Guy"" , we finally get to own the most daring show FOX has ever aired, MILLENNIUM. Why did this take so long? Perhaps it was the dark subject matter, or the fact that the show was ahead of it's time, and still is. Whatever the reason, I have never forgotten the power this show held over me. Lance Henriksens incredible portrayal of ""Frank Black"" a tortured soul that can ""see what the killer sees"" is very hard to forget. This premise has been very poorly copied many times since. Terry O'Quinn as ""Peter Watts"" created a strong counterpoint to the lead.
The very first episode titled ""The Frenchman"" but referred to as ""Pilot"" sets the pace of the show. Strong follow-up episodes include ""Lamentation"" ""Powers , Principalities, Thrones and Dominions"" and ""Maranatha""
Hopefully we will see the next 2 seasons as well. Episodes like ""The Curse of Frank Black"" and ""Midnight of the Century"" are quite possibly the best stories ever told on the small screen.

Special thanks to Peter Staddon for his continued struggle to bring this extraordinary series to DVD.",1083715200,12,1163,4.844221105527638
2060849,5,B000244E2O,"Chris Carter, asked by the Fox network to create a companion piece to his popular hit series The X-Files, pitched his pilot for Millennium early in 1996. Carter was eager to explore the other side of the horror genre. Agents Fox Mulder and Dana Scully had spent years fighting extraterrestrials and monsters, exploring a world of supernatural horrors. Thus, Carter created Frank Black, a behavioral profiler who hunted more terrifying monsters, human monsters. Promoted for months in advance, Millennium premiered on Fox with the highest ratings of any premiere the network had shown in its history. Now, in the early days of the twenty-first century, this engrossing series has found a new following and, fortunately, the series has obtained the DVD release it so richly deserves.

Millennium, unquestionably the darkest network television drama of the twentieth century, had no rivals when it came to dramatic storytelling. Both the consistently high production values of the show and its philosophical subject matter made this series unique in the annals of television history. Frank Black's battle against darkness stunned viewers on intellectual and emotional levels. The series had no peers. Never before have episodic stories been so imbued with honesty, emotion, exploration, and experimentation. Millennium was successful on nearly every level of production.

Millennium developed over the course of three years and became one of the most powerful and unique drama series of all time. Frank Black's investigations were continually being shaped by a team of brilliant writers and producers, a talented crew, and an unforgettable cast of characters. The show has earned its spot in the annals of television history and will always remain prominent in the hearts and minds of its loyal fans.",1083542400,12,1797,5.368794326241135
2060850,5,B000244E2O,"I hope that fans alike of Carter's work on Millineum, will make their voices heard to the highest.
I have waited 4 years!
Please bring out a box set of all the season's, there are more of us out here than you may think is marketable.
This was the pinnacle, the apex, the touchstone of concept, writing that could and did blow away the dross that was/is being passed off as ""creative vision"" in TV AND CINEMA, both then and today.
...Bring it out, to us Chris. those who have active cerebellums.
Fox nickel and dimers may you rot in Gehanna, if you keep this from the masses.",1083283200,5,574,4.324074074074074
2060891,3,B000244E2O,"Discs looked to be a few scratches on them , hope they all play with the slight scratches and wear smudged edges from DVD packaging. Concerned package not new but suppose to be so don't know",1444694400,,190,4.305555555555555
2060892,5,B000244E2O,I GREW UP ON THIS SERIES NOW I HAVE ALL 3 EPISODES I LOVE IT,1424131200,,60,3.066666666666667
2060893,4,B000244E2O,"Lance Hendrickson is absolutely great as Frank Black, a criminal profiler who consults for the fbi. It's written (usually) by Chris Carter, the man responsible for the cult classic series 'The X-Files'. This was literally his side project at that time, and as such fell victim to other writers stepping in and taking the series in a different direction. Just like 'The X-Files', every episode is either a Friday Night creature feature (in this case, serial killers and the like) or an episode that deals with a recurring story arc, this one being an underlying conspiracy theme (also, just like the 'X-Files'). Season 1 started out strong enough, got better, and then by season 3 almost felt like a whole different beast. I think it's because instead of dealing with so many generic/cliche killers, they started to showcase more 'unexplainable' phenomena, such as people who perform miracles, or people who have repeatedly avoided a sure death, etc. The series only ran 3 seasons before cancellation, and it's a shame they did. I would have liked to see the series creator return to the writing duties, Chris Carter came up with some great ideas in his day.",1422403200,,1157,4.908163265306122
2060894,5,B000244E2O,One of my favorite TV shows ever,1419811200,,32,3.7142857142857144
2060895,4,B000244E2O,"This is one hell of the scariest TV Series of all time. It touches on so, so many topics that are as if 'someone' was trying to give us the heads-up to this present time frame? If so WHY? Many of the former cast worked to distance themselves from this highly rated series that went on for years revealing many ""secrets"" of  paranormal subjects, known only to the small secret groups or those who have spent many decades researching the REAL clues such as in the masterpiece HOLY BLOOD, HOLY GRAIL.  Not the cover-up fiction titled The Devinci Code, done by those wishing to keep royal secrets away from the public.",1415318400,,614,4.5225225225225225
2060896,5,B000244E2O,"I had forgotten how much I enjoyed this series when it aired in the late 90's.  The plot twists and compelling characters are still as fresh as they were ""way back then"".  This is series that I won't have any trouble binge watching on a rainy weekend or a quiet night in.",1413158400,2,271,4.1923076923076925
2060897,1,B000244E2O,"This is the most boring, annoying TV series I have ever watched. It is filled with scientific innacuracy, fake Hollywood psychology, and melodramatic scenes. I actually fell asleep watching the first episode. The main character talks in a very slow, quiet voice, pausing too frequently after every word. He comes to conclusions using ""psychic"" powers, applying no logic or accurate psychological principles. There are several innacurate references to human anatomy and chemistry in the first two episodes. This is too terrible to watch. I really wish I could return this!",1410739200,,571,5.355555555555555
