,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2161817,5,B00062IVJE,"Sherlock Holmes will forever enchant those who appreciate the

wonders of mystery and suspense. The Hound of the Baskervilles

holds dear memories for me, both in English and Spanish. As a child,

I heard ""El Mastn de los Baskervilles"" as a radio program, back in

Cuba. When I learned English, it was one of the first books I acquired

and read. While the movie is a comedy, seeing the movie was an awesome

experience for me, and now owning the DVD... is simply a dream come true.

The acting is rather funny. The interpretation... a bit silly, but enjoyable.

The episode is one of the best ever written by Sir Arthur Conan Doyle.",1163030400,,633,4.539823008849558
2161818,1,B00062IVJE,"Buyer Beware -
I won't comment in detail on the quality of this movie, Paul Morrissey was/is an awful director but the cast of ""Hound"" clearly directed themselves and, left to their own devices, what they came up with was a compendium of their tried and trusted comedy routines (much loved by UK theatre and television audiences through the years). In this sense, as a permanent record of Kenneth Williams, Dud and Pete, Max Wall, Irene Handl et al, the movie is a delight to own - but after amazon replaced a faulty disc - guess what ? The replacement has the same flaw - it freezes in the middle of Dud and Pete's hilarious ""medium"" scene (and probably in other places too but the disc freezes so completely you can't GET to other scenes). Double-sided discs seem vulnerable to technical trouble and my question is this - why the HELL do studios even contemplate putting a ""full frame"" version of a movie on side 2 of ANY disc ? Who on earth wants to see a dreadful pan-and-scan version of a widescreen movie ? The letterboxed side would have been all I wanted except - that's the side that has the flaw ! Obviously a faulty pressing and who knows how many of these flawed discs are out there ? Be careful !",1155859200,16,1209,4.401785714285714
2161819,5,B00062IVJE,This is the only satire version of the story I have found.  Most of the gags are verbal.  One is the cripples flocking to the shrine.  They are described as flocking cripples.  Another favorite is the deduction by Watson that a painting was done by the artist before he died.  Sherlock points out the difficulty of his doing the painting after death.,1144108800,,350,4.580645161290323
2161820,5,B00062IVJE,"I haven't seen this movie in YEARS!  I have been looking for it for years!!!  I am so excited to finally be able to add it to my collection.  I am not a big Cooke and Moore fan, but I think this movie is hysterical.  My sister and I have been quoting it forever.  The adorable peeing Chihuahuas (""He just wants to be your friend, he just wants to sit in your pocket and be your friend""), the ""complementary grope"", the ""Did you drag yourself on deck?""  ""Oh no, I just dressed casual"" and of course ""Pesticide! Pesticide...my own son committed pesticide!""  ""Patricide Mother!""  ""Oh, so you admit it then?""  I CANNOT wait to get my copy!  I sent one to my sister in N.J. as well, so we can both enjoy it together!",1108425600,11,711,4.2388059701492535
2161821,3,B00062IVJE,"Really not a very well-written film.  Loosely based on the Conan Doyle story, this is a collection of old jokes and sketches which don't really hang together.  A who's who of British comedy though: Pete, Dud, Kenneth Williams, Irene Handl, Max Wall, Denholm Elliot and others.  Some very funny moments, not least when Denholm Elliot's chihuahua urinates for about 3 minutes all over Dr Watson (played by Dud).  Probably worth seeing if you are a Pete and Dud fan, but it's not their best effort by any means.",1102464000,24,508,4.738636363636363
2161882,5,B00062IVJE,"Silly, silly, silly but love Peter Cook. So glad to have it.",1421884800,,60,4.083333333333333
2161883,1,B00062IVJE,"The Hound of the Baskervilles, 1978 film

Three French nuns visit Sherlock Holmes to find a missing relic. Holmes explains his methods to find the thief. [Yes, this is a comedy.] There is a visit from Dr. Mortimer, who explains the legend of the Hound of the Baskervilles and the death of Sir Charles Baskerville. They will meet the heir and go to Dartmoor. [Their behavior becomes tiring quickly.] Sir Henry returns to Baskerville Hall with Dr. Watson. Mrs. Barrymore shows them to a small bedroom - with standing water! Holmes visits a massage spa and meets ladies. Barrymore is flashing with the moors code at night. Holmes leaves that spa to visit his mother. This table doesnt hear too well. [The story drags on. So too the actors.] Who wrote this abomination? They deserve this flop. They cant do comedy or drama.

Watson meets Frankland who talks about hunting. He meets his daughter too. Holmes meets Spigot, a one-legged man, who wants the job of a runner. [Is this really funny?] Will he fall down on the job? Watson meets Stapleton and his sister. There is an auction of the contents of Baskerville Hall to pay the wages of the Barrymores. Is one picture a clue to the Hound? That night they go to dinner and walk over the moor. The likely suspects are gathered around the dinner table. A little dog is on the table (for comic effect). The hound follows Sir Henry. Some fall into the pit. [A pit stop?] Sherlock reads the will. Will the guilty party sink any lower? The Barrymores will migrate to Kentucky to raise chickens and potatoes. Then they show the actors and their roles. The cheers at the end are the most honest part of this movie.

Those who copy and distort an original story are not skilled enough to create their own. Yes, there are some who can copy an existing style to create new stories. This is not one of them. A. Conan Doyle was interested in criminology and must have used actual crimes as the basis for his stories (written over a century ago). If you read them in High School read them again to see what details you missed. Silver Blaze is one example, there are others.",1415404800,,2106,4.536842105263158
2161884,3,B00062IVJE,Sir Arthur Conan Doyle is one of my favorites writers and specially his books about Sherlock  Holmes. The Hound of the Baskervilles is thriller and keep you always in suspense (! have Book and few movies of that)But this movie is plain Comedy and I cud not wait till is ends.,1414713600,,275,4.392156862745098
2161885,4,B00062IVJE,Another Sherlock good movies. The DVD runs perfectly and the case or the cover and in perfect condition as well.,1393113600,,112,4.65
2161886,2,B00062IVJE,"Will not play on DVD player. ""Wrong Region""  This was not stated when it was purchased....please advise what I can do.  James",1384560000,,125,4.636363636363637
