,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2483668,3,B000E1ZB6I,"Princess Valkyrie is a beutiful, angelic-like creature whom is trapped inside the body of an eight year old girl (acts like a brat). Valkyrie is in love with a young boy named Kazuto, though Kazuto does not fully grasp it. Valkyrie can tranform into a older version of herself only with a magical kiss between her and Kazuto. She will be in her older version for a few minutes then revert back to her kiddie self. Though there is a sorta big brother/little sister theme to it, the romantic elements do not mesh well and imply something unethical in their relationship. The overall mood of this anime is comical and they use a very colorful pallet to convey this along with the SD(super deformed) design of some characters. Kazuto runs a bathhouse which seems unrealistic to the story and more of a vehicle to bring in the fan service into the show. So you will see lots of naked creatures in the bathhouse in each episode, though no sex is ever present. The series seeems to be aimed at girls, but then it is contridicted by the amount of fan service.

The universe in this anime is a cross between sci-fi and fantasy, you'll see aliens, spaceships and fantasy based creatures like; catgirls, sheep women, fairies and demons. They live and act as normal people do and sometimes get into mischief. I really liked the concept here, but it was poorly
executed. By making the alien and fantasy creatures act and live
like regular human, it detracts from novelty of having these unique creatures living among humans. There are twelve episodes over three volumes (discs), contains comedy and nudity. Even though there is no sex in the show, I cannot recommend it to people under 16 years of age because of the fan service. However the mindless nature of the show will repel older viewers and the anime savy. I don't think it's worth a purchase, but makes a good rental. I recommend the animes called ""Oh, My Goddess"" and ""Video Girl Ai"".",1148256000,11,1931,4.629737609329446
2483669,5,B000E1ZB6I,"Though I cannot deny this anime is full of silly moments and lots of fanservice, making it one that it is seemingly more or less geared toward true anime fans, and otaku, it also touches on almost everyone of the genres within anime and I think does an excellent job of it, giving a great if slightly inane story for those that are willing to give this one the chance it deserves. I truly think UFO Ultramaiden Valkyrie will appeal to a lot of people, and a lot more then other reviews seem to believe.

Part of what makes this so special to me is the story which takes place on a Earth where aliens are commonplace, and neko girls (cat girls) are considered to be just as much a part of everyday life as the aliens. It is within this world that Kazuto Tokino decides to run his late grandfather's bathhouse despite protests from his parents and sister who consider it to be a ""money pit"". One night when working in the bathhouse an alien named Princess Valkyrie, who is running from a marriage her parents arranged for her, destroys the bathhouse when her spaceship crashes into it. She also mortally wounds Kazuto, however, she is able to save his life with a magical kiss that gives him half of her soul, and turns her into an 8 year old child. She can return to her adult form by kissing Kazuto, but it only lasts for a short time, and is mostly done when there is a need to protect Kazuto.

Princess Valkyrie is then stranded on Earth in the form of an 8 year old child with the mind of one too, unable to look after herself even though the entire solar system is out searching for her. Kazuto who owes her his life and truly cares for her works to protect this super sweet very hyper Princess Valkyrie from those alien invaders some who are searching for her to bring her back home to the marriage her parents had arranged. Valkyrie meanwhile shows a great and increasing love for Kazuto who shares part of her soul. Further Valkyrie's neko-meido (cat girl maid) Sanada comes to consider Kazuto as Valkyrie's official fiance and helps him to protect Valkyrie.

Personally, one of the things I really like in this anime this switch that can occur in Valkyrie and how her different ""ages"" try to show how much she has come to love Kazuto, one is very sorry for what she has done to him and uses her powers to protect him, and the other, the younger Valkyrie, seems to cling to him jealously perhaps in a way to show how deeply her older self also feels but refuses to admit or cannot admit.

The animation is also stunning in my opinion, and very excellently done for such a short series which does actually have two sequels. Overall I say this is a must see for any anime fan and those looking for a good silly original anime that covers a lot of the genres of all anime within this one series.",1141603200,24,2799,4.35632183908046
2483670,4,B000E1ZB6I,"I had seen a few episodes of this Shoujo Anime on other websites, and when I came across the first 2 seasons on Amazon Prime, I watched them in order.

As the genre claims, Shoujo Anime (and Manga) is aimed at young girls (mostly early teen and pre-teen), and is filled with Love themes and plots, as would appeal to girls who are experiencing puberty and hormonal changes. The main characters usually being involved romantically with each other, and highly stylized (sometimes caricatured) scenes and costumes are featured, all to please a young woman's imagined sense of beauty and style.

This TV series from Japan is no different. Ala ""Sailor Moon"" and other similar titles, the main characters involve aliens who all seem to be young girls with special magical powers who get involved with innocent human youngsters who for some strange reason, always have no parents or adults supervising their daily lives.

The characters then solve daily problems with the uncanny good sense of mature adults. More often they are battling evil from the cosmos, and repeatedly saving mankind from destruction.

In ""UFO Ultramaiden"", the plot centers around a High School Junior and his sister who is still in Junior High. They live alone because their parents have opted to take jobs overseas and leave them behind. In addition, Kazuto Tokino, has decided to keep his late grandfather's Public Bathhouse (Sento, in Japanese) in operation, with he and his sister, Rika Tokino, attempting to balance school, home life, and running the bathhouse by themselves 6 days a week.

In this Anime Universe, aliens are commonplace in the world, and there is an intergalactic space port in operation (and still under construction) near their home in a large metro Japanese city.

The basis of the plot is that one of the 8 royal princesses from the planet Valhalla, by the name of Princess Valkyrie, has run away in her spaceship from a proposed marriage contract. She crashes her ship into the Tokino Family bathhouse and kills Kazuto in the process. Full of remorse, the Princess uses her magical powers to revive Kazuto by endowing him with half of her soul.

He recovers and all is well, except that Valkyrie has now reverted to an 8 year old little girl because she now shares her soul with 16 year old Kazuto. And, their hearts are now in tune with each other, giving them a special bond!

She then becomes a part of their household (and a holy terror).

Add into this Anime formula, a team of Cat Girl Maids who arrive to run the bathhouse and the household; the rival Princess Hydra, who tries to capture her cousin Valkyrie so that she won't have to get married in Valkyrie's place but gets stopped by local Shrine Maiden and longtime childhood friend of Kazuto named Akina also has a crush on Kazuto and has Hydra in her mystical Shrine Maiden control and turned Princess Hydra into an 8 year old child, too. There is also a mother Princess who arrives to oversee the now betrothed couple (Valkyrie and Kazuto), random visits by other cousin Princesses, an occasional random alien, and a hodge podge of school classmates and local characters, which all add up to an Anime  Cosplayer's dream!

This was first broadcast on the Tokyo Broadcasting System's Kid's Channel, and is aimed primarily at the Preteen girl or Tween market. There isn't much to appeal to little boys, but there is some mild violence and allusions to nudity and occasional blurred shots of nudity (in the bathhouse environment).

So I would say that the parents would have to decide for themselves how appropriate this series is for youngsters.

But I will say that there is enough subtle and physical humor in the episodes, to make it entertaining for some adults as well.

So far only seasons 1 & 2 are available an English Dubbed mode for free on Amazon Prime, but seasons 3 & 4 have been dubbed here in the US, and should also be available soon. There are other re-versionings out there, too, but not all versions are currently available on Prime.

A good show for girls who are not yet old enough to date, and suitable for ages of maybe 9-14, and most adults with patience and a sense of humor.",1485820800,4,4157,4.738227146814404
2483671,3,B000E1ZB6I,meh,1485388800,2,3,3.0
2483672,4,B000E1ZB6I,Still watching the first season. It I like it so far !,1485388800,,54,3.5833333333333335
2483673,1,B000E1ZB6I,Didn't really like it. The storyline could have been better. Young Valkyrie really gets on your nerves.,1485129600,3,103,5.117647058823529
2483674,5,B000E1ZB6I,"Thanks, we like Japan anime",1483574400,,27,4.6
2483675,3,B000E1ZB6I,"Oldie but a goodie, much fanservice",1483401600,4,35,5.0
2483676,4,B000E1ZB6I,"Good artwork and animation. Story and plot seems to be all over the place. I would like to see more seasons, but it's not a ""must-see.""",1482883200,,135,4.230769230769231
2483677,2,B000E1ZB6I,Couldn't get through a forth of the show not worth my time. You may enjoy it I've been known to be wrong before lol,1481846400,2,115,3.8333333333333335
