,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2526830,5,B000EPFDDU,"I have waited so long for this DVD to finally come out!!!! I was amazed at all the ""MALE"" best ofs and virtually none of the females being recognized as some of the top comics of SNL. This is a genuinely super DVD!! I laughed all the way through - get it - this one's a keeper!!!!!",1152230400,6,281,3.9473684210526314
2526831,5,B000EPFDDU,"Best gift ever! I had been waiting for this to come out and it's even better than I expected. The audio commentary is hilarious! Hopefully, full seasons of SNL will be released soon.",1150934400,4,182,4.545454545454546
2526832,5,B000EPFDDU,"I love Cheri Oteri. She is the best thing that SNL had! I am sad that she is not on the show anymore, if you seen the show in the last few years you no what I am talking about. The best years was from when Molly, Will and Cheri Oteri were on the show, I miss those years. If you read this thing Cheri Oteri make more movies or do a TV show. I speak for lots of people! We WANT TO SEE MORE OF YOU! WE LOVE YOU! And there better be a Part 2 DVD. You would need 10 best of DVD's b/c everything this girl has done was just the best. Pick this DVD up! and Cheri Oteri we miss you and love you :*(",1150329600,5,591,3.5891472868217056
2526833,4,B000EPFDDU,"The 4-star rating is no reflection on Ms. Oteri herself, who was always my favorite cast member. She is amazing and can make anything hysterical, in my opinion. And the DVD does have its strong points; namely, the ""lost"" Morning Latte sketch and the audition footage. But why the Barbara Walters/Cheerleaders montages? I would have rather seen ONE entire BW/View sketch rather than 10 seconds of all of them. Surely they could have fit some of these on instead of, maybe, the full length airplane sketch with Chevy Chase, who seems to get more laughs (why?) while being woefully unfunny. The commentary is great - for the most part it's stuff the average SNL fan would want to hear. Cheri comes across as very genuine in person, which I kind of knew already. Naturally funny, talented and intelligent! What more could you ask for?",1150329600,7,830,4.770833333333333
2526834,5,B000EPFDDU,The first person who reviewed this is right- so much more of Cheri Oteri was missing from this DVD but I have waited (impatiently!) for YEARS  for the release of this  DVD so I am just glad to have some best of Cheri Oteri on SNL to watch- over and over.  I hope they do release a part 2 DVD.  Cheri Oteri needs her own show- like Tracey Ullman  where she can  explore her characters and create new ones.  This DVD made me pee in my pants from laughter.,1148601600,7,453,4.022471910112359
2526835,5,B000EPFDDU,"Good stuff for any Cheri Oteri fan.  I personally think that Cheri's talents were very underated and I'm glad they finally released this dvd.  One thing I wish they included in this best of dvd was the ""Robin Bird Show"" where she played a has been porn star with a talk show. It was pretty over the top. Maybe they will release a part II dvd.  There are still so much other matieral that she has done so I don't see why they couldn't!  Highly recommended and you won't be sorry you purchased this dvd.",1148428800,12,501,4.242105263157895
2526836,5,B000EPFDDU,often forgotten as an important part of the show.,1463011200,,49,4.555555555555555
2526837,5,B000EPFDDU,"She is by far the most creative and best of the women who have passed thru SNL.  She is so funny and insightful.  Some of her characters we have all have seen in our communities.  Strong, insightful women who are then a little bit crazy.  Only because they are coping with what comes their way.  The cheerleading skits with Will Ferrell are priceless.  Two outsiders who are so loyal to their school they are ridiculed yet show up at all the wrong ""sporting events"".",1456099200,,466,4.488095238095238
2526838,5,B000EPFDDU,"Hysterical, ask me? Cheri made Will Farrall. Give this gem a show please!!!",1455926400,,75,4.846153846153846
2526839,5,B000EPFDDU,I love Cheri Oteri so I would recommend this video if you have a good sense of humor and enjoyed watching her when she was on Saturday Night Leave.,1453420800,,147,4.103448275862069
