,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2618163,5,B000GTJSVC,"This video has 6 sections: legs, chest, back, shoulders, triceps, and biceps. Each section is 2 or 3 (for legs it is 4!) exercises that last 5 about minutes each which really wear each muscle down until you can barely lift any weight at all. By the time you are done working out a body part, you are really glad to be moving on. I consider that a good thing in an exercise video, because it pushes me harder than I would push myself.

There isn't really any cardio, though. However, if I want cardio I can do the Get Ripped 1000 workout. This one is great for all around strength and endurace.",1198540800,27,593,4.247787610619469
2618164,3,B000GTJSVC,"This is a good workout and I love Jari too but I prefer all of Jari's other workouts over this one.  I guess supersetting is just not for me. Also, in the lunge section near the beginning you hold your feet in the same place for a long time (in a lunge position).  I found this really irritated my ankle and foot while holding in back in that position for so long.  I have only done this video once and it will probably be a long time before I pull it out again (when I forget how much I did not care for it).  It is really HARD though.  Personally, I would highly recommend Get Ripped to the Core or even the original Get Ripped.  Those 2 are my faves..",1198195200,23,654,3.9923076923076923
2618165,5,B000GTJSVC,"I own all of Jari's video--and recommend them--but this one is my favorite!  This workout really focuses on the upper body (by the end my arms feel like spaghetti noodles), but there is enough lower body work to get your legs burning as well.  Both Jari (in her 40s) & Gaylene (in her 50s) will motivate you to stick with it...I am seeing increased definition after 3 weeks.",1197590400,4,374,4.485294117647059
2618166,5,B000GTJSVC,"All of Jari's workouts are great. In this one she adds more variety of exercises for each body part. I love this workout. It's fun, and it's very effective. Her sequencing and her style are great.",1197590400,14,196,4.472222222222222
2618167,5,B000GTJSVC,"Excellent, just like the first 3 DVDs I bought.
Makes you work harder than doing it on your own and even when you don't feel like working out, you don't want to let Jari down and then you really enjoy it.",1197504000,4,204,4.0
2618168,5,B000GTJSVC,"Jari is a fantastic instructor.  She may not be as vibrant and outgoing as a Christi Taylor or a Kari Anderson, but she is straight to business, get results instructor.  She could whip ANYONE into shape.
This is another brilliant workout.  I have all her other workouts and this is up there with them.  You really fatigue your muscles here.  Free weights and high repetition to get the maximum burn.  If you are going through a plateau or such, then this will push you beyond it.  It's really helpful to get your metabolism up because there is so much intensity for your muscles.  The first time I did this, I could barely move the next day and in fact I still felt the effects of this for almost half a week.  All you need is weights, maybe a dumbell if you want and you can use a step as your weight bench.
I thoroughly enjoyed this workout (yes, even through the fatigue and pain) because I know it's going to tone up almost any trouble spot and also because she is a good clear instructor who cues well.  I would only suggest doing this three times a week maximum, but as always, consistensy is key and do this with cardio.  I love it.",1196380800,33,1139,4.300469483568075
2618169,5,B000GTJSVC,"I LOVE Jari Love!  She seems so sincere.  My first (and favorite workout) of hers is Get Ripped 1000 'cause it has cardio with the muscle toning.  I recently got Slim & Lean and the new Get Chiseled.  This Chiseled one works every muscle good, but I find it really is more challenging for my upper body.  I was worked to failure on many of the upper body tracks and had to lighten my weight or stop for a few reps.  Remember the butt cramps from the original Buns of Steel with Greg Smithy?  Well, that is what this is for your arms, back, and upper body.  You will be sore!",1192752000,19,574,4.108108108108108
2618170,5,B000GTJSVC,"I'm fairly new to Jari's workouts but have really been enjoying them--I love how she pushes you to work hard yet doesn't kill you.  I was thrilled to be able to preview her newest video, Ripped & Chiseled.  I found it to be most similar to her Get Ripped Slim & Lean in that it is a long workout (just over an hour) which really challenges your endurance.  However, Ripped & Chiseled is different in that Jari uses 2-3 consecutive exercises per muscle group, so each area really gets hit hard!

Jari's background exercisers here include Gaylene from Ripped 1000 (who amazingly is 57 years old!), Judy, and Mike.  As with the other Ripped workouts, you have your choice of using different types of equipment, including dumbbells, a barbell, and weight plates.  Also, the weight loads for each exerciser are shown (this time BEFORE the exercise starts, which is great because it gives you time to set up) as well as the total number of repetitions.

Again Jari uses a high number of repetitions with varied counts (singles, 2-2, 4-4, 3-1, 1-3, and pulses), but she adds some new twists here, such as high/low pulses on the squats and 1-7/7-1 counts on the triceps work.  There are a total of 15 exercise tracks as follows:
1.  Warm-Up
2.  Lunges
3.  Squats
4.  Stiff Leg Deadlift/Bent Knee Deadlift
5.  Chest Press
6.  Push Ups
7.  Chest Fly
8.  Back Track
9.  Triceps Dips
10. Skull Crushers
11. Pull Overs
12. Overhead Press
13. Biceps
14. Hammer Curls
15. Cool Down

With the exception of the triceps dips, which is a bit shorter, each track averages around 4.5-5 minutes.  As you can see, there is no abs work, but the abs section from Slim & Lean (a nice quick abs routine consisting of 4 exercises performed in 2 sets), is included as a bonus.  The DVD Bonus features are as follows:  Abs Workout-Talking Nutrition-Healthy Recipes-Other Programs-Previews.

Although this workout is similar to Slim & Lean, I enjoyed it much more; it just seemed to flow more smoothly, making the time, although lengthy, go by more quickly.  Although not as intense overall as Ripped 1000, which includes cardio, I believe that Ripped & Chiseled is Jari's most intense endurance workout to date.  Since you are working each muscle group several times before moving on, you will probably need to use lighter weights than with Jari's other workouts--even Jari & crew dropped to lower weights during the biceps section!  Therefore, this would not be a good workout to use as part of a heavy lifting routine.

The best thing about this workout was that I felt great after I was done!  Definitely an excellent endurance workout for intermediate to advanced exercisers; highly recommended.",1190764800,180,2669,4.758169934640523
2618171,4,B000GTJSVC,great exercises.  but long,1450483200,,26,5.5
2618172,5,B000GTJSVC,My favorite Jeri Love!,1441324800,,22,4.75
