,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2667660,4,B000JBWWQK,"The 1991-92 season,the sixth of Fox's Emmy-winning Married...With Children,begins with the pregnancies of Peggy Bundy(Katey Sagal) and Marcy Rhoades D'Arcy(Amanda Bearse). Sagal's real-life pregnancy was written into the show and unfortunately,she miscarried. She did have children by her now-ex-husband Jack White,though. Peggy did miscarry with her and her husband Al's(Ed O'Neill) third child. The child would have enjoyed(to a degree) a good life with his/her siblings Kelly(Christina Applegate) and Bud(David Faustino). Kelly and Bud lambasted Al for impregnating Peggy against her preference. On September 8,1991 when this season began,Marcy and her second husband Jefferson(Happy Days veteran Ted McGinley) had been married for nine or ten months. Marcy did contemplate having children with her first husband Steve Rhoades. McGinley is now an official MWC cast member. He joined MWC in late 1990 but on a frequent guest star basis. However,McGinley's inaugural appearance on the show was in the season 4 episode IT'S A BUNDYFUL LIFE. For the first time since his final appearance as a regular in the season 4 episode ROCK AND ROLL GIRL,David Garrison as Steve Rhoades,makes a guest appearance in THE EGG & I. Accountant-turned-forest ranger Steve is wanted by the FBI for stealing a rare hawk egg. He hides out in his old neighborhood amongst the Bundys' home and his ex-wife's home. Also,although he called it quits on his marriage to Marcy,Steve intended to reclaim her,not knowing she had remarried. Marcy was far from enthused about Steve's visit and he and Jefferson fight a duel. The Bundys witness the duel and a camera is in Peggy's hands. The Bundys were surprised by Steve's visit as well. But Steve is caught and taken into police custody. In the season finale,the Bundys travel to England. The other episodes are great. Al still manages his shoe store,Peggy still is a lowly mobile housewife,Kelly is working various jobs and attending college and Bud is doing the same as Kelly. The late briard Buck is still like Peggy,lowly mobile(he was by this time elderly and died before the series ended). This season has a mostly new opening montage(personal scenes for almost every cast member). And in the closing montage,Al and Peggy are still sitting on their sofa. This montage has been used since the beginning of 1990. Six down,five to go.",1162252800,3,2357,5.221635883905013
2667661,5,B000JBWWQK,"You might be asking ""Does it still have the substituted theme song?"", and unfortunately it still does but, that shouldn't stop you from purchasing this amazing dvd set. The episodes are the uncut, non-syndicated versions so that is something to be happy about. This is a great season and includes one of Married...With Children's best three-part episodes, ""The England Show."" Just those three episodes are worth the price alone.

This season features hilarious cameos from other celebrities and past cast members such as David Garrison (Steve Rhoades) in ""The Egg And I.""

This is also the season where Peg and Marcy were supposed to have babies at the same time but, since Katey Sagal (Peg), who was actually pregnant in real life suffered a miscarriage. The show later decided that they wouldn't want to use a stand-in baby (as she wanted to use her real baby in the show) and, that is why the season had to use the ""it's all a dream"" idea (borrowed from the show Dallas). The show was already good in the past five seasons but, this is the season where the show really got going. This set will keep you laughing for hours and you will want to watch these episodes ever and ever again. It's good that fans of the show are able to quit watching those old VHS recordings and finally view the episodes in the clarity which they were originally shown. Lastly, if you have seasons 1-5 already, don't hesistate to order this right away.  If you've managed to make it through my entire review, I thank you very much and hope that you enjoy Married...With Children as much as I do!!!",1160956800,55,1577,4.625
2667682,5,B000JBWWQK,EXCELLENT series I've enjoyed it so much and really enjoy going back and looking at them at my leisure.,1465257600,,103,4.473684210526316
2667683,5,B000JBWWQK,Classic,1462924800,,7,7.0
2667684,5,B000JBWWQK,"great show, well worth the money to own this classic",1459728000,,52,4.3
2667685,5,B000JBWWQK,"""so this is how sinatra felt""  is my favorite married episode",1456876800,,61,4.545454545454546
2667686,5,B000JBWWQK,Al Bundy for President,1453507200,,22,4.75
2667687,5,B000JBWWQK,"Classic! Lemme tell ya, I grew up on this show, just the right amount of vulgar to not be offensive and with colorful characters that we can all relate to. I love the Bundy's...they just don't make good t.v. like this anymore.",1450656000,,226,4.404761904761905
2667688,5,B000JBWWQK,Awesomeness! I've always loved this show since I was a kid n so excited to see the spinoff!,1440028800,,91,4.111111111111111
2667689,5,B000JBWWQK,look at my other reviews for comments,1437436800,,37,4.428571428571429
2667690,5,B000JBWWQK,My favorite show!,1436572800,,17,5.0
2667691,5,B000JBWWQK,IT'S AL BUNDY FOR GOODNESS SAKES!,1435708800,,33,4.666666666666667
2667708,5,B000JBWWQK,FUNNY!,1435104000,,6,6.0
2667709,5,B000JBWWQK,"The dvd came in a very timely manner.  This show will go down in rerun history, it will always be funny!  The cast is just terrific.  Ed O'Neill has the character of Al Bundy down pat.  If anyone needs to relax after a tough day at work, this will do it.",1432598400,,254,3.9215686274509802
2667710,5,B000JBWWQK,WHO DOSEN'T LOVE AL BUNDY????,1432512000,,29,5.0
2667711,3,B000JBWWQK,good.,1429574400,,5,5.0
2667712,5,B000JBWWQK,very Funny,1428624000,,10,4.5
2667713,5,B000JBWWQK,A wonderful series,1425859200,,18,5.333333333333333
2667714,5,B000JBWWQK,Married With Children is my favorite show.,1425340800,,42,5.142857142857143
