,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2723685,2,B000M4RG4C,Corny. Cheesy. Don't waste your time.,1517788800,,37,5.333333333333333
2723686,3,B000M4RG4C,A somewhat superficial treatment of an iconic American moment.,1517616000,,62,6.0
2723687,5,B000M4RG4C,great movie,1516147200,,11,5.0
2723688,3,B000M4RG4C,"If you like flashbacks in your movies you should really enjoy this one, there must have been 500 flashbacks.

rather boring.",1515024000,,124,4.904761904761905
2723689,5,B000M4RG4C,"Rental, Glad we watched it.",1514937600,,27,4.6
2723690,1,B000M4RG4C,"I ordered this movie looking for the ""dubbed in English"" version. The product info said just that and I ordered it it took three weeks to come from Australia and when I played it the movie is in its original form Spoken in Japanese with English subtitles... I already have four copies of the movie already.....",1513814400,,310,4.553571428571429
2723691,1,B000M4RG4C,"Movie was good, but now that I know it's based on a lie I'll never watch it again. John Bradley was not one of the six flag raiser and he lied about it. His lie stole valor from the real flag raiser, Marine Harold Schultz. Bradley was removed from battle so he could go home to sell war bonds, and be honored as a hero while Schultz remained on Iwo Jima, and continued to fight till the end of the battle. Who's the real hero?",1512172800,,426,4.023529411764706
2723692,5,B000M4RG4C,Every ninth grader should watch this!,1511049600,,37,5.333333333333333
2723693,5,B000M4RG4C,ya gotta read this to get to know the  OUR country better,1509580800,,57,3.75
2723694,1,B000M4RG4C,don't like!!,1506124800,,12,5.5
2723695,5,B000M4RG4C,GREAT MOVIE AND A MUST SEE.,1505692800,,27,3.6666666666666665
2723696,5,B000M4RG4C,Good movie,1505088000,,10,4.5
2723697,5,B000M4RG4C,Great movie!,1504742400,,12,5.5
2723698,4,B000M4RG4C,"What can I say, it's a DVD.",1504396800,,27,3.0
2723699,5,B000M4RG4C,It was ex service,1504224000,,17,3.5
2723700,5,B000M4RG4C,No comment,1503792000,,10,4.5
2723701,1,B000M4RG4C,"Rather disappointing compared to Letters from Iwo Jima.
Was expecting more on the brutal combat that the Marines faced in that horrific battle,instead the Maine focus was on the bond drives at home.
Semper Fi Marines.",1501718400,,217,5.055555555555555
2723702,5,B000M4RG4C,A great edition of this film.  And the special features are well worth it,1499817600,,73,4.214285714285714
2723703,5,B000M4RG4C,This is a good movie. I recommend everyone watch this!,1498953600,,54,4.5
2723704,3,B000M4RG4C,OK movie but too many flashback scenes for me.,1497571200,,46,4.222222222222222
2723705,3,B000M4RG4C,"Not near as good as ""Letters from Iwo Jima."".",1496534400,,45,4.111111111111111
2723706,1,B000M4RG4C,"The dvd was defective, the video stopped mid way.
I would like to return the dvd for a refund.",1495929600,,94,4.0
2723707,5,B000M4RG4C,A+,1495152000,,2,2.0
2723708,5,B000M4RG4C,"Had read the book, and the film does great justice to the confusion & manipulation that happened after this event. So sad to see how ""heroes"" were manufactured to raise $, when they themselves didn't feel worthy of the adulation.
Meanwhile, gives a taste of how brutal the Japanese were- they'd qualify as jihadists today.",1494201600,,322,4.872727272727273
2723709,3,B000M4RG4C,"I know this film got rave reviews but, frankly, I was disappointed that much of it was boring.  The book was better.",1493510400,,116,4.2727272727272725
