,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
2988744,4,B000WOSAWE,"I really like this dvd for 1 big reason: Variety!  I don't have to do the same workout or see the same trainer day in and day out - that really beats my biggest problem - boredom.

All of the trainers are fun and most of the workouts have one person (there are 4 in the background) doing a lower impact version of the moves.  Some of the choreography can be tricky and take a few times through to pick up - but that is part of the challenge.

This is my new favorite cardio dvd and I use it 2 times a week.",1211155200,,506,3.8365384615384617
2988745,5,B000WOSAWE,"I'm surprised by all the mixed reviews on this video.  I am fairly fit, and I still get a great workout from most of these routines.  Violet's workout is especially my favorite.

You'll notice that most of these reviews who didn't rate the video well only had a problem with the advertising and didn't spend too much time on the actual workouts.  The advertising didn't bother me much, and I actually appreciate having a water break in the middle of the routine!",1205452800,7,462,4.597560975609756
2988746,1,B000WOSAWE,"Beware Reviews of this DVD Where The Reviewer Has Only Reviewed Star Trainer Videos, as they may be from the company or from the advertiser!  While we live in an age of advertisements, it is beyond comprehensible for a company to insist that before each workout the instructor must mention to ""bring your Propel"" and get ready to workout.  And then to top it off, each workout is stopped for a Propel water break, in which the instructor and the people working out behind him or her, explicitly show that they are drinking the branded water!  The camera even zooms in on the water bottles before they are picked up from the floor!  If anything, we should all ban Propel for pushing this onto a DVD we have purchased.  Banning companies that cross the line may be the only way to get through to them, and hopefully stop this practice in its tracks.  If they really needed to advertise, maybe they should have just had the instructor wear a ""Propel"" t-shirt or something.  But since they did not, I will never drink Propel again!",1205366400,20,1027,4.548913043478261
2988747,5,B000WOSAWE,"With the 5 different Star Trainer workouts, you have so many options to choose from. I love having the option of what style routine I want to do.",1203984000,3,145,4.214285714285714
2988748,4,B000WOSAWE,"Violet Zaki is probably my favorite fitness instructor of all time. I have done every workout she has ever put on dvd and I love them all. I bought this item because I knew she was in it and that she wouldn't disappoint and I was right. This is a great video, yes there is quite a bit of advertising which gets annoying. But this video will make you sweat and Zaki's workout will get your muscles screaming for mercy.",1203292800,5,417,4.225
2988749,4,B000WOSAWE,"Sometimes there's nothing like a good, pure cardio workout, which you'll get with this DVD, along with other benefits.  Violet Zaki's kickboxing/martial arts will sneak in some toning, and the cardio bursts in Kimberly and Kendall's workouts will get you some added burn.  Rob Glick's workout is a bit more challenging as far as choreography, but not overly demanding physically, and Gay Gasper's is good, old fashioned aerobics.  You can't go wrong here.  I'll admit the propel plugs are annoying, but it was probably necessary to fund production.  Each workout is roughly 30 minutes, so you can mix and match depending on what your goals are.  There's something here for everyone.",1201478400,17,682,5.099099099099099
2988750,2,B000WOSAWE,"I don't like the fact that there is so much advertising for the brand of water they use in each of the workouts - it's pretty annoying.  In one of the workouts, they actually take a break of several minutes while the instructor talks about how great this water is.

I also felt that the workouts were more on the low impact side, and I didn't get that great of a workout from them.  With most of them, I barely break a sweat.  Also, some of the workouts spend too much time teaching the routines and then breaking in between - which amounts to too much down time for me.

I might use this for a light workout or for days when I don't really feel like exercising, but it certainly won't be a regular for me.",1201478400,14,706,4.124087591240876
2988751,5,B000WOSAWE,"Awesome DVD! There are 5 solid intermediate workouts for a great price and even better when you find it on sale! There is good variety and while some are more complex then others (Rob Glick is fairly complex) I think there is a little bit of everything in there. The advertising is brief but present... and I'm willing to deal with it if it means they can pack THIS many workouts on one DVD. My favorite workouts were from Kendell, Violet, and Kimberly for differing reasons. Violet will leave your legs screaming but in a good way, Kendells is just fun, and Kimberly because she's just enjoyable to work with.",1199923200,12,610,4.554545454545455
2988752,1,B000WOSAWE,"I got this new CD and was looking forward to doing it, but it did not happened. The first workout was hard to follow and I tried the second one. Unfortunately the CD at the beginning of the each workout (no you cannot skip, it is the part of each workout) has the video of all stars showing their muscles and smiles (OK) then they have to advertise the water and then I got really upset because early in the morning when every minute count and I do not have any choices but watch their commercial for 2-3 min. You really have to watch it otherwise you will miss the beginning.
I have a lot of CDs at home, and it never happened before this particular CD. Needless to say that this series is out of questions for me to buy.",1199836800,15,722,4.127659574468085
2988753,5,B000WOSAWE,"These five workouts are really great.  They are full of energy, and the instructors are all knowledgeable and friendly.  They cue well and get you motivated.  After advertising their prefered brand of water (Propell), they go straight into it.  One of the five exercisers usually has a calorie burner moniter on, and at the end of the workout, you find out how much they burned during the workout and you'll know you roughly got the same.  The music is great and the set is nice and hip.
Each of the five workouts are approximately 25 minutes in cardio (then there is a warmup and cool down).  There is kickboxing, dancy combos, grapevines, shuffles and mixes of low and high impact to name a few.  I love how you can mix the workouts up so you'll never get bored, and while some are a little tricky to follow, it's fun trying to get there and improve on your last try.
You don't need any equipment for these routines and they really are so much fun.  You have to give them a go.  You'll love it, have fun and burn heaps of calories (especially if you put quite a few of these segments together).",1199491200,24,1096,4.3861386138613865
2988754,5,B000WOSAWE,I been workingout with kendall hogan and the rest of the trainers since i was 20 they always gave me good results everytime!,1367539200,,124,4.434782608695652
2988755,5,B000WOSAWE,I like having the five different workouts by five different trainers so I can mix them up depending on what I feel like doing. I also mix them up with the Star Trainers Abs & Strength training videos. Good bang for your buck.,1362096000,,225,4.255813953488372
2988756,2,B000WOSAWE,"It's true, these workouts, thought brief (30 min + cool down), really get your heart pumping. Time passes quickly with the fun & complex choreography...when I can follow it. Unfortunately,  there is far too little cuing, particularly for the complexity. I had to repeatedly stop & skip entire moves while I figured out what I was supposed to be doing. Even rewinding the DVD didn't help. Also, there is very little instruction regarding technique, even when a new move is introduced. Nothing about which muscles to contract, nothing about posture, nothing about safety.  (Gay Gaspar's has the worst ratio of complexity to instruction/cuing) Overall, I felt like these ""star trainers"" did a good job of showing off (their own fitness level & their abilities to choreograph) but they did little to demonstrate their teaching skills.

My second problem is with the chapter set up. One can skip ahead in 5 minute intervals & it's easy to skip the cool-downs if you want to do more than one workout. Unfortunately, at the beginning of each new workout you either have to watch a silly montage of all the trainers getting photographed & listen to the instructor's intro (including sales pitches) or start each workout 4-5 minutes into the first routine.

My last complaint, is the selling. If this were a free video on Hulu, I would think it a fair trade-off to have listen to the instructors selling product (their own or a sports or whatever). Ads put at the end of a DVD, so that one may choose to watch or not, are also a-okay with me. However, If I've paid for the DVD, then I find it extremely inappropriate to be forced to listen to sales pitches.

I plan to keep this DVD for those moments when I need a break from my favorite workouts. But there's a good chance I'll never do it again. Certainly, I'll never buy another ""Star Trainers"" workout. Also, I'll be very cautious about buying workouts from any of the trainers on this video.",1360800000,,1937,4.685294117647059
2988757,4,B000WOSAWE,"One of my permanent staples. 5 varied workouts to 5 different instructors with different styles, focus and movements. If you are easily bored, this is a great DVD to have. For the price, you get almost 3 hrs of workouts that will get your heart rate going.

Here they are rated in order, from hardest to easiest, from an aerobic perspective:

1. Kendall Hogan
2. Violet Zaki
3. Gay Gaspar
4. Kimberly Spreen
5. Rob Glick",1355443200,,420,4.5131578947368425
