,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3153656,5,B001675ZKG,"I have enjoyed my soul food series dvd. If you're a soul food fan you will love it and if you have never seen the series I would recommend you buy it it's great. A story about 3 African American sisters and the triumphs, trials and tribulations of their lives.",1266192000,10,260,4.22
3153657,5,B001675ZKG,"Amazon had the best deal I could find, It came quickly, and I watch it daily!",1254528000,2,77,3.875
3153658,5,B001675ZKG,"This is an excellent show.  I watch it over and over again.  I wished the show could've lasted 5 more years.  This show is a positive look into the lives of an African American family.  Even though the three sisters live separate lives, they always seem to intertwine and come together. If you are looking for a sophisticated drama, this show is it. BUY IT!",1253491200,4,357,4.446153846153846
3153659,5,B001675ZKG,"+++ Produc received earlier than expected - great !
--- I had to pay custom fees which I do not find normal (20 !!!)",1252281600,,116,3.875
3153660,5,B001675ZKG,I loved the movie and was a faithful fan of the series. So naturally I love having my own copy.,1241827200,3,95,3.8
3153661,5,B001675ZKG,"I loved the show when it aired.  I missed the last two seasons and was disappointed when it ended.  I've started to watch it and it is excellent as I remembered.  When there's nothing on TV and you want serious, funny and intoxicating drama with some good music --- this series will fit the bill PERFECTLY.  Enjoy!",1232755200,7,314,4.456140350877193
3153662,5,B001675ZKG,I have watched all four seasons and am impressed with them. I really enjoy watching the episodes over and over. Great product!,1229990400,3,126,4.7727272727272725
3153663,1,B001675ZKG,"This is not a box set. The first season is a box set, the 2nd,3rd, and final season are individual dvds put together with the first season. I don't know if they came that way or put together like that. But I don't consider that a box set. It makes me feel like I got ripped off. I could've bought them individually myself if that's what I wanted. This seems like a<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Soul-Food-The-Complete-Series/dp/B001675ZKG/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Soul Food: The Complete Series</a>&nbsp;case of dishonest advertising. I just want to let other customers know what their getting so they can decide if they want to get it like that.",1219017600,69,687,5.552380952380952
3153664,3,B001675ZKG,"Boxed video set states that the episodes are edited versions of the original series. Booooooo! After reading the disclaimer, I will still keep it. In this day-and-age of unsensored videos, shame on the manufacturer.",1215561600,42,215,5.352941176470588
3153665,5,B001675ZKG,He loved them,1392595200,,13,3.6666666666666665
3153666,5,B001675ZKG,"I remember this show growing up but didn't keep up with it and always wanted to see it plus it was on sale so finally decided to buy it, came in great condition no complaints each season has its own case with the first season the only one that come in that big box like case all the other are regular size case.
The picture quality sucks I can say that I have a true HD TV and this looks horrible on it also it shows in 16:9 which means a lot of black space the bigger TV is.
I don't know why a lot of older TV shows have not been transferred to blu ray yet but this is a good entertaining show keep my attention for all four seasons.",1392508800,,634,3.8473282442748094
3153667,4,B001675ZKG,Love the dvd set. Just what i was looking for. Bought it brand new. No scratches no dents no complaints.,1391990400,,104,4.25
3153668,5,B001675ZKG,It's the best!! The whole series of this great family show! I love the way the movie was made into a series. So sad when it was over!,1390867200,,133,3.7857142857142856
3153669,5,B001675ZKG,Love this show! It is so sad the shows of today have not exceeded the content or quality of this show. I would like to say R.I.P James Avery. James Avery was a wonderful actor. I was so happy to see him play Damon's father at the start of season 2.  Judge Carter in season 1 had a small part in 1 episode of the season and when I saw him I thought back then why didn't' James Avery for this part. I was so delighted to see James Avery as the replacement. I am glad to have this series on dvd however after watching this DVD series some episodes appeared to be missing some scenes so it is definitely edited in season 2-5. It is not as bad as the versions on BET/Centric. It would have been nice to see extras or deleted scenes. I also wished they would have made all seasons either full screen or wide screen. As another reviewer pointed out the final season is wide screen however the picture is grainy. Stretching the video to appear as widescreen compromised the quality of the picture. I played the disc in my blu-Ray player and I also have an HDTV. The picture was still grainy on the screen. I wish the was an option to buy this series on blu-Ray.  Even with the disc quality compromised in the final season the show deserves 5 stars. The final episode was a bit rushed but at least the fans were given some closure. It would be nice to see a soul food reunion show or perhaps bring back the show with a new cast focusing mostly on the Chadway and Van Adam family since the kids are adults now probably of college age. There is still more to be told about this family of matriarch and patriarchs.,1388707200,3,1602,4.1980519480519485
3153670,5,B001675ZKG,This series is fabulous! I love the characters and crazy story lines and dirty little secrets that pick up where the movie takes off.,1384819200,,133,4.583333333333333
3153671,5,B001675ZKG,"Every episode leaves you wanting to see more.  I have watched the entire series now and it was great.  Story lines hit on many issues that's real to life.  Thought compelling to know family drama is not so bad after all and with love, you can make it through anything as a family.  Stick together folks and keep the soul food dinners going.",1366329600,,340,4.349206349206349
3153672,4,B001675ZKG,this show brings back a lot good memories and shows real issues in the black community that are still existing now,1363046400,,114,4.476190476190476
3153673,5,B001675ZKG,Soulfood is really good for the soul and I thank Kenneth (Babyfaced)Edundson and TracyEdmundson for writing and producing the show for truning the movie into a tv mini series bring it to are homes and as we watch the show we learn a lot and grow from it and its real life bring families together to teach us about love for one another how to stay strong no matter how bad things are its to be there for one another.,1362873600,,415,4.2
3153674,5,B001675ZKG,this dvd can not be compared to others the quality is great and i'm in love with this series i watch it every day a little at a time,1362700800,,132,3.586206896551724
3153675,5,B001675ZKG,"I bought the first season when I was in OIF 1 in 2003, when I deployed this time I figured why not get all five seasons.",1359763200,,120,3.6538461538461537
3153676,5,B001675ZKG,Purchased series dvd set as a gift for a friend that is more like my family Christmas 2012. Item arrived on time which is a worry around the holidays plus in perfect condition she loves it. And I am very pleased as well.......,1358812800,,226,4.27906976744186
3153677,4,B001675ZKG,"It was great to catch up on missed episodes and get reacquainted the characters of this series. I was unaware that a couple of the discs wouldn't play the last episode in a season, until well after purpose. But overall it was great.",1357603200,,232,4.4186046511627906
3153678,5,B001675ZKG,I love it because it was well worth the price it was excellent...I would recommend to all my friends and family,1356739200,,111,4.333333333333333
3153679,5,B001675ZKG,I loved this show. But just curious did they edit content on this dvd..Like they won't be bleeping out language and things that made the show good will they? The content is the same content from showtime right?,1356307200,,210,4.552631578947368
3153680,5,B001675ZKG,"i order this set because iam a huge fan....i enjoy this whole entire series, its not to many stories on black love and families. i thank jehovah thou the blood of jesus; first, secondly, i thank you amazon for having these on your website.",1344038400,,239,4.454545454545454
3153681,5,B001675ZKG,Best series ever! This should have never gone off the air it is so real ! and I can definitely relate!,1332288000,,102,3.9047619047619047
