,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3473942,5,B001AYJ2Y0,Movie for the entire family. Just as good if not better than the original. Metaphors used to convey the life of a believer.,1509494400,,123,4.391304347826087
3473943,5,B001AYJ2Y0,For the young and old.  For those familiar with the word and those new to his teachings.,1505433600,,88,4.176470588235294
3473944,5,B001AYJ2Y0,All's good. Thanks.,1505088000,,19,5.666666666666667
3473945,4,B001AYJ2Y0,I was surprised.  It was better than I had anticipated.  It is a good start prior to a study.  I'm thinking about getting a few as Christmas Presents.,1504310400,,150,4.285714285714286
3473946,4,B001AYJ2Y0,"I think this is one of the best movies ever made. About a young man named Christian's journey to the Celestial City. Based on the novel Pilgrim's Progress by John Bunyan, it's the second most widely read book in the English language behind the  Bible. Can't go wrong.",1503014400,,267,4.5625
3473947,5,B001AYJ2Y0,Great movie makes you check up!,1502841600,,31,4.333333333333333
3473948,5,B001AYJ2Y0,"Love this movie.  The best  Pilgrim's Progress movie I know of despite The cheesy-ness of the acting.  John Bunyan's written work comes out, and it'll lift your soul regardless - trust me.  :)",1502496000,,192,4.7272727272727275
3473949,4,B001AYJ2Y0,"Great story! The acting is not so great, but worth watching for the story.",1497312000,,74,4.357142857142857
3473950,5,B001AYJ2Y0,"This is a wonderful film. Nothing else like it! A fantastic retelling of teh popular book. This movie is so blessed, it will bless you and everyone who watches it. Very well made movie. Every Christian needs to see it. 5 STAR Movie. I love it more than many good secular movies. Please watch it when you get a chance!",1496880000,,317,4.3
3473951,5,B001AYJ2Y0,"Read the book or watch the movie, Pilgrim's Progress will help you see that this life is a journey and God wants us to stay on the right pathall the way till the end.  -The problem is, Lots of people come along the way... to try to take us off the pathand we follow thembecause we trust what they saywe trust the wrong people and things.  Thankfully, God always sends someone, to help us get backon the right path again-but we have to pay attention and notice, otherwise -we can miss and not recognize when they come...",1496275200,,519,4.34020618556701
3473952,4,B001AYJ2Y0,"A little ""cheesy"" but a good visual summary of the book. I had my students do a comparison of the novel to the movie.",1493683200,,117,3.9166666666666665
3473953,5,B001AYJ2Y0,This is a great movie!,1493078400,,22,3.6
3473954,5,B001AYJ2Y0,"LOVE, LOVE, LOVE IT.  Should be required viewing for every young person!  A current remake in modern times of the old classic;  well done and of course, the message is eternal!",1492128000,,176,4.612903225806452
3473955,5,B001AYJ2Y0,You have great products and I love doing business with you.  Thanks. Alma,1490400000,,73,4.615384615384615
3473956,5,B001AYJ2Y0,good video,1489795200,,10,4.5
3473957,1,B001AYJ2Y0,Corny doesn't even begin to describe this movie.  I bought this to show to my students after reading the book; we could hardly get through it without laughing. The acting is atrocious. It's just all so bad.,1487808000,,206,4.5675675675675675
3473958,4,B001AYJ2Y0,"A nice version of the classic written by John Bunyon in 1660.

This modern adaptation includes the great visual effects and lovely scenery, the director's commentary and closed captioning. I've watched it several times and find that I pick up something new each time.

I recommend one per household.",1487548800,,299,5.081632653061225
3473959,5,B001AYJ2Y0,Best ever!,1487548800,,10,4.5
3473960,5,B001AYJ2Y0,better than I expected,1487203200,,22,4.75
3473961,5,B001AYJ2Y0,GREAT movie!  Very pleased!,1486339200,,27,5.75
3473962,5,B001AYJ2Y0,Excellent remake of the original for more modern times it is one of myself and my 14 year old daughters all time favorite movies and we always no matter how many times we watch it come across something new a masterpiece,1486339200,,219,4.365853658536586
3473963,5,B001AYJ2Y0,"Like the director said in the special features, if you haven't read the book, do so.  This modern telling helps younger readers to get into the allegory of the story.",1485475200,,166,4.533333333333333
3473964,5,B001AYJ2Y0,"They did a fantastic job on this.  We had the old one, and this one is far superior.",1484784000,,84,3.6666666666666665
3473965,5,B001AYJ2Y0,"This was for a dear friend. I did watch the movie on YouTube, some quality issues...haha",1484265600,,88,4.5625
3473966,2,B001AYJ2Y0,"I really wanted to like this movie since I loved the book, but this was very chintzy and I couldn't take it serious. It has a good story, but it was like they had no budget for the movie, so the story is lost because the acting is so lame.",1483660800,,239,3.8
3473967,4,B001AYJ2Y0,"First of all, nothing will ever compare to the book!  I read Pilgrim's Progress as a child, a young teen, and I've read it as an adult (and appreciated it even more!). I've read it to my children.  I've shown the old animated version in Junior Church and hoped for a more up-to-date, real-life version for the teens.  This is a very worthy attempt.  One needs to remember throughout the film that this is a dream.  Otherwise, a man with khaki pants and armor will seem a bit cheesy.  I do appreciate the present-day feel, but I wish that the scene where he loses his burden was a bit more defined.  The acting is good.  My teen daughter remarked that it is slow in a few places, but compared to the old film I remember, this one moves along.  Special effects are decent. I was disappointed in the effects at the end where he crosses the river, but in retrospect I suspect there might be a reason the river looked so calm as they waded in, but grew turbulent as they crossed. The film as a whole is very thoughtfully done with regard to the things one encounters in the Christian life.  Some parts made me cry and others reaffirmed the truths I know in my heart as a believer.  It would provoke some good group discussion.  It's a worthy addition to our church library.",1483660800,,1268,4.348936170212766
3473968,5,B001AYJ2Y0,Exactly as described. Great movie and easy to understand. We got this for my daughter to help her understand the book & it helped her out tremendously!,1483488000,,151,4.62962962962963
3473969,5,B001AYJ2Y0,Thank you.,1483056000,,10,4.5
3473970,5,B001AYJ2Y0,Great movie; arrived on time.,1483056000,,29,5.0
3473971,5,B001AYJ2Y0,"Great movie,  thought and heart provoking.",1481414400,,42,6.0
3473972,4,B001AYJ2Y0,"Although this modern day version is not what I had expected I am happy to recommend this movie of Pilgrims Progress. Perhaps the contemporary setting will appeal more to the younger generation and it it does it will have served its purpose well.

i use it as an adjunct to my lectures in business ethics at the Master's level, along with the print version of the book to help prepare young students for some of life's trials and tribulations. John Bunyan's own life story is inspirational to all.

John Barnes,
Bangkok,
Thailand.",1479600000,,529,4.739130434782608
3473973,5,B001AYJ2Y0,"Very highly recommended, for both new Christians, and those of us who have been Christians for several years.
If only everyone's name described their personality.",1476835200,,162,5.52
3473974,5,B001AYJ2Y0,"Very good quality DVD. Well packaged, brought for use in Australia so DVD not locked to any Zone, pretty good. I would recommend reading the Pilgrims Progress book, as this movie is a representation of it, in a modern day settting. But, the movie misses out some key scenes as originally written by John Bunyan.",1475366400,,311,4.672727272727273
3473975,5,B001AYJ2Y0,Great Christian movie for kids and for adults,1475280000,,45,4.75
3473976,2,B001AYJ2Y0,Very boring.  I thought it would never end.,1475280000,,43,4.375
3473977,4,B001AYJ2Y0,"This movie is a doctored up version of 70's version of Pilgrim's Progress. Some of the special effects are not high quality and the makeup special effects leave something to be desired. Overall, it was a decent story line and it is a nice contrast to the cartoon version that I like as well as the Liam Neeson version. I think this one more closely parallels the book than some other renditions. If you're looking for a more ""Hollywood"" version of this beloved story line, then you will find this appealing. Some of the imagery definitely has more of an impact on your thinking, simply because the visuals bring the book to life. I've watched it several times. For a while, it was our ""go to"" movie.",1472256000,,699,4.511811023622047
3473978,1,B001AYJ2Y0,WAS NOT THE MOVIE. WAS A DESCRIPTION FOR PASTORS TO BUY MOVIE. WAS NOT THE ADVERTISED PRODUCT,1471996800,,93,4.529411764705882
3473979,1,B001AYJ2Y0,I was disappointed in the DVD received.  The only thing that played were the Director commentary and chapters of the movie. I really was looking forward to seeing a movie that everyone rated as excellent. I hope that I can return and receive a DVD with the movie not just chapters.,1471737600,,281,4.509803921568627
3473980,5,B001AYJ2Y0,"This film is a great visual representation of the struggles and joy of following Christ.
It inspires me to keep my eyes on the Prize.
One day we'll be in Heaven...and all of the Father's original Paradise will be restored!
We'll meet Jesus- the one who finished it all!
And the Person of the Holy Spirit will keep us on course.",1471219200,,327,4.377049180327869
3473981,1,B001AYJ2Y0,"Ordered this movie twice and both times I got a promotional dvd that looked just like the right movie until I tried to play it. When I tried to play it there was a message from director, a movie trailer and then 5 promo chapters from the movie. No where on the DVD was the actual movie. Took a while to figure out and make sure I wasn't missing some option. I put it in my computer and the file is named ""church promo"". My assumption is that somehow these promos were incorrectly packaged as the full length movie (only thing that makes sense to me)...No other comments on this issue in the reviews so thought I better add one.

Amazon was very easy to work with both times but Im done for now just getting a refund.",1471219200,,716,4.188405797101449
3473982,5,B001AYJ2Y0,Given as a gift,1468972800,,15,3.0
3473983,2,B001AYJ2Y0,"This is such a great story so don't buy this super cheesy movie production.  Get a GOOD ""Pilgrim's Progess"" movie.  The movie is poorly made the acting is horrible and it is so stupid.  This is a great story by John Bunyan, find a better production for this one. . .",1468800000,,266,4.176470588235294
3473984,5,B001AYJ2Y0,Amazing book,1467244800,,12,5.5
3473985,5,B001AYJ2Y0,Great,1465862400,,5,5.0
3473986,5,B001AYJ2Y0,Great movie for explaining the Christian walk from the day we receive salvation until we see Jesus face to face.,1465689600,,112,4.65
3473987,5,B001AYJ2Y0,Great Movie,1464912000,,11,5.0
3473988,5,B001AYJ2Y0,Love it,1464652800,,7,3.0
3473989,5,B001AYJ2Y0,This movie address all the temptations of man and is a must see movie.,1464652800,,70,4.071428571428571
3473990,3,B001AYJ2Y0,It was a good simplified version.,1464652800,,33,4.666666666666667
3473991,5,B001AYJ2Y0,Excellent movie! Great for youth nights! Read the book too! Preferably before you watch it!,1464307200,,91,5.133333333333334
3473992,5,B001AYJ2Y0,"Bought this for my father for his birthday, he loves this movie.",1463184000,,64,4.416666666666667
3473993,5,B001AYJ2Y0,"This is the 3rd time I buy this movie! I lend it to people and they just want to keep watching it. It isn't your Hollywood special effects kind of movie, but the message will convict your heart! I love John Bunyan, and this really is honoring to his book.",1463011200,,255,4.12
3473994,5,B001AYJ2Y0,What a fantastic  story. Very inspiring.  Would recommend  this  to anyone,1461456000,,74,5.454545454545454
3473995,5,B001AYJ2Y0,Excellent movie with not bad acting.  Want to share it with friends.,1461283200,,68,4.666666666666667
3473996,5,B001AYJ2Y0,nice,1458864000,,4,4.0
3473997,4,B001AYJ2Y0,as expected & promised,1458086400,,22,4.75
3473998,5,B001AYJ2Y0,Great,1456617600,,5,5.0
3473999,5,B001AYJ2Y0,amazing story about the amazing God.,1456531200,,36,5.166666666666667
3474000,5,B001AYJ2Y0,Great CD case and movie,1455926400,,23,3.8
3474001,5,B001AYJ2Y0,Item just as described - good buy.,1454544000,,34,4.0
3474002,5,B001AYJ2Y0,always a great story,1454457600,,20,4.25
3474003,5,B001AYJ2Y0,"It was a very good clean christian movie , and that's very important to me and my husband . thank you",1453852800,,101,3.857142857142857
3474004,4,B001AYJ2Y0,Received on time and functioned as advertised. I'm a satisfied customer and will order the same when needed. Thank You.,1452297600,,119,5.0
3474005,1,B001AYJ2Y0,Terrible. The book has a beautiful balance of the good (promises od the kingdom) and bad (destruction of Satan and Hell). This story is predominantly the bad (fighting demons)  It went straight into the trash,1450656000,,208,4.942857142857143
