,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3526971,5,B001D7T6N6,"Delivered expeditiously in perfect condition. Though $92 is way more than I should pay, I could not find it cheaper anywhere else. I shopped for it over 6 months.  I love this complete series and this should last a long time.",1250640000,3,225,4.487804878048781
3526972,5,B001D7T6N6,I love this series.  It was full of all the best in British mysteries I only wish it had not ended.,1236211200,3,99,3.7142857142857144
3526973,5,B001D7T6N6,I truly recommend this outstanding series of British Mysteries. It is well done and offers so much to everyone. We cannot wait to watch the next mystery but limit our selves to spread the wealth by watching other British Mysteries we have purchased from Amazon.com. A great way to spend qualtiy time with the family during this cold winter and recession.,1235260800,3,354,4.819672131147541
3526974,2,B001D7T6N6,"I am not going to speak about the show since others have written about it here already. Suffice it to say that I like the show very much which is why I purchased the complete set. What I do want to talk about is the packaging. Unfortunately, many reviewers ignore this along with the quality of the transfer in many of their ""reviews"".

Like quite a few other DVD box sets this one has problems. First, I have been sent two Lynley sets thus far. Both had the same problem. The first keep case housing discs one and two had fork spindles both of which had broken causing the discs to float around in the keep case resulting in (unsurprisingly) scratched discs. Discs off the spindles seem to be a consistent problem with these slimline keep cases regardless of source (Milestone, Criterion Eclipse). I don't spend new money for used looking discs.

The second problem is the lack of documentation. Inspector Lynley ran on the BBC from 2001-2007 and on PBS from 2001 to 2008. In this set there is no documentation of series/season. Nor is there any indication of original run dates. Apparently WGBH thinks none of us out here in DVD buying land are interested in TV history But hey, they do list the episode titles. One should, I suppose, be grateful for small favours.

As for the transfer (which is letterboxed), it looks good. I am of two minds with respect to the appearance of the Mystery openings and closings on some of the discs. It is interesting to see the show as first presented on PBS. On the other hand, I do wonder about the editing particularly at the end of the episodes with the PBS Mystery introductions and conclusions. My sense is that there is some editing out of these end scenes as they originally appeared on the BBC given the abruptness of these endings.

In conclusion: A big thumbs down to WGBH's production department and quality control. As of this moment the WGBH/PBS Lynley set is the only game in town. I do hope the complete set comes out in Britain at some point so I can see Lynley as originally broadcast.",1231200000,158,2040,4.5353260869565215
3526975,5,B001D7T6N6,"This series is one of my favorites, not only for story content and the rewriting for this PBS TV series, but because Elizabeth George has created a rich story line as she has with most of her books. Wish they'd do ""What Came Before They Shot Her"", by the same author.",1229904000,6,267,4.254901960784314
3526976,5,B001D7T6N6,"With the ""Inspector Lynley Mysteries"" series at an end, the BBC has made all the episodes, from the pilot movie ""A Great Deliverance"" through the truncated final Set Six, available in one package.  Longtime fans of the series will have the opportunity to reexamine all the episodes, while new fans can find out what they were missing.

At the heart of this series is the intriguing partnership of aristocratic Inspector Thomas Lynley and working-class Detective Sergeant Barbara Havers.  Their initial pairing in the pilot was very likely a device by their superiors to drive one or the other out of service.  Lynley is educated and professional, but apt to let his emotions cloud his judgement.  Havers is a good cop, but initially resentful of Lynley's advantages and soured by a tough childhood and prejudice on the force.  Their professionalism wins out, and their complementary abilities allow the partners to solve crimes and to build on a subtle respect for each other that will ultimately border on emotional dependence.  In retrospect, Lynley's long and troubled relationship with police pathologist Helen Clyde, which progresses from best friend to fiance to wife to estranged partner, seems designed to keep Lynley and Havers' parallel relationship on a professional level.

This emotional glue of the series is also the source of frequent comedy, whether in the awkwardness of Havers' first visit to Cornwall to meet Lynley's wealthy but clearly disfunctional family, or Lynley's heroic good manners when faced with Havers' domestic chaos. Fortunately, the class distinctions wore away early, and the later disputes were largely over method.  Somehow, Havers never seemed to mind riding in Lynley's excellent automobiles.

The Inspector Lynley Mysteries easily transcend the standard police procedural.  The stories, shot on location around England, couple often visually attractive scenery with tough, gritty crimes.  The audience gets the clues at the same rate as our detectives; invariably, there are plot twists and success in sorting through the suspects may depend on a flash of Lynley intuition or Havers policework.  The series was not wedded to happy endings; at least a couple of episodes have unsatisfying conclusions and each season features at least one professional or personal cliff-hanger for the detectives.

""The Complete Inspector Lynley Mysteries"" is very highly recommended to fans of the series and to new viewers looking for the best in an extremely well-done police procedural.",1225584000,71,2514,5.363867684478372
3526977,5,B001D7T6N6,"""And you know what I would say? The world can wait."" -- Lynley to Havers in a poignant moment from ""In the Blink of an Eye.""

This series was intelligent and entertaining, and one of my all time favorites in the history of television. Now that it has finally ended, despite the campaign to save it, this fabulous boxed set is being released. It covers everything from the initial ""A Great Deliverance"" through the final episode. For those who have never seen it, it is like finding a diamond among rocks. And for those who looked forward to seeing Lynley and Havers each season more than anyone else on television, it is the perfect opportunity to look back and remember why we fell in love with this BBC show which became a staple of PBS's Mystery.

Nathaniel Parker as Lynley and Sharon Small as Havers were perfect for their roles. The Inspector Lynley series was smart and atmospheric, Debbie Wiseman's opening music setting the tone for each intriguing installment. Based on Elizabeth George's characters, the BBC show grew and matured beyond the books, which frustrated some, yet delighted others. The dashing Lynley was originally paired with Havers due to politics and because it was taken for granted he would not be distracted by her in a romantic way. He was Oxford and she was from the other side of life.

The clashes that came in the first two seasons due to those differences became less important as the two quickly found there was more to each other than their reputations. They proved a great team and became quite close, their deep friendship and affection for each other rarely dwelled upon but always there beneath the surface. By season three when personal crisis hit both of them hard, it was each other to which they clung.

By season five the series had become more than the sum of its parts. Havers had softened some over time and Lynley had become more accessible, both due to the influence of the other. Season five began with Lynley suspended pending an inquiry into brutality charges, in ""Natural Causes."" Barbara had been paired with a very pregnant D.I. not warmed by Lynley's manner. He believes she is overlooking promising leads and ingratiates himself into the investigation. The episode provided some fun as towards the conclusion Barbara is the acting D.I. and Lynley must do her bidding.

The final episode of season five would provide one of the most poignant moments in the entire series. ""In the Blink of an Eye"" had a murder in Soho tied to horrific crimes in Bosnia. Catherine Russell portrayed Lynley's beloved Helen by season five and it would be her involvement in the case which would bring about events so tragic and unforseen that they would send our favorite Inspector into the bottle.

Havers and an old case would help Lynley crawl back among the living once again in season six. In ""Limbo,"" first aired in Australia, the remains of Lynley's godson are discovered twelve years after he was reported missing. Lynley becomes deeply involved with the deceased's sister and will himself become the prime suspect in a second murder. In ""Know Thine Enemy"" one young schoolgirl kills herself to escape captivity and Lynley and Havers try to find another before tragedy strikes twice.

Parker and Small sparkled in their roles, giving carefully nuanced performances in mysteries both intelligent and entertaining. Fans of quality television and especially mystery lovers will find a bonanza in these 23 installments starring Nathaniel Parker and Sharon Small as Lynley and Havers. Fans truly cherished this show as much as Lynley did his cars, especially his Bristol. Included in this wonderful boxed set for fans is:

A Great Deliverance --- SEASON ONE / Well-Schooled in Murder --- Payment in Blood --- For the Sake of Elena --- Missing Joseph SEASON TWO / Playing for the Ashes --- In the Presence of the Enemy --- A Suitable Vengeance --- Deception on His Mind SEASON THREE / In Pursuit of the Proper Sinner --- A Traitor to Memory --- A Cry for Justice --- If Wishes Were Horses SEASON FOUR / In Divine Proportion --- In the Guise of Death --- The Seed of Cunning --- The Word of God SEASON FIVE --- Natural Causes --- One Guilty Deed --- Chinese Walls --- In the Blink of an Eye SEASON SIX / Limbo --- Known Thine Enemy",1223251200,184,4270,4.760810810810811
3526991,5,B001D7T6N6,I was so happy to fine this series love it,1489968000,,42,3.3
3526992,1,B001D7T6N6,incorrect information,1488844800,,21,10.0
3526993,5,B001D7T6N6,"I have loved this show since I caught it on PBS over 13 years ago as a kid, I was upset that it went off the air - yes I was one of those that signed that petition to keep it on the air or do one more series/season. It doesn't have a ton of extra features but does have the Diana Rigg and Alan Cumming intros from Masterpiece Theatre (Love You PBS!!) One of the discs does have a brief interview with Elizabeth George the author the of book series - which is a nice little insight. I watched every episode and loved every second of it. I am so happy that I purchased the set.",1488758400,9,575,3.923076923076923
