,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3819533,5,B001V7YZES,"Series 2 is even better than Series 1--which was fantastic. The episodes are suspenseful mystery, great character dialogue, a 2nd but parallel restaurant scene plot, and a broader implementation of comedy (still more cop than comic or chef though). It all add up to 5 stars, newly improved from gold to platinum.

For newcomers, ""Pie In The Sky"" is the name of the Crabbe restaurant introduced in the first series (see my 5-star review.)

Chef/cop Crabbe (Richard Griffiths) still wants retirement from police investigation in favor of the PIE IN THE SKY restaurant. But blackmailing Police Chief Fisher (Malcolm Sinclair) needs his sometimes odd ways of getting at the facts.  Wife, Margaret (Maggie Steed) is still doing her numbers thing with the restaurant and occasionally assisting with undercover cop work while understanding little about her husband's cuisine.  Beautiful & promoted Det. Sgt. Sophia Cambridge is Crabbe's assigned aide in crime fighting.  More cast is familiar, and the stories are great.  British mystery plus laughs; so what's the down side? All those in-your-face looks at Chef Crabbe's delicious Steak & Kidney Pies without getting even one taste. It is maddening.

10 super episodes, each about 49 minutes, and every one seeming to top the entertainment level of the previous. SUBTITLES available too, we were confused a few times with the British slang, but some new words brought laughs as we deduced their meanings.  Griffiths's bio and cast filmographies complete the bonuses. It's the episodes and food looks that are ""Pie In The Sky"" ""To Die For"" good.

Episodes:
1 HARD CHEESE: Crabbe forced to look into crime of a prowler/thief woman's underpanties. His cheese vendor may be poking around in more places than the Swiss cheese.
2 BROWN BREAD: Title phrase is slang for dead. A lefeless man in the restaurant's restroom is connected to 1/4 million pounds. A crime for Crabbe.
3 POLICEMAN'S DAUGHTER: Fisher's daughter runs away & Crabbe must find her. A disgusting look at Stargazy Pie--golden crust with 8 fish heads protruding.
4 THE ONE THAT GOT AWAY: Did the restaurant's fish supplier murder? Crabbe's wife gets involved fishing for clues.
5 DEAD RIGHT: Kitchen staff increases Crabbe's chicken coop egg production while he looks into threatening notes to a professional medium.
6 BLACK PUDDING: Senility, memoirs, greedy nephew, & kitchen squabbling make for a funny mystery. Senior fun.
7 SWAN IN HIS PRIDE: Fisher forces Crabbe away for investigating a drowning of lady cop while the restaurant kitchen drowns from burst water pipes.
8 THE MILD BUNCH: Crabbe's assigned search for Coverly sisters, aged-con-check bouncers parallels tracking the secret of bread & butter pudding perfection. Delicious episode.
9 MYSTERY OF PIKEY: Teenage Pikey must be caught to end local robberies but the chef is thinking pike as in the fish.
10 LEMON TWIST: Fisher, Cambridge, and Crabbe have a seminar weekend as the restaurant gets a rave newspaper review. Success has it's ups and downs. My wife and my favorite episode.

Fantastic TV British Mystery (Comedy drama) series of several years running. I recommend Series one and Series 2 of PIE IN THE SKY. And will there be another Series on the menu in the future?  I'd bet on it, this is too good to stop with just 2 sets.",1260662400,17,3305,5.056985294117647
3819534,5,B001V7YZES,"If the only thing you've seen Richard Griffiths in is Harry Potter, you're in for a surprise.  The detective/restaurateur character Griffiths plays in ""Pie In The Sky"" is gentle and intelligent - both traits not seen as Harry's uncle.  After watching quite a few of these individual programs on PBS, I was really anxious to get my hands on as many of the stories as I could.  As DI Henry Crabbe, Griffiths is definitely the star, and carries the programs in both, rather different, roles, but the rest of the cast, and it changes through the multiple series, shows a group of characters with more than one dimension.  Part of the drama in the programs is the fact Crabbe wants to retire from the Police force, just be a chef and run his restaurant (named ""Pie In The Sky"").  The program lasted through five series in Britain, so there must have been a lot of viewers.  Unfortunately, it took close to ten years(!) for it to get to the U.S. - at least to my local PBS affiliate.  Too bad, I could have been watching it and buying the DVD's lots sooner.",1259884800,5,1051,4.442708333333333
3819569,5,B001V7YZES,One of the best British Mystery series. Great cast and story line.,1473379200,,66,4.583333333333333
3819570,5,B001V7YZES,love this series,1443916800,,16,4.666666666666667
3819571,5,B001V7YZES,"Great program, good quality recording.",1438041600,,38,6.8
3819572,5,B001V7YZES,"I will probably get the whole set.  It gives a different atmosphere on solving crime.  It is relaxed type, although he dosn't do much of the cooking but he knows it just the same.  The player are good also.  I have already the first one.",1434067200,,237,4.2
3819573,4,B001V7YZES,Pie in the Sky stories are always funny and even though they are considered mysteries there is very little violence.,1428019200,,116,4.85
3819574,5,B001V7YZES,Love this  Love them all,1420416000,,24,3.8
3819575,5,B001V7YZES,Love this show,1418169600,,14,4.0
3819576,5,B001V7YZES,"Series two through five. Excellent series, great cast. interesting story lines. Very funny. Don't understand why you need so many words to describe this.",1403568000,,153,5.416666666666667
