,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
3882685,5,B0029Z8K3I,"I am an intermediate exerciser who prefers to work out at home.  This is my first DVD with Cindy and I loved it.  As with most any workout it can be as hard or as easy as what you put into it.  I liked the one minute intervals which help you push through as you can see the end in sight for that particular segment.  I also like that during many of the cardio segments she builds on what was just done in the previous weights segment. Don't be fooled by the one minute segments, though.  I am always sore the day after doing her work out and I am used to Jari Love and Jillian Michaels

For those of you who prefer a trainer who doesn't talk too much, you might want to borrow at your local library before buying.  Cindy talks non stop during both sessions.  However, she is not over bearing, pushy, or sugary.  Even with all the talking, this DVD is definitely worthwhile.

The only but I find with this DVD is that the stretching at the end is very short.  I feel that a few more minutes would have been better as she does work your entire body when doing both segments back to back.",1262390400,2,1085,4.119047619047619
3882686,5,B0029Z8K3I,"...and I have over 100 excercise dvds now... Some women buy shoes...I keep myself motivated by trying new dvds...

so I have some comparison. :-)

CALORIE BURN: I wear a bodybugg to measure my daily calorie burn. Because of this, I'm also able to monitor exactly how many calories I burn during a dvd workout, and know exactly how many calories it burns per minute. Because a strength training dvd will also continue to burn more calories after the workout, I can also monitor the increase if there is one. I say this only so you'll know what I rate is based upon scientific measurement rather than perceived exertion. DANG! If you had to only own two dvds to make a difference in your body I'd choose this one and Jillian Michael's Banish Fat, Boost Metabolism to scorch the calories. The calorie burn was EXTREMELY boosted in this dvd.

CIRCUIT TRAINING: Studies have shown you'll actually burn more calories doing a circuit workout...meaning that you combine both cardio and strength training. Cardio will burn more calories during the workout, but strength training, although it burns less during the workout, will continue to burn calories long after the workout is over and will help build muscle--which also increases metabolism and utilizes more calories even while you are at rest. This dvd takes it to the highest level by doing heavy cardio and then allowing your heart rate to recover during strength, and then getting it back up again. Just like a car uses more gas when alternating slow and fast speeds rather than going fast all the time, it's been shown your body uses more calories doing the same thing. And keeping your heart rate elevated during strength provides that higher calorie burning benefit with toning which continues to burn more later. Very well done.

CUEING: I'm very picky about cueing. I want a workout rather than having to rewind my dvd and figure out what the instructor is trying to tell me what to do in a heavily choreographed but difficult-to-follow routine. There was no rewinding on this one. The steps and instructions were clear and it kept you moving fast without losing a step. A difficult thing to get right, but it was accomplished here.

SET: Boring. One of those studios made to look like a set...but that's fairly common in many dvds. No big thing. But nothing to make note of either.

MOVES: Impressive. Although the workout is combined into two circuit training sections of 30 minutes each (the first one works your legs, tush, and belly and the second your entire upper body and abs), you can combine the two if desired. I like that she added standing ab moves in that you are working your obliques (stomach muscles) while MOVING rather than on the floor so you get the cardio benefit as well. There were also some kickboxing moves which help speed up the calorie burn. Well thought out but nothing difficult to do or follow.

LEVEL: While the calorie burn is intense, a beginner could start here with very light weights and be able to do it at his or her pace and progress with heavier weights. Because you recover during the strength moves you won't wear out during the cardio. Too, a fitness buff will love it for the results.

TRAINER: There is only one, there are no backup people behind her as you'll see in many dvds. This means there is no ""beginner level"" person in the back if you are just starting out and want a lower impact trainer to follow until you progress upwards, but I think you can pull through even if you need to do less reps or slower movements. Both are possible. Her energy is good and her instructions are clear. I actually prefer to have more people behind the trainer simply for visual interest when staring at the same dvd for a half hour but no big deal.

SAFETY: The instructions are excellent so that you not only do the moves easily, but you do them so they are safe and effective. Out of all the dvds I have no instructor has ever told me to stare at a certain spot on the floor during balance moves in order to help you not wobble. I had previously done balance poorly and was wobbling again until she said this. BAM! For the first time, I mastered all balance moves in this dvd and my others. (Don't worry if you hate balance moves like me, there are few and you could do them with your foot on the floor til mastered, but it does help your core so I keep working at it.)

TIME CRUNCH: There are ""10 Minute Solutions"" dvds which are supposed to be used if you only have time to do a 10 minute workout. This burned twice as many calories in 10 minutes as those...so if you have a crunch on time, you might just use part of one of these workouts and do a cooldown on your own.

MUSIC: Upbeat and flowed with the moves.

EQUIPMENT: Although she recommends light and heavy weights, you can use the same weight the whole time if that's all you have...for example, sometimes I just use my 6 pound weights the whole time and if the reps get to hard to do I put em down and do the moves without em. If you have a light and heavy set, you are good to go, but will not be hindered if you do not.

ALSO INCLUDED: Inside the dvd case there is a booklet called ""The better body meal plan"" which is a 1200-1300 calorie per day diet by a nutritionist that also notes men need to add an additional 300-400 clories to the menu per day. It is 10 days of menus you can follow to lose weight with items that are easy to prepare and take a couple to just a few minutes of prep time, such as a chicken breast with salsa, brown rice, & broccoli for lunch, apple with peanut butter for a snack etc. As a weight loss coach myself I'd say it's a decent and protein and nutrient rich diet so, although I don't use her diet, I have no doubt it would work based upon its components ifyou want to take her challenge of a better body in 10 days.

NEGATIVES: As far as the workout and instruction goes, it was flawless and incredibly well thought-out for effectiveness and calorie burn. But I gotta say, one of the reasons I have so many dvds is because I hate being bored in working out. I think there were some additions they could have added to this dvd to make it less ""sterile"", like a class or back up trainers in the background, a less sterile set, etc but that's just if I had to add something...that's merely my own personal taste as someone else may find what I like ""distracting"".

CONCLUSION: This is one of my new favorites for when I need fast results. I'd suggest it as an addition to a fitness dvd collection no matter how large or small you want your dvd collection to be...it's a true result-maker.

ALTERNATIVES:
Should you look for others with the same great instruction, high calorie burn, cardio and strength training, you might try:

(in no particular order):
1. Body by Jake Total Body Workout
2. Jillian's Banish Fat, Boost Metabolim and her Last Chance Workout
3. Kathy Smith Build Muscle Shrink Fat
4. Crunch Total Resculpt
5. Star Trainers: Strength
6. Weight Loss Cardio Sculpt with Violet Zaki",1260921600,178,6984,4.465098039215686
3882687,5,B0029Z8K3I,"I consider myself a pretty advanced exerciser. I've lost over 25 pounds in 6 months using exercise DVD's and my elliptical. I'm now down to a size 4/6 (5'6"" - used to be a size 12) and exercise pretty much every day. Two of my absolute favorites were Jillian Michael's Banish Fat Boost Metabolism and No More Trouble Zones. They would kick my ass every time. Well that was the case until I found this DVD! I popped it in and she starts right up. There is only one instructor. I loved that, I felt like I was getting one-on-one training time in. She's not annoying and is quietly motivating.  Very stark contrast to Jillian who's annoying comments leave me putting the DVD on mute the whole time. (Sorry Jillian!) She also constantly reminds you to use proper form and demonstrates it very well too. Her body is a bit masculine, but that didn't put me off. She's had 2 kids, and if she can look that great - well that's motivating to me! I'm here to get healthy and look better, nothing else really matters. I did the two 30 min. parts back to back, and BOY was I feeling it! I was sweating like a dog and sore everywhere. I don't get sore or winded at all anymore from Jillian's DVD's, so I knew my body was working extra hard with this one. I'm very pleased! I love the easy format, it's wonderful to follow along for complete beginners and yet is challenging enough for advanced exercisers too. I used 5 lb. and 10 lb. dumbbells with no problems, too. I'll be doing this one over and over again, I find it more motivating than my other DVD's. Can't wait to do it again!",1259884800,19,1571,4.3074324324324325
3882688,5,B0029Z8K3I,"I bought this video based on the previous reviews and am not dissatisfied. I cannot do everything the instructor can, as I am an ""intermediate level"" 55 year old with shoulder issues.  So I have to be careful to remember to MODIFY anything involving shoulders. No regular pushups, little weight above the shoulder, etc. I like the way I can get a good upper or lower body workout WITH CARDIO in just thirty minutes. However, when I have more time, I prefer the more mellow Karen Voight workouts (Lean Legs and Buns; Firm Arms and Abs)which give me more warm-up and cool-down time, feel less rushed, and have better music (but no cardio). I follow those with a brisk walk or cardio video/dvd.  They're all good choices.  You can preview and read more reviews about many exercise videos on [...].  It's worth the investment of time.",1259539200,4,830,4.664383561643835
3882689,5,B0029Z8K3I,"This is a great workout.  I have a history of back problems here and there, so when I start a new dvd, I try to go once through it without any weights to make sure I get form right before I add weights that could stress my back.  With this workout, I got a pretty good workout even without the weights!  With the weights, it's even better. She really throws in a variety of moves that keep it interesting and work a lot of different muscles.  It also goes really quickly because it's broken down into 1 minute sections--she keeps saying ""you can do this, you only have to do it for one minute"", and it is totally true: you do hard moves, but it doesn't seem so bad because you don't have to do it very long.  I would count myself as an experienced beginner exerciser (I've done a lot of exercising in the past, but am now getting back into it after lapsing for a while), and this was definitely good cardio on top of weight training...in fact, my heart rate was up pretty much the entire time (higher during the cardio sections, but still pretty high during the weight training sections).  Also (and I think very importantly) it was a fun workout.",1255219200,4,1147,4.311627906976744
3882690,5,B0029Z8K3I,"Reasons I love these 2 workouts:
- One 30min workout for upper body and one for lower body but the cardio in between makes it feel whole body.

- It flips back and fourth between 1min weights/strength 1min cardio which makes me work really hard at both because I know it's just 1min before we switch.

- Cindy's has a great demeanor, motivating without being annoying.

- You get out of it what you put in meaning it can be modified for beginners but if you go for it you will definitely be sweating. By the 3rd day I was sore in a good way because she hit areas in my legs that apparently I wasn't getting to :)

Note: this is the the same as the DVD with the Blonde in the pink bikini titled Results Fitness: 10 Days to a Better Body. The cd inside actually has the blond/pink bikini on it(not Cindy). I think they changed the outer cover for marketing.",1253145600,10,855,4.195121951219512
3882691,5,B0029Z8K3I,"I used this video for 3 weeks, working out 5 days a week.  I haven't lost much weight, but both my husband and I have noticed HUGE differences in my body shape.  I am more tone and my curves smoother and firmer.  My husband can't take his eyes off me.  ;o)  It's a great workout that gets results in a short time.  I think I haven't lost as much weight due to the gain in muscle.  It's a must have.",1252540800,16,398,3.9
3882692,5,B0029Z8K3I,"I already own the Cindy Whitmarsh Target Toning Video and this was a step up as I got in better shape.  It is definitely advanced but in just a few weeks I have really seen a difference in the way my clothes fit.  Also, I am a fan of Cindy's style - she has great workout routines, keeps thing moving and encourages you without being sappy sweet or like a drill sargent.  Only order if you are serious about working out - it is a challenge, but worth it!",1400198400,,454,4.078651685393258
3882693,1,B0029Z8K3I,"There are 2 dvd with this title and this instructor. Maybe the other dvd is more along the lines of what they say on the packaging, but this one IS NOT. I can't say anything about the dvd itself, as I have not even watched it. I do notp[ exercise my whole body at once -- I alternate upper body and lower body. So I try to make sure that all of the dvds I buy are split up like that. This one claims to be set up as two 30 min routines -- 1 upper body, 1 lower body --  which is exactly what I was looking for. However, when I finally put the dvd in to watch the workouts before I first attempted them, what I found was a menu that listed 5 different weighted sections combining upper AND lower body, split by 3 sets of cardio. So, yeah -- WTF??? This is completely and totally not what it says on the back cover. Unfortunately, it's past the time I can return it so I'll just have to face the fact that this was a complete waste of money. VERY disappointed.",1397347200,2,958,3.9637305699481864
3882694,1,B0029Z8K3I,I've ordered this 2 times and both times was sent the Boost your Metabolism DVD that was in this case.  The instructor isn't even Cindy Whitmarsh.  Not sure what is going on because the case and the sticker on the DVD says 10 Days to a better body????  Very annoying because now I have to go to UPS 2 times to go out of my way and return this so I do not get charged for the UPS pickup.,1395014400,2,386,3.8607594936708862
