,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4006500,4,B002WC89WK,"First off, I'm only considering this because of my collections from 1 through 8, and for me eight's ending was perfect. However, I still have to support them, so I'll finish the actual series rather then the intended one. I did get to follow all the episodes for season 9, and some were pretty funny. Totally missed the Janitor the most, there were so many other characters missing, but it is what it is. Also, why no wide-screen ABC? Bad karma, you guys will get what you guys deserve, no threat intended; just reminding them of karma.

I highly recommend it to those who have the previous collections, because it shows support and the effort those guys ""tried"" to make the show a success.

I will miss Scrubs though, I loved the show... and now I owe them all.

4/5 because of the ratio, not in wide-screen.",1276387200,6,809,4.489795918367347
4006501,1,B002WC89WK,"This is presented in 1.33:1 (fullscreen), as opposed to its Original Aspect Ratio (1.78:1). This means you're missing about half the shot that was creatively intended to be in the image.",1276300800,25,186,5.032258064516129
4006502,5,B002WC89WK,I am so glad that they released it on DVD.  I have season 1-8 and am a Scrubs addict!  I think they ended the show with class considering that there wasn't even supposed to be a ninth season!  Because of that some of the characters weren't in it because they were working on other projects!  I can't wait to get this and add it to my collection!  If you are a SCRUBS die hard like me you should buy it!,1276128000,6,402,3.975
4006503,1,B002WC89WK,"Once again ABC Studios has chosen not to release the DVD version of Scrubs in the original aspect ratio in which it aired (16:9 widescreen), season 9 will be in 1.33:1 full frame. Screwing this up one time (as they did on the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Scrubs-The-Complete-Eighth-Season-DVD/dp/B001VPJYZ0/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Scrubs: The Complete Eighth Season DVD</a>) is begrudgingly understandable, but twice means they are deliberately releasing an inferior product so that people will double dip on the inevitable blu-ray, widescreen version. I say ""double dip"" because like the Season 8 sets, the inevitable blu-ray of season 9 will not be released on the same day as the DVD set.  Come Sept 28th your choice is either an inferior product or wait for the more expensive release to watch Season 9 in the framing the creators intended.

The cherry on top is this quasi-spinoff of Scrubs wasn't even that good, the character of Cole was perpetually annoying and Turk without Carla was a completely different character. I mean really, how the hell do you bring back a series regular character and not even have the actress who plays his WIFE back for at least ONE episode as a guest star?

Inferior season, inferior video, 1 out of 5 stars.",1275955200,22,1296,5.374384236453202
4006504,3,B002WC89WK,Lost it's charm and the ensemble that made it great. Sometimes it's better to let it go instead of trying to beat a dead horse to death!,1503360000,,136,4.074074074074074
4006505,5,B002WC89WK,"I love Scrubs!!  I want a poster or a t-shirt that says, ""Everything I learned in life, I learned from Scrubs!""",1500681600,,111,4.285714285714286
4006506,5,B002WC89WK,"Haven't watched this one yet, but the other 8 are so great I'm sure this one will be too! I am watching it now  and it is great but the sound track is slightly off and distracting!",1489622400,,180,3.864864864864865
4006507,5,B002WC89WK,Bought this for a gift.,1480982400,,23,3.8
4006508,3,B002WC89WK,"This show faded near the end, when Bill Lawrence was off making another show - Cougar Town, maybe? This set is for completists, only. It's not ""well, there's fifteen hours I'll never get back"" bad, but it's not particularly funny. And for a comedy... If you want to remember the show at its best, stick with the early seasons, get the later ones (5+) if you can find them for a good price, and skip this season entirely.",1479686400,3,420,4.397435897435898
4006509,2,B002WC89WK,"Very different than the rest of the series switching to a ""medical school.""  Jokes very hacky and too many key cast members missing.",1477785600,,132,4.739130434782608
4006510,4,B002WC89WK,thanx,1473120000,,5,5.0
4006511,5,B002WC89WK,"I only bought this mediocre season to fulfill having the complete collection, but overall, it's a quality case and product.",1466899200,,123,5.2
4006512,3,B002WC89WK,"I love this show, but the DVD took a widescreen show and presented it in 4:3 format. I feel this really takes away from the show.",1464652800,,129,4.0
4006513,5,B002WC89WK,Very funny,1462665600,,10,4.5
4006514,5,B002WC89WK,very happy :),1461888000,,13,3.6666666666666665
4006515,5,B002WC89WK,Finished my collection was a great value for the price. All disk work well,1460160000,,74,4.357142857142857
4006516,5,B002WC89WK,ordered for a friend,1458777600,,20,4.25
4006517,5,B002WC89WK,Love this show,1456531200,,14,4.0
4006518,2,B002WC89WK,I am a die-hard Scrubs fan. This has nothing to do with Amazon but the show itself definitely went left field with this season. I was disappointed. I own the whole series and will stop at the end of Season 8 when I watch them chronologically again.,1456272000,,248,4.297872340425532
4006519,5,B002WC89WK,"I have to admit, Scrubs is probably one of the most stupid shows ever.  Jerry Lewis looks like a culture, Shakesperean actor next to these guys.  Dirty (as dirty as possible) locker room humor, but a guilty pleasure.  I shouldn't like it, but...  Thanks for considering my unqualified opinion!  Dave (in Colorado)",1455408000,,313,4.9423076923076925
4006520,5,B002WC89WK,Love love love,1454716800,,14,4.0
4006521,5,B002WC89WK,Came in perfect shape.  Will watch after I work my way thru seasons 6-8.,1453420800,,72,4.142857142857143
4006522,5,B002WC89WK,love this series,1451260800,,16,4.666666666666667
4006523,5,B002WC89WK,one of my favorite shows!,1450483200,,25,4.2
4006524,2,B002WC89WK,"I just wanted to complete my collection, even though I had purposely stopped buying at season 8 for a reason.  Despite having not-great memories about this season, and despite other reviews stating their disappointment, I thought maybe since it'd been a while since I'd seen this, maybe it wasn't so bad.  Well, it was!  I almost want to just give it away to a thrift store and am so frustrated and disappointed on how things ended with season 8, but also how they ended here.  As others have said, the completely different set without explanation, the new cast with RARE appearances by Elliot and JD, Carla never appearing- it's not the same show and did nothing to further the rest of the seasons.  The humor was largely lost on me, too.  If you are looking to complete your collection and haven't seen this last season in a while, either find a way to watch it first, or just take my advice and don't bother.  :(
On a separate note, it also came in pretty bad shape, though the mailer was completely fine and barely creased.  The plastic DVD case inside the plastic wrap and sleeve was banged up and just dirty, and the sleeve was much worse.  Be careful if giving as a gift- look it over first.  I am still trying to find where I can report this issue (the second DVD now fulfilled by amazon that has been in bad shape, though the other was much worse and actually broken)- previously I've had no issue with this!",1449187200,4,1417,4.436293436293436
4006525,5,B002WC89WK,"Great show, can't believe it ended",1446940800,,34,4.833333333333333
