,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4172477,5,B003R0MEZO,"The 11th season of CSI is very good. During the 22 episodes we have fun, action and good investigations. In the episode 13 (""The Two Mrs. Grissom""), William Petersen is back but uncredited, in episodes 14, the Ex-Wife of Langston appears and she's back in episodes 20, 21 & 22 with the ""Dick & Jane"" killer... So, If you're addicted to this show this season is for You !!!",1306281600,10,372,4.405797101449275
4172507,4,B003R0MEZO,"Over the past few years, I have been collecting the entire CSI: Crime Scene Investigation series on DVD, and over the past few months, Ive been watching each season in the order they were broadcast. Recently, I finished Season 11. While I thought it was very good, I don't think it was quite as stellar as previous seasons.

Most of Season 11 revolves around the confrontation between CSI-2 Ray Langston (Laurence Fishburne) and the Dick-and-Jane serial killer Nate Haskell. Haskell is a notorious psychopath responsible for at least 18 grisly murders, and possibly more. He escapes from captivity at one point, forcing a major manhunt by the Las Vegas Police and other law enforcement agencies. I won't give away how (or even whether) the manhunt ends, but suffice it to say the episodes involving the Haskell-Langston confrontation are suspenseful, tense, and very well written and acted.

Other episodes are very good as well, especially The Two Mrs. Grissoms, which brings Sara Sidle (Gil Grissoms spouse) into conflict with Gil Grissoms mother during the investigation of a murder on a college campus for the hearing impaired. Other outstanding episodes include 418/427, about the murder of and FBI agents wife and the kidnapping of his children; and Sqweegel, about a killer who leaves no evidence behind when he murders people with secrets to hide.

I found some episodes in Season 11 that were not quite so enjoyable. They include Blood Moon, about a killing at a convention of vampires and werewolves; and A Kiss Before Frying, about a series of electrocutions that may be linked to an old Las Vegas murder, while Greg Sanders falls for a mysterious woman who visits the lab. These episodes I felt had contrived plots and lacked interest.

Overall, CSI: Crime Scene Investigation Season 11 was good, but not great. It certainly is a worthwhile addition to any DVD collection. Recommended.",1507766400,,1897,5.031847133757962
4172508,5,B003R0MEZO,Love it!,1506297600,,8,3.5
4172509,5,B003R0MEZO,It's all Good :),1504396800,,16,3.25
4172510,5,B003R0MEZO,yahoo,1501977600,,5,5.0
4172511,4,B003R0MEZO,"Have always loved this show.  I bough all the seasons and will have a nice CSI marathon real soon.  I missed Gil a lot but Danson filled in well.  I never did understand Fishburne's character and how it added to the mix.  He's awesome but it felt that his part never fleshed out.  The stories always were fascinating even after so many years.  I think it ended appropriately.  Just buy it, sit down for the long haul, and enjoy.",1500508800,,428,4.341772151898734
4172512,5,B003R0MEZO,Great,1498521600,,5,5.0
4172513,5,B003R0MEZO,5*****,1497225600,,6,6.0
4172514,5,B003R0MEZO,"I loved it! It sounds great works awesome,  thank you so much. I highly recommend seller",1496016000,,88,4.5
4172515,5,B003R0MEZO,loved it,1495670400,,8,3.5
