,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4387277,5,B004IOPDJ2,"After a violent assault destroyed his memory, NY illustrator Mark Hogencamp had to try to rebuild his life. Living alone in the country, he created his own world, Marwencol, a WW2 Belgian town populated by Barbie and Ken type dolls. Through the storylines that he creates and photographs, Hogencamp works through some of the trauma he has suffered; from his alter-ego doll getting a pasting from the SAS (but getting his revenge later) to the loneliness of his life which he somewhat alleviates by having various female dolls in his stories represent specific unattainable women he meets in everyday life. Hogencamp's skilful photography and styling ultimately lead to an art exhibition in NY. This is a sad but fascinating documentary containing much footage of Marwencol with commentary by the artist",1320710400,,802,5.176923076923077
4387278,5,B004IOPDJ2,This wasn't an easy video to watch because the subject matter ... a brutal beating and loss of self ... was heart wrenching. Mark Hogancamp is an artist in the truest sense. He creates out of a deep need to make sense of his life and isn't swayed by commercial interests. The WWII town of Marwencol and its brave and brooding dolls cast a strange spell on me. Recommended this to all my artsy friends.,1313798400,6,401,4.36
4387279,5,B004IOPDJ2,"I can't effectively describe how amazing, heart-warming and inspirational this movie is. You will want to fly out and give him a giant hug and help him build things after watching it.",1308182400,4,183,4.75
4387280,4,B004IOPDJ2,"There is this movie Marwencol and there is the city of Marwencol made by Mark Hogancamp.  I'd give this movie 4 stars but Mark and his city 5 or more if I could.

Let's start with Mark and his city.  He was beaten so badly that well I'm surprised he's with us today.  Why?  Because he said the wrong thing in a bar about himself - or so the five men who beat him claim.  Mark has no real recollection of this as the beating stole his memories and therefore most of his life from him.

He's nursed back to life in the hospital - to a point.  Eventually he learns there is no more insurance and therefore no help for him and he's basically alone in the world with a body and brain that still need help.  So he does what many people do, uses art as therapy.  Unlike what many people do, he took it to an all new level, creating his own town: Marwencol.  Dolls, model kits, pieces of wood laying around - whatever he has and seems to fit into his storyline.  He takes pictures of his various scenes.  Oh and obviously along the way he gets discovered.

I'd give the movie the extra star except that it seems to struggle at times unsure of how to mix Mark's previous life, beating, and new life together.  Did it want to tell us about who he was before all of this?  About the beating at all?  I am glad they made Mark and not the criminals the focus - he did that for himself by creating Marwencol, usually the bad guys get the focus.  Still the movie didn't seem to know how to handle the incident.  Part of this odd do we mix in all of the pieces or not feeling could be attributed to Mark himself having lost his memory and slowly getting some of it back in pieces.  On the other hand they had resources beyond just Mark and were piecing it all together fine when they wanted to - so it left me a little confused.

Still I was inspired enough by it all that I ran off to the Marwencol web site and found that I could donate to the cause (as of the time of this review he's not selling his art but is accepting supplies).  Needless to say, the same day I saw the movie (yesterday) I sent a few pieces that will hopefully inspire Mark back the way he inspired me and maybe make their way into Marwencol someday.",1304985600,,2208,4.0979020979020975
4387281,5,B004IOPDJ2,"An incredibly powerful and haunting film.  My only criticism is that the climactic trip to New York feels artificial and tacked-on.  I considered marking it down a star due to the art show scenes, but the rest is so powerful that it easily earns five.

I hope Mark is happy and has been able to continue his life in Marwencol without too much disruption (Assuming that is what he wants, of course.).",1304467200,3,399,4.513888888888889
4387282,5,B004IOPDJ2,"I found the documentary to be fascinating and uplifting.  Uplifting because this gentle spirit manages to recover some dignity of life after his tragedy and creates this wonderful, evocative world-fantasy that he, at some level, lives in - that comforts him - but that he understands is not real.  Populated with his real-life friends and his archetypal enemies, his fantasies and his realities, it is, in the end, a more righteous place than the world we live in.
And he is such a complex and interesting man.  So private, but so honest and forthright when he talks about himself.
And then there is the story itself.  Of a man that experienced such hate and suffering and somehow came through it to create this strange, private world.
I loved the film. I think you might, also.",1303776000,14,778,4.7407407407407405
4387283,4,B004IOPDJ2,"I'm rating this film high not because of the actual production of it, but because of the overall fascination I felt for quite some time after viewing it. I kept mulling it over and marvelling.

The demonstration of Mr. Hogancamp's artistic obsession with his little village and the extent to which he went for authentication; the creativity and imagination he demonstrates; his finely detailed work on all the pieces along with the vast amount of time it must have taken on a daily basis not to mention the monetary expense he went to is mind-blowing.

The content of the film enables it to stand on its own without directorial or scriptual interpretations or embellishments for it is a film about a truly unique person and how many of those do we encounter in this world?",1303257600,6,772,4.711111111111111
4387284,3,B004IOPDJ2,"How can an 82 minute film seem too long?

I heard of this movie from a Sarah Silverman interview on late night television.  She had just seen it and highly recommended it.  I put it on my list of movies to watch, and when it came out I gave it a view.

The story was definitely intriguing enough to draw me in as I love documentaries, but it felt shallow and really drawn out.

I think it's definitely worth a viewing, but for me it isn't worthy of a 2nd showing.",1302825600,6,463,4.043956043956044
4387285,5,B004IOPDJ2,"Wonderful, sad, inspiring movie.",1455235200,,32,7.25
4387286,4,B004IOPDJ2,Fascinating story though some might find it bizarre... Amazing what the mind can do to heal itself.,1454284800,,99,4.882352941176471
