,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4491272,5,B004X1RUJQ,"Just like these type of documentaries, like to see all about history. will be renting some more type of these videos.",1353628800,,117,4.619047619047619
4491273,5,B004X1RUJQ,This is the type of character we need now to bring back the fabric of our great nation. Excellent documentary.,1352592000,,110,4.55
4491274,4,B004X1RUJQ,"This is a very interesting documentary on T. Roosevelt before he was president - focusing mainly on his time in the badlands of North Dakota where he really became the man he was to be.  Where he really developed his character.  This time period is the KEY to who he was and how he got to be that way.

It was wonderful to learn about this great man in our country's history - and there is also plenty of great scenery in this documentary.",1345766400,,439,4.2023809523809526
4491275,5,B004X1RUJQ,"This is an interesting piece about Teddy Roosevelt and North Dakota.  I did not know that his ranching experience in North Dakota really made him into a man!!!!  I can visualize this green horn from New York stepping off the train in Medora, Western North Dakota to look at his new ranch.  The real cowboys must of broke into laughter when he waltzed into the Medora bar.  I can see them making bets on how long this Eastern will make it in the real West.  His strong character was really given a chance to be tested and blossum.  Even if you don't have an interest in Teddy, you really should see this video and you will have a better understanding and respect for our future President.",1324166400,3,687,4.412698412698413
4491276,5,B004X1RUJQ,"There has NEVER been another president like Theodore Roosevelt, nor will there be ever again. Great documentary of great president and great man!",1476576000,,145,5.3478260869565215
4491277,4,B004X1RUJQ,An enjoyable review of the history behind a great President and a Freemason.,1474761600,,76,4.923076923076923
4491278,5,B004X1RUJQ,TR rode his way into our hearts via this excellent film...the film quality is poor in a way because of lack of sharpness but the content is 'deeeeee-lightful!'.Highly recommended!,1474070400,2,179,5.206896551724138
4491279,4,B004X1RUJQ,I liked it but it would have been more useful (and rated higher) if it had related a little more to other things in his life beyond North Dakota.  I am pretty sure the editor had his or her reasons for the scope presented.  (TR is not a straightforward subject.),1473120000,,262,4.22
4491280,5,B004X1RUJQ,It's a wonderful look at one of our finest Presidents. If you look history you will love this movie!,1470700800,,100,4.315789473684211
4491281,3,B004X1RUJQ,Interesting,1469232000,,11,11.0
4491282,5,B004X1RUJQ,Great story.,1468627200,,12,5.5
