,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4507728,2,B004ZBFQ04,"I started watching this series, but I only lasted maybe 3 episodes. It's really boring, and not what I expected. I like Sarah Palin, but all they do is fish, hunt, hike, water rafting, and other outdoors stuff. I would not recommend SARAH PALIN'S ALASKA!!!",1294531200,6,256,4.711111111111111
4507729,5,B004ZBFQ04,"The woman the media loves to hate just keeps the hits coming.

People who disagree with her views might get annoyed by the occasional political jabs, but for most this is enjoyable and educational viewing. The scenery is incredible and steals the show in many episodes. The Gosselin episode is a must see. Chuck and Becker are a 'been-there done-that' type of Dynamic Duo.

There is quite the cast of characters to choose from in Alaska, and seeing the remote lifestyles of some of these residents and the lives they live just to get by another day or season really presents a stark contrast to urban life of the lower 48's cities and suburbs.

Sarah Palin is the real deal. The media has smeared her mercilessly and portrayed her as someone to be dismissed as a joke, but this woman has fought corruption on both sides of the aisle and proven her detractors wrong time after time. This is one amazing lady. I hope there is a season 2 - but not if it interferes with her running in 2012!",1294012800,32,987,4.472222222222222
4507730,2,B004ZBFQ04,"Ex-governor-of-Alaska Sarah Palin is pretty well-known to everybody in the United States, and it's hard to find anybody who doesn't have a strong opinion on her.

So it shouldn't have surprised anyone that Palin and her clan have now entered the world of reality TV with ""Sarah Palin's Alaska."" It is fascination when it reveals some little-known facts about the coldest, largest state in the country, but it also feels like a giant commercial for Palin and her political career.

We follow Palin, her husband, and her five kids (plus her grandson) as they go on expeditions across Alaska. They do shooting, recreational fishing, professional fishing with her soldier-turned-fisherman son Track, caribou hunting, fish camps, mountain climbing, dog-sledding, logging, RVing and camping with legendary reality-TV harridan Kate Gosselin and her kids.

The most entertaining aspects of ""Sarah Palin's Alaska"" lie in the travelogue parts -- I know next to nothing about Alaska, so it's fascinating to get glimpses into the epic scenery, the remote wildness, and the way of life. While it doesn't encompass the full scope of Alaskan life (I presume there are some city-dwellers up there), it is fascinating to see how they live, such as the fishing camp where fish are caught and smoked the traditional Inuit way.

What did I not like? The rest of the show. Reality TV is the bottom of the multimedia barrel, and 99% of the reality stars are not taken seriously. A politician with a reality TV show? This doesn't really translate into votes.

And honestly, I often felt like I was watching an hourlong political commercial, from the inspiring country-western theme song to the photo-ops of Palin. There's a lot of emphasis on her image of a huntin'-fishin'-shootin' outdoorswoman, and we're constantly hammered with platitudes about family and togetherness. It feels like Palin is trying to convince the American people that she's the Alaskan Theodore Roosevelt.

Even putting aside the political aspects of ""Sarah Palin's Alaska,"" this series fails because... it's boring. The parts that focus on the Palin family's minor troubles and activities are just DULL, since there is no conflict or any real problems beyond friendly bickering. Oh, and one of the daughters sneaking a boy into her bedroom -- that was the first and last time they did something interesting.

""Sarah Palin's Alaska"" is at its most interesting when it focuses on just that -- Alaska. When the focus switches to Sarah Palin, interest levels crash like poll numbers.",1293926400,4,2531,5.128640776699029
4507731,5,B004ZBFQ04,"I happen to love this show! It shows the beauty of Alaska, along with Sarah raising her kids at the same time. AShe is a real trooper and this show shows it. I hope this show lasts more than just 8 episodes!",1293667200,58,207,3.9523809523809526
4507732,1,B004ZBFQ04,"I watched this show on TLC expecting to see a ""mama grizzly"" raising her kids to be upright citizens set against the beautiful backdrop that is Alaska.  Instead, I get a family of morons and reprobates.  Thanks for lowering the bar TLC, I guess, in this case, the 'L' stands for Laughable.",1293667200,21,289,4.538461538461538
4507733,4,B004ZBFQ04,Brilliant overview of life in Alaska love Mrs Palin or no to this is a truly wonderful look at life in the great state. And for the price its worth the risk to find out about the life of the governor and family life in the great state.,1454284800,,235,3.9166666666666665
4507734,5,B004ZBFQ04,"Absolutely beautiful scenery.  Reminded me of my trips to Alaska and what I had seen there.  Also, reminded me of old friends from Fairbanks, now deceased.  What the Palin's did as a family reminded me of what my friends did.  Brought good memories in a beautiful setting.",1442275200,,272,4.723404255319149
4507735,5,B004ZBFQ04,I like Sarah Palin (read her books ) and the Palin-family a n d I like Alaska,1421107200,,77,3.588235294117647
4507736,5,B004ZBFQ04,Awesome! They're such a loving family! And Alaska is beautiful!,1421020800,,63,5.4
4507737,5,B004ZBFQ04,Great show!,1417132800,,11,5.0
