,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4519431,5,B00514JKQA,"I just love this cartoon and I'm so glad I was able to find it. It just brings back memories of when my kids were little. Yes, as an adult I watch this cartoon, lol. My youngest is 14 now, and she will watch it with me sometimes.",1358812800,,229,3.7916666666666665
4519432,5,B00514JKQA,My son just loves to watch these.  He will want me to order more for him again.  I told him I would.,1357516800,,100,3.5
4519433,5,B00514JKQA,My child loves these movies.......She is only 7 and downloaded them herself without my knowledge.......love it. Gotta love your kiddos.,1355356800,,135,5.8
4519434,5,B00514JKQA,"I purchased the third season of fairly odd parents. I forgot how hilarious this season was. This particular episode is wonderful because the cartoonist get to create a silent episode in pipe down. And the big scoop brings us back to season one, when timmy made all those wishes and almost lost wanda and cosmo  for good. It is great to get a different view on the episode.  Please watch for yourself and i guarantee within the first few minutes you'll be laughing.",1353628800,,464,4.578313253012048
4519435,5,B00514JKQA,I LOVE this show! It's been on since I was a kid...& I'm 24 yrs old.,1448323200,,68,3.3125
4519436,5,B00514JKQA,thanks,1439769600,,6,6.0
4519437,5,B00514JKQA,"I can watch this over and over but try not to I won't get bored. My mind is still young and even though I'm grown up I still like the fun and laughs these characters give me with many shows to watch.  Great season ,want to get another season and some original Scooby-Doo Mysteries.",1436400000,,281,4.203703703703703
4519438,5,B00514JKQA,Great humor. Kids can watch multiple episodes without getting bored. Also funny enough for us parents to enjoy it.,1432857600,,114,5.052631578947368
4519439,5,B00514JKQA,My son & I love this show!,1431993600,,26,2.857142857142857
4519440,5,B00514JKQA,Granddaughter loves it.,1431648000,,23,7.0
4519441,5,B00514JKQA,it is a great show!  Some of the episodes are annoying.,1431561600,,55,4.0
4519442,5,B00514JKQA,My two boys love this series!,1430956800,,29,4.0
4519443,5,B00514JKQA,So funny,1430611200,,8,3.5
4519444,5,B00514JKQA,i'm still watching it but I love the godparents.,1430352000,,48,4.444444444444445
4519445,5,B00514JKQA,My kids love this! They watch it over & over!,1430006400,,45,3.6
4519446,4,B00514JKQA,Love this show!!,1429401600,,16,4.666666666666667
4519447,5,B00514JKQA,my kid loves it very much!,1429401600,,26,3.5
4519448,4,B00514JKQA,Loved it!!,1429401600,,10,4.5
4519449,1,B00514JKQA,Hate it,1428710400,,7,3.0
4519450,3,B00514JKQA,Not bad,1428537600,,7,3.0
4519451,5,B00514JKQA,Very amusing,1427587200,,12,5.5
4519452,5,B00514JKQA,My son was the one watching he just loves the show,1427241600,,50,3.6363636363636362
4519453,5,B00514JKQA,Hilarious!,1426896000,,10,10.0
4519454,5,B00514JKQA,I love the show.,1426636800,,16,3.25
4519455,4,B00514JKQA,Silly but funny,1425686400,,15,4.333333333333333
4519456,5,B00514JKQA,nan,1425081600,,3,3.0
4519457,5,B00514JKQA,Amazing!,1424649600,,8,8.0
4519458,5,B00514JKQA,"While The Fairly Oddparents is obviously a cartoon for kids, there are more than enough subtle jokes for adults to be amused. I have a 15 year old son who grew up with the show and while he's moved on to more age related interests, I can't help myself keeping up with the exploits of Timmy, Wanda, and my personal favorite, COSMO!!!! With the additions to Poof, Cosmo and Wanda's adorable baby and Sparky the dimwitted, but loveable magic dog, the show is fresher than ever and I look forward to many years of wacky and zany adventures to come. But I can't help wondering where Poof is on some of the new episodes.",1424390400,,614,4.394736842105263
4519459,5,B00514JKQA,"Oddly funny, perfect for boys.",1424390400,,30,5.2
4519460,5,B00514JKQA,Meets my expectations.,1420416000,,22,6.666666666666667
4519461,2,B00514JKQA,"Not a huge fan of this show-parents portrayed as unavailable fools and the babysitter is evil, thrives on abusing 8 yr old kid,  andthe fairy godfather is also an idiot, with a VERY ANNOYING voice",1420156800,,196,4.6
