,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4621231,5,B0059XTV4Y,"Modanna has created two movies in one.  One a masterpiece and the second a soap opera that looks like a bad made for TV cable battered wife film.  The Masterpece is the romance of Wallace for Edward . A stunning period piece lead by Andrea Riseborough.  Ms. Riseborough makes Wallace a women you can't take your eyes off of. Wallace says she is not a beauty, but delivers the allusion of beauty by clothing and presence.  That is 100% true of Riseborough performanc. When she is on the screen this movie is impossible to turn away from. Unfortunally when the other story line is on the screen all you want is the romote controle to change the channel. Bad Script, bad acting and nothing to make it worth your time.  But even as bad as the modern story line is ; this is a film not to be missed, but only for the Wallace and Edward parts......so suffer through the other half ....it is well worth the troble to see Ms. Riseborough performance.  Her ""Twist "" dance at the end is charming and funny and heartbreaking all at one! She gets the 4 stars for her Wallace!  A women a king could not live without!",1333238400,8,1103,4.351219512195122
4621232,2,B0059XTV4Y,"The story of Wallis Simpson and King Edward VIII is a fascinating one. Even as they passed through The King's Speech in a supporting storyline(played then by Guy Pearce and Eve Best), the idea of a monarch giving up his throne to be with his multi-divorced, American socialite lover is the stuff storybook romances are made of. Madonna, who co-wrote the script and makes her first feature directorial effort since 2008's Filth and Wisdom(which nobody saw and for good reason), clearly sees something of herself in Wallis, a woman who to the very lenient was an innocent bystander as the American paparazzi skewered her on a regular basis. More critical eyes will note Wallis' guile and opportunistic nature in all things, but most obviously in how she used her charms to woo her way into the upper echelons of society, even if it meant thrusting England into a constitutional crisis at a time when it could least afford it. The various interpretations of Simpson and Edward's scandalous affair is part of what makes them so intriguing, but Madonna has no interest in exploring any of that, content only with the thinnest representation as possible.

Yet, Madonna's decision to present such an idealized view of Wallis(Andrea Riseborough) and Edward(James D'arcy), the future King of England, would have been tolerable if not for the questionable way in which she chooses to tell it. Divided into two separate but connecting stories, one set in 1998 and following poor Wally Winthrop(Abbie Cornish), the beleaguered wife of an arrogant but highly successful doctor. Essentially a trophy wife, Wally endures his emotional and physical abuse, even as she struggles to get pregnant through a series of fertility injections. Finding an emotional void in her life, Wally becomes obsessed with the story of Wallis and Edward, which she sees as the perfect fairy tale romance. Unable to resist hovering around a collection of their personal belongings up for auction, she looks for answers to her own problems by looking at their pasts, and in the process maybe finds new love with a surprisingly astute security guard(Oscar Isaac).

Slipping back and forth through time to draw some rather slim parallels between the two women, it becomes increasingly less clear why Madonna split the narrative this way when clearly her interests lie in the past. The best way to explain it is that she had an overabundance of artistic energy and no idea how to harness it, as some of her flourishes make no sense. Sometimes it's hard to tell if she's shooting a biopic or a bad commercial for blue jeans or perfume. The confusion is amplified by an oddly selected soundtrack, especially when a drug fueled party thrown by Wallis and Edward roars to life accompanied by the Sex Pistols.

Even if some of the creative choices are bizarre, at least the historical segments have some flair to them. The present day scenes are a crashing bore and shot in as flat a tone as possible. Abbie Cornish, usually such a firecracker on screen, is helpless against the bland cinematography and silly, melodramatic script. There has scarcely been a love more dull than that of Wally and her all too perfect Russian guard who comes off a little stalkerish as he watches her anxiously through the security cameras.

Wallis was treated pretty shabbily in The King's Speech, but Andrea Riseborough tries to give her a touch more depth despite not having much to work with on the writing front. We see Wallis' intensity and devotion to the man she loves, even as she knows she'll be forever hated for taking the King away from his people. D'arcy is forgettable as Edward, especially when compared to Guy Pearce's previous charismatic turn. It's really unfortunate that this film had to come out in the wake of the 2010 Best Picture winner, because it's impossible not to compare, and when done so W.E. is found to be severely lacking.",1332288000,11,3892,4.901365705614568
4621233,2,B0059XTV4Y,"If you're a fan of films like ""The King's Speech"" (2010), ""The Queen"" (2006), and ""Anonymous"" (2011) that give you a peek behind the screen of the royal family, you're going to be woefully disappointed in ""W.E."", a 2012 film about the love affair between King Edward VIII and a married American woman, Wallis Simpson - an affair that led to Edward's abdication in December 1936 and the ascension of George VI whose eldest daughter Elizabeth, reigned for more than 50 years and as of this date, remains on the throne.

In addition to a cursory examination of the Wallis/Edward (hence W.E.) affair, there is a concurrent story about a former Sotheby researcher who is obsessed with the story, not only because she was named after Wallis, but also because her own marriage is under strain and she hopes in some way that learning more about Wallis and Edward may assist her.

Two half told stories do not a good film make. Indeed, half told tales diminish rather than enhance a film, so that the two parts of this film - Edward and Wallis in the 1930s and Wally and William in the present - really do injustice to both stories.

But all is not lost, because the contemporary story gives us a look at a really fine actress, Australia born Abbie Cornish whose work has been primarily in Australian and British TV and films. Cornish plays the modern day Wallis, and she does such a fine sensitive job that I wish this were a film about her, rather than a device to serve as a counter point to the Wallis/Edward affair.

James D'Arcy plays King Edward. D'Arcy had primarily been a British TV actor. He's probably best known for co-starring in ""Master and Commander"" (2003) as 1st Lt. Tom Pullings.

Pretty Andrea Riseborough plays Simpson. She was nominated for a BAFTA for the TV movie ""Margaret Thatcher"" The Long Walk to Finchley"" (2008) and the British Independent Film Society nominated her for ""Most Promising Newcomer"" for ""Brighton Rock"" (2010). She is virtually unknown to US audiences.

James Fox, who plays King George V, is the only well known actor (""Patriot Games"", ""The Servant"", ""A Passage to India""), but if you sneeze you'll miss him.

Given the talented actors, what went wrong? Apart from the half told tale problem alluded to above, perhaps the major fault with the film is that it is virtually impossible to see what attracted Edward to Wallis. The film ignores anything to do with the central question - why would a man give up a kingdom for a woman? The film continually tells us that Edward is obsessed with Wallis, and it shows us Edward being obsessed with Wallis, but we are left to wonder why. In an aside, it's suggested that she dressed better than anyone else, and as seemingly silly as this may be, it is the only clue we have.

There's another problem with the film, and this is the continual shifting between real footage (news reels and newspapers) of Edwards and Wallis and reconstructed footage with the actors superimposed. There seems to be no pattern to when this happens, leading me to think that they simply ran out of money to complete the task. As presented, the shift is jarring and is a constant reminder that we are watching a film with actors - a deadly thrust at the heart of any film.

All these problems can be laid at the foot of writer/director Madonna who is best known as a singer, although her second career in film is also notable. She acted in more than 20 films, winning a Golden Globe for ""Evita"" (1996) although winning a Razzie (worst actress) for ""Swept Away"" (2002), ""Die Another Day"" (2002), ""The Next Best Thing"" (2000), ""Four Rooms"" (1995), ""Body of Evidence"" (1993), ""Who's That Girl"" (1987) and ""Shanghai Surprise"" (1986).

W.E. is her fourth film as a writer and second film as a director. None of her other efforts received any type of award, although W.E. did get an Oscar nomination for Costume Design.

Of course the film is not totally without merit. It is visually attractive and it's always good to get a peek at actors who otherwise appear on TV and films in other countries. There are also a few moments when the camerawork is exceptional as it visually tracks extreme closeups of facial features while underscoring the theme offered in the scene (something Sergio Leone did very well in a very different context). But these few crumbs will not provide sufficient sustenance for a 2+ hour film.

Roger Ebert called it ""an elegant, ambitious and relentlessly monotonous film"" and said ""there is little human interest or excitement."" The Hollywood Reporter called it ""as easy on the eyes and ears as it is embalmed from any dramatic point of view.""

The film opened in February 2012 and did less than $50,000 in its opening weekend. Poor as this may appear, films like this generally don't do well when they open - ""The Queen"" (2006) made only $122,014 and ""The King's Speech"" made $355,450. ""Anonymous"" was an exception with more than $1 million.

Bottom line - a dull film that offers no insight into the Wallis/Edward affair.",1331078400,13,4998,4.690639269406392
4621234,5,B0059XTV4Y,"W.E. was beyond what i expected. I totally did not expect it to be such masterpiece, it really blew me away. Everything about this film impressed me from the costume, the lighting, the cast, but most importantly the the accuracy of the story and how Madonna was able to show a different side of the story. As a fan of The British Monarchy i had read a lot about the Duke and Duchess of Windsor but i never bothered to see the Duchess's side of the story and just what she had to go through, what she had to give up. Everyone always thinks about what King Edward VIII gave up, but they never take in consideration the hell she went through and that is what W.E. did for me it made me think and see it from her point of view. Once again Madonna has impressed me with her work, and honestly i don't care what the media says she did a great job directing this film. I am very proud to be a fan of such an intelligent, intellectual, brilliant, and talented artist who never cease to amaze me.",1330473600,15,987,4.172774869109948
4621275,5,B0059XTV4Y,"I love this movie! It is stunning to watch, very beautifully filmed.",1511395200,,68,4.75
4621276,3,B0059XTV4Y,"I think that if Madonna's name had not been attached to the movie, the well-crafted performance of Andrea Riseborough as Wallis Simpson would have gotten far more attention by critics and award-givers.  Riseborough shines.  Interestingly, and contrary to what I would have thought, Madonna directs and films the period pieces quite well and much better than the scenes set in modern times.  The parts of the story involving Wallis and Edward are compelling.  Unfortunately, the script meanders into contemporary New York with contrived story line about an abused wife which doesn't work on any level.  In many ways, this predicament is reminiscent of ""Julie & Julia"", in which the Julia Child portion of the film is lovely, fun and interesting, while the Julie story line is dull and annoying.  Ultimately though, Madonna's premise is that W & E are the worlds greatest tortured lovers since Romeo & Juliet.  Nah.  I get that he gave up a crown for her, but he actually hated the duties of being king and couldn't wait to get out.  But if you wanted me to believe that never have two more perfect star-crossed lovers existed, we needed far more scenes of them falling in love, and far fewer of the modern woman and whatever she was doing.",1511395200,3,1238,4.80188679245283
4621277,1,B0059XTV4Y,"This is not a movie about Wallis Simpson and the future King.  It is more about those characters set in current time.  Flip flopping from the 1930s to present.  The story isn't developed, the characters aren't developed.  This was just to let Madonna think she is a director and it proves she isnt.  Dont waste your time or money!",1508716800,,330,4.52542372881356
4621278,5,B0059XTV4Y,Excellent,1506038400,,9,9.0
4621279,5,B0059XTV4Y,Love!,1505174400,,5,5.0
4621280,5,B0059XTV4Y,By far one of my favorites films... I love the perspective that the story takes and the film is done so visually well along with two stories overlapping...,1499904000,,155,4.571428571428571
