,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4886100,5,B005SQRYEG,"This was a great movie for the whole family. As a parent I am always looking for movies that teach values that I want my daughters to understand and this movie fit that so well. As a person who works with students who have  forms of autism I could relate with the main character and what the coach and the player were going through. This movie has some great messages within it that all will enjoy, including ones of acceptance, passion, hard work and belief, but there are so many more. The movie is emotional, but is one that the whole family will enjoy. I highly recommend this to all!",1326153600,3,588,4.345454545454546
4886101,3,B005SQRYEG,"""Your son Mickey is a very special boy.""  Arthur Murphy (Cain) is the manager of a minor league baseball team that is stuck in an 0-13 start.  While on a trip to find a hot prospect ""Murph"" gets stuck in a ditch outside of a farm.  While waiting for a tow he sees Micky throwing apples and sees what he is looking for.  I have said this before...I am a sucker for all sports movies.  There has been a long string of sports movies lately that I have really enjoyed.  It stopped here.  While this is not a terrible movie it has the same problem that a lot of family movies have lately.  I know that it has to be this way because it is a family movie but it seems like there is no push back against the ""good guys"" at all.  For example : Murph sees Micky...he has no pitching mechanics...he says I'll work with him...paint's a red dot on a glove...Micky is now best pitcher ever.  To me when a movie is unbelievable it's not good to me.  Overall, not a bad movie, but too unbelievable for me to fully enjoy.  I give it a B-.",1325980800,7,1021,4.075376884422111
4886102,5,B005SQRYEG,"""A Mile in His Shoes"" is one of the most touching, heartwarming films I have ever seen. The handling of Aspergers in this sort of setting (the arena of the sports world) is most admirable and inspiring. I loved the characters, especially Mickey, and Dean Cain is fabulous in his role as well. The baseball scenes were well executed and the backstory was equally effective. This is a must see for every family. You will walk away wanting more.",1325635200,,442,4.6075949367088604
4886103,5,B005SQRYEG,Great,1510185600,,5,5.0
4886104,5,B005SQRYEG,Favorite movie! Sent very fast,1509926400,,30,5.2
4886105,5,B005SQRYEG,Wonderful movie.,1502668800,,16,7.5
4886106,5,B005SQRYEG,"A great movie about teamwork and good sportsmanship, but you can't get jealous!",1496620800,,79,5.153846153846154
4886107,5,B005SQRYEG,great,1487116800,,5,5.0
4886108,5,B005SQRYEG,Great movie.,1485907200,,12,5.5
4886109,5,B005SQRYEG,"I love this movie because it encourages folks to have a close relationship with God and to read his Word to us, the Bible.  That is a great thing for folks of any age and one of the characters who does that is Matt (18 years old in the movie) who pitches for the baseball team.  It is a great movie for young folks (both boys and girls) to watch!  I think it is great for girls to love baseball. Years ago I dated a girl who knew much more about baseball than I did  and I loved that about her!  At the time she did not love  or  believe in Jesus but I hope and pray with all my heart that she loves him now.",1485302400,,608,3.7777777777777777
4886110,5,B005SQRYEG,Very good heart warming movie,1482278400,,29,5.0
4886111,3,B005SQRYEG,This is a gift for a little boy who is baseball crazy so it will be perfect. It came in good shape ans within the prescribed time,1481068800,,129,3.814814814814815
4886112,4,B005SQRYEG,Good story line allowing the viewer to see the struggles of mentally challenged individuals and the prejudice they face.,1479945600,,120,5.368421052631579
4886113,5,B005SQRYEG,great movie and fast service...thank you,1476835200,,40,5.833333333333333
4886114,1,B005SQRYEG,"There's no better way to put it: This movie is awful, and I mean AWFUL! I'm a huge baseball fan who's mildly autistic, and when I saw the description on Netflix I thought, ""Hey, a story about an autistic baseball player! Awesome!""

Not awesome.

It's not that Luke Schroder's portrayal of an autistic kid was all that bad, but this movie is an abomination. The storyline is absolutely garbage; the events are completely unrealistic (he throws two knuckleballs in practice and has it MASTERED! Oh and then he doesn't throw another knuckleball for like three months until the end); nobody can act -- this point needs emphasized: NOBODY CAN ACT -- and there are plot holes big enough to drive a tank through:

1) Mickey reminds Coach Murphy of his dead son. Anyway, let's not mention that again, like at all;
2) A girl helps sabotage Mickey and then, in the very next scene, is in a confessional talking about how bad she feels about it, with zero recognition leading up to it that she felt bad;
3) ""They call him Sauce."" Why? Most convoluted reason ever -- a reason mentioned in passing and never shown in action;
4) Oh, only NOW did you see the telltale tattoos? Not at any point leading up to the climax? How convenient;
5) Mickey's scared of his father because he's autistic and doesn't understand some stuff, which is fine, but they show this in two flashbacks and do nothing to resolve this issue;
6) Murphy pleads with Mickey's father to let him pitch the final game, and he never answers ... then we cut to Mickey in the clubhouse getting ready to pitch.
7) The name of this movie is ""A Mile in his Shoes,"" which makes you think, oh, hey, it's about trying to relate to someone with autism, which would be great ... except it totally isn't. Instead it's about a kid who's autistic and someone finds him throwing apples hard in his parents' barn in BFE, so he signs him to pitch. His ASD doesn't really play in so much, and the attempts to relate with autism are few and hokey. You could call it ""Oddball Pitches Well"" and be more accurate.

This is just the tip of the iceberg. I've literally seen more logical and sensical sequences involving Wile E. Coyote than those in this movie.

Credit where due, the movie starts with a pleasant-sounding country song (by George Canyon, the guy who plays Mickey's father) along with an attractive montage of farmland. This 2-3 minute span is BY FAR the best part of the movie. This is because there's no dialogue.

Also, there's an irony to this movie because it has a Christian theme, yet it's a total abortion.

Only buy this if you're looking for the baseball version of The Room. If you somehow are, then congratulations, because here it is.",1473811200,,2691,4.547520661157025
4886115,5,B005SQRYEG,Great movie.,1470528000,,12,5.5
4886116,5,B005SQRYEG,"Wonderful movie, with all good messages and values... so refreshing these days to find movies that have integrity.",1466467200,,114,5.388888888888889
4886117,5,B005SQRYEG,love it,1466035200,,7,3.0
4886118,5,B005SQRYEG,Great!,1458000000,,6,6.0
4886119,4,B005SQRYEG,Inspiring,1457308800,,9,9.0
4886120,5,B005SQRYEG,Very satisfied,1455926400,,14,6.5
4886121,5,B005SQRYEG,I really like this one for the compassion,1455062400,,41,4.25
4886122,5,B005SQRYEG,Passed this on to a friend,1453420800,,26,3.5
4886123,5,B005SQRYEG,Great movie for the whole family to watch,1451174400,,41,4.25
4886124,3,B005SQRYEG,"A Mile in His Shoes is an easygoing, empathetic, encouraging, engaging, if somewhat elementary baseball story about a talented young pitcher suffering from an autism spectrum disorder (ASD). Its been a long time since I read The Legend of Mickey Tussler, the novel on which this film is based, but I remember the novel being significantly more complex than the film. Also, the film has a low-budget feel to it. For example, the baseball scenes have a decidedly economy-class look. Mickeys pitches don't look like they could get many people out, and the villains in the film seem too uncomplicated. Plus, the ending involves some implausibilities. Still, the film does a decent job of stressing the importance of seeing things from anothers point of view in an entertaining way. My favorite character was Murph, but I liked Mickey too. He reminded me of Forrest Gump. This is the life is like a basket of apples version. Finally, in spite of some of the more Christophobic reviews, the films religion is a very generic kind. All in all, A Mile in His Shoes reaches base safely.",1449705600,,1076,4.821621621621621
4886125,4,B005SQRYEG,Beautiful story and great job from the actors.,1448409600,,46,4.875
4886126,5,B005SQRYEG,Really loved this movie.  Dean Cain and Luke were both great!,1447632000,,61,4.545454545454546
4886127,5,B005SQRYEG,super,1443484800,,5,5.0
4886128,5,B005SQRYEG,Very good movie. Everyone should watch it,1443312000,,41,5.0
