,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
4994762,1,B006JN872K,One of the worst movies I have ever purchased. I should have known with this title what it was like. All it was is auditions for another movie put on dvd. I would call this soft core porn. No plot to this movie. Just actors off the street auditioning for a movie.,1363046400,,263,4.076923076923077
4994763,3,B006JN872K,"I saw this movie way back in the early 80's, and being a fan of Linnea Quigley, this is the earliest and most you will ever see of her, you can tell she is quite young because there is signs of teen acne on her face, overall the movie is quite amateur-est and poorly done, so if you are a Linnea Quigley fan check it out, if not you might want to skip this one.",1350864000,8,361,3.8266666666666667
4994764,4,B006JN872K,"Dreyfuss from another view, very funny. Not much to say about the film except, needed more of Dreyfuss to make it more believible.",1339200000,,130,4.695652173913044
4994765,5,B006JN872K,"Fast shipping, very happy!",1457913600,,26,5.75
4994766,5,B006JN872K,A great concept movie. Well done.,1456963200,,33,4.666666666666667
4994767,1,B006JN872K,Save your money,1456272000,,15,4.333333333333333
4994768,1,B006JN872K,lousy video and obviously staged.,1454803200,,33,5.8
4994769,4,B006JN872K,FUNNY STUFF...,1453766400,,14,6.5
4994770,5,B006JN872K,THANKS OR THE DVD.,1453334400,,18,3.75
4994771,5,B006JN872K,Great,1448150400,,5,5.0
4994772,5,B006JN872K,unusual but good,1448064000,,16,4.666666666666667
4994773,2,B006JN872K,Grindhouse: Auditions,1446508800,,21,10.0
4994774,5,B006JN872K,I love it,1438646400,,9,2.3333333333333335
4994775,2,B006JN872K,Strange and didn't make much sense,1435881600,2,34,4.833333333333333
4994776,4,B006JN872K,"OK, it wasn't the best thing that I've ever seen before. It basically has no plot (what passes for a plot is, as the name implies, an open casting call for a blue movie). The production values are more or less value-less. The only point of this thing is nudity and occasional weirdness, and it delivers on both--particularly the former. How refreshing to see all-natural women in all of their naked, bushy 1978 glory.

Linnea Quigley, in one of her earliest roles, is absolutely adorable here. Looks far more rounded out and full-bottomed than she was later, possibly because she wasn't living so hard yet. And yeah, she does full frontal just like all of the rest of the women (and there are a lot of them), plus she does this incredibly silly, spastic dance that would be fun to watch even if she wasn't fully naked.

It's worth viewing if you're interested in grindhouse fare. This also is really, really close to hard-core and includes more male nudity than any movie I've ever seen that WASN'T hard-core--so be aware.",1434240000,,1022,4.6722222222222225
4994777,4,B006JN872K,Graet plot.,1424908800,2,11,5.0
4994778,3,B006JN872K,This was made in the mid seventies probably and it has it`s funny side in a couple scenes but I really don`t get into the Porn stuff so it may be more likeable to other people than me..........,1420675200,,193,4.105263157894737
4994779,5,B006JN872K,A+++,1417824000,,4,4.0
4994780,3,B006JN872K,"""Let's just get them nekkid and let them roll around some, and it'll be a film!!!  We'll make hundreds of dollars!""  And they did.  And it's awful. It's even an awful example of an awful film.  Some of it is Hoot-and-holler bad, but mostly it's HoHum bad.  Waste of time, space and history.

Maybe if you had some friends in it, you'd want a copy for posterity and a souvineer, but that's about it.

On a scale of 1 - 10, it's an F.",1397865600,2,432,4.071428571428571
