,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5110014,5,B007TZOD16,"I watched the original  New Dragon Gate Inn a long time ago and that was a great film as well with excellent actors back then. Maggie Cheung, Brigitte Lin, Tony Leung, Donnie Yen...the original had an amazing cast with some solid actors that it'd be hard to outdo it.  I wasn't sure what to expect with this version going in but I figured it wouldn't be exactly the same. I much prefer the story line of this one.  It was similar in some areas but not really. There were characters in this version that wasn't present in the original but it was done well. The film was beautifully shot with some wonderful scenic views and was just pretty to watch. I had the Blu-ray so the movie was super crisp and clear. I didn't realize that this movie was filmed in 3d at first but the effects were still great in 2d. You can definitely tell how it will look in 3d in some areas but the CGI was done very well. I watched a ton of Asian cinema growing up since I'm Asian, and I love wuxia movies. I love face-paced sword fighting and there was a lot of that in this movie as well as a lot of knife throwing, which is my kind of movie . I watched pretty much all of Jet Li's movies and he does a great job as always in this one. He is probably the most recognized name, however, the supporting actors are all actors that i recognize In other movies from mainland China films so it was a great cast. This was directed by Tsui Hark so you know it's going to be a good film. It's definitely one of the better movies that have come out in 2011 and I was so excited to order it off Amazon. Definitely would recommend this as well as the original so you can compare the differences and enjoy them both!",1337904000,20,1682,4.137614678899083
5110015,5,B007TZOD16,"Dragon Inn is one of my favorite movies (Maggie Cheung!). This is a sequel of sorts with much of the action taking place in the same inn. References are made to the first film, and there are some similarities in the plots. I'm a great fan of HK martial arts films, and this one satisfied in every respect, story, cinematography (3D!), acting and action. Tsui Hark directed. Jet Li did much of the heavy lifting in the action department, but all of the actors and actresses made significant contributions. The ladies are very lovely and very lethal. (Would we want them any other way?) This is being billed as the first HK actioner in 3D, and the 3D is used very effectively. The same 3D cameras James Cameron uses were used filming this apparently. Another first I'm sure is a fight sequence inside a tornado. I don't think I've ever seen anything quite like that before. So, to sum up, the film is highly recommended if you're into this kind of movie or if you're looking for a good addition to your 3D collection.",1335312000,32,1015,4.521739130434782
5110016,5,B007TZOD16,Yes Indeed,1504656000,,10,4.5
5110017,4,B007TZOD16,Good 3d affects,1503446400,,15,4.333333333333333
5110018,5,B007TZOD16,"One of the best 3D titles available. Both subtitled and dubbed editions are included. Both have drawbacks. Reading the subtitles is sometimes a challenge with the visual, but the subtitled edition is flat and basic. Recommendation: watch once with the dubbing, then enjoy the better subtitled version knowing enough about the plot. Opening shot over the harbor is amazing, and a good idea of what is to come. If you are looking for a new disc to show off your 3D, this is an excellent choice. On a par with ""Life of Pi"" and ""Hugo.""",1501027200,3,531,4.6
5110019,5,B007TZOD16,Another Jet Li winner. An instant favorite on our Movie Night.,1498262400,,62,4.7272727272727275
5110020,4,B007TZOD16,It is a decent movie.  The 3D is one of the best I have seen.  That alone is worth it.,1495584000,2,86,3.25
5110021,5,B007TZOD16,Great,1493596800,,5,5.0
5110022,5,B007TZOD16,Nice Movie.,1492819200,,11,5.0
5110023,5,B007TZOD16,Jet Li at his best and better in 3D,1490227200,2,35,3.0
