,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5242383,5,B0091MW50G,"This is a sampler; it contains one selection each from most,, but not all, of the complete Verdi operas being released by C Major/Unitel Classica between now and next Spring. Since buying the entire series involves a substantial cash outlay over time, the disc gives the potential buyer a limited opportunity to evaluate performances because most excerpts feature one performer. On the plus side, disc quality in this series seems to be first rate, with all operas being made from an HD master, with very fine surround sound, and subtitles in ""E, F, Sp, I, Chin, Kor, Jap"". Some operas will be first time DVDs while others face varying levels of competition from existing discs.

All operas are performed by the Teatro Regio di Parma, a tough venue for singers, since the Parmigiani are a very demanding bunch in the audience. Some performances are done in the Teatro Giuseppe Verdi in Busetto, a venue I like a lot since it seats only 300 and the stage is about 30 m deep. Orchestral work and choral work are first rate through the entire series. The performances are essentially ""Italian"" with an obvous respect for the music and a totally enthusiastic audience, even to the point of a ""Viva Verdi!!""at the end of ""Va pensiero"". Oh yes; and some motivation for a Weight Watchers franchise in Parma. All of this makes for some splendid enjoyment at home!
i
I have received viewed and reviewed two of the first three (I already have a good Nabucco), Oberto and Il Giorno di Regno. The next three, Ernani, I Lombardi and I due Foscari have been ordered and I intend to review them after seeing them. All are very promising from the excerpts here. Below are some comments:

Nabucco  --  Nucci, Theodossiou, Zanelatto. Moving ""Va pensiero"".

I Lombardi  --  De Biasio, Pertusi, Theodossiou, Meli. Duet, ""Come poteva un angelo"", shows Meli doing very well.

Ernani  -- Berti, Guelfi, Neves, Prestia.  Trio, ""Tu se' Ernani"" is energetic, and although I am not a fan of Susan Neves, this is a must buy in order to get a decent Ernani.

I due Foscari  --  Nucci, DeBiasio, Serjan, Tagliavini. Aria from last act shows Nucci in top form.

Giovanna D'Arco  --  Bowers, Bruson, Vassilieva. ""O fatidica foresta"" shows Vassilieva in very good form, but Bruson's presence is a concern, since he is now past 70.

Attila --  Parodi, Catana, Branchini, DeBiasio. Chorus and entry of Attila is very promising.

Macbeth  --  Nucci,Valayre, Lori, Juliano. Faces very stiff competition from at least two existing discs. Nucci does very well both musically and dramatically in ""fatal mia donna"". Lady MacB is also the real deal both vocally and dramatically. Probable buy, since Macbeth was my first operatic experience.

I Masnadieri  --  Neither cast info nor excerpt.

Il Corsaro  --  Ribiero, Lungu, Salsi, Dalla Benetta. Dalla Benetta rocks in ""Vola talor dal carcere"".

La Battaglia di Legnano  --  Neither cast info nor excerpt.

Luisa Miller  --  Surian, Alvarez, Franci, Nucci.  Alvarez does a bang up ""Quando le sere al placido"".

Stiffelio  --  Aronica, Guanqun, Frontalli.  No excerpt.

Rigoletto  --  Demuro, Machaidze, Nucci, Iranyi. While there is a lot of competiton, overall quality of singing and staging make this must buy for your humble reviewer. Yowza! Quartet is excerpt and it rocks!

Il Trovatore  --  Sgura, Romano, Nioradze, Alvarez.  ""Di Quella pira"" shows Alvarez in better form than in the recent Met release, but the Met version trumps.

La Traviata  --  Vassileva, Giordano, Stoyanov. Who needs another Traviata? (ME!!) Stoyanov does a moving ""Di provenza"".

I Vespri Siciliani  --  Nucci, Armiliato, Prestia, Dessi. A must buy for me. Dessi rocks in ""Merche dillete amiche"".

Simon Boccanegra  --  Nucci, Scanduizzi, Plazzola, Iveri, Meli. Faces some stiff competition but from ""Plebe! Patrizi"", this looks like a winner.

Un Ballo in Maschera  --  Meli, Stoyanov, Lewis, Fiorillo, Gamberoni. Meli in tenor aria is quite good.

La Forza del destino  --  Theodossiou, Stoyanov, Machado, Pentcheva. Theodossiou does a ravishing ""Pace, pace mio Dio"" Promising.

Aida  --  Pentcheva, Branchini, Fraccaro. Triumphal March is cool but hard to evaluate singers.

No info, no excerpts on  Don Carlo, but faces huge competition from either Alagna or Villazon version.

No info or excerpts from Otello.

Falstaff  --  Maestri, Salsi, Vasselieva, Gandia. Finale looks promising but I am not a fan of Falstaff.

So, gentle reader, that's the lineup. Watch pricing: Amazon offer excellent pre-release deal at $20.99 ( so far) but bumps to $35 as time passes. Early bird and all that.",1350432000,21,4582,5.0013297872340425
8534362,5,B0091MW50G,good,1438732800,,4,4.0
8534363,5,B0091MW50G,"I am so happy with this marvelous Blu-Ray disc full of top slections from the Italian opera top composer G. Verdi.
Thank you so much",1389225600,,132,4.32
8534364,4,B0091MW50G,"An entertaining disc of excerpts from almost all Verdi's operas-- some better than others.  A terrific buy at 9.99, though!  Check it out.",1373068800,,138,4.956521739130435
8534365,3,B0091MW50G,"great sample of Verdi opera""s but need to pay much higher price to get the complete works.  still a good value,",1363305600,,111,4.285714285714286
8534366,4,B0091MW50G,"It's only highlights from 20 operas. But well done, good sound and vision. The video production is limited due the stage size. I wanted this disc for use it as catalogue of the Collection.",1362355200,,188,4.5588235294117645
8534367,3,B0091MW50G,"Not quite what I thought it was. Instead, a sample from each of Verdi's operas by the Parma company. Performance is OK. HP",1355875200,,122,4.3478260869565215
8534368,5,B0091MW50G,"This is a pretty nice intro to the Box set and it gives you some idea of the production and vocal values of some of the operas. I wish we could have seen more of the lesser known opera like Alzira, I Masnadieri etc. instead of the old war horses which have many different DVD's available.

Just from seeing this single DVD I can honestly say that the box set is NOT worth buying - some of the individual operas are - especially ones like Alzira - but most of the War Horses are available in better productions with famous singers.

These operas are all set in small provincial opera houses and some of the staging is minimalist at best. The Il Trovatore staging was not only awful but so was the singing. I didn't got for the White Bed, Candles and Red Moon for Di Quella Pira. I suggest if you want that opera get either the Met version with Pavarotti or the TDK with Domingo. Both are better sung, and the Domingo is the well stages - the Met is pretty poor staging.

The Ernani is poor - not just the staging but the singers - if you want this opera, get the Met version with Pavarotti.

Nevertheless for all my criticims and saying there are better DVD's of the individual operas out there - getting this single DVD will give you some idea of which operas you might want to buy invididually in this series or from other labels with better singers and productions.

But above all this DVD indicates that the BOX Set at $700+ dollars is not worth it since many of the operas are poorly staged and have at best B+ singers.",1355788800,10,1523,4.274305555555555
8534369,4,B0091MW50G,"Excellent casting, audio, and video.  A pleasant evening's entertainment and a fine way to discover operas which merit further exploration.",1355184000,,139,5.95
8534370,1,B0091MW50G,"I just got this disc, and was preparing to enjoy ""Va Pensiero"". My Sony Player announced the disc as unplayable.
The description says region a-1 & b-2.  I have never heard of a 2 region disc, just one region or all region. I suspect this disc is only B-2 {European} and will not play on American players. Any way I am out 9.99, as the value of the disc does not make it cost effective to return, and a replacement will not likely work either. I guess it was a bargain just too good to be true.",1354665600,4,493,4.082474226804123
