,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5722273,4,B00CHMBQCU,"If the writers of the breakfast club had a three way with the writers of 28 days later and George Romero, this movie would be mildly retarded illegitimate child. It's not a perfect movie, (there are some continuity errors that are kind of obvious)but it's fun, and that's really what matters. If you just want to have some fun and aren't too worried about details then this is a good movie. If you're someone that obsesses over the details and production value of the movie...well then it's probably not for you. I didn't like all of it, but it had more good than bad, and I thought it was entertaining. (And that is the only really important thing about a movie like this anyway.)",1372291200,3,681,4.5
5722274,5,B00CHMBQCU,The writing is great. The acting is the appropriate level of cheese... with some extra sprinkled on top. We rented this for a date nights and were pleasantly surprised with how many times we were laughing out loud.,1372118400,,214,4.657894736842105
5722275,1,B00CHMBQCU,"High expectations, low on delivery.  This movie had so much going for it, and traded it all for stereotypes, and bad cliches. Stupid, not funny, kinda sad, seemed to have a decent budget. Story as basically stupid, and very predictable, don't waste your money.",1371945600,2,260,4.909090909090909
5722276,4,B00CHMBQCU,"This is a pretty solid entry into the Horror/Comedy Genre. You have all your usual characters and stereotypes. I'm not mad because I like formulaic Horror movies as long as it's a formula I like and this formula I do. I believe most everyone else who loves this sub genre will love it too.

The comedy is a little over the top as is the acting but it's still a lot of fun and the gore was abundant and fun to watch as well. It's not destined to be a classic or anything but it is a good film that will entertain you and not leave you feeling like you wasted money like so many of late.
Jayson Blair of 'The New Normal' and Krista B.Allen of 'Revenge' were my favorite characters because their acting was so well suited for this film..I say rent it or buy it..You can't go wrong either way because it has the re-watch-ability factor.",1370995200,5,832,4.232704402515723
5722277,4,B00CHMBQCU,"Just finished watching this and I was pretty happy.  This is a solid zombie movie.  I saw it as a zombie comedy and it does pretty well at keeping on task.  It is a story about a bunch of kids that get sent to detention right before a zombie outbreak and shows how the try to survive.  There are of course the typical people there - The jock, nerd, cheerleader, goth chick, skater dude and military guy.  They follow all of the zombie rules and try to survive.  There are a bunch of in jokes in the thing so if you are into the zombie thing you should be able to catch them.  The acting is decent.  You begin to follow the characters and while there isn't enough time to really care about them you do like them.  There is very little cgi and most of the zombie effects are good old fashion makeup.  The effects all around are decent and are good enough to suspend your disbelief for the time you watch it.  There are of course some places where the makeup is obvious but they are few and far between.  The soundtrack is where this movie shines.  It is really good and goes great with the film.  It is actually good enough that I might have to buy it.  This movie is good, it isn't great but it is good.  You could do a lot worse then sit down and watch this.  It is definitely a renter and if you are hardcore it is a keeper.",1369785600,7,1325,4.073643410852713
5722278,2,B00CHMBQCU,"Eddie (Jacob Zachar), a class nerd whom seems to be bullied quite often reports to after school detention, and here he runs into a few classmates along with two of his bullies. Another student reports to the classroom with what appears to be a bite wound. From here the bitten student goes on a rampage and the group realizes their school is under attack by a zombie plague. -summary

Released in 2012 and directed by Alex Craig Mann, Detention of the Dead isn't only just another zombie-comedy, but also another zombie-comedy that merges the undead with John Hughes coming of age classic The Breakfast Club. Indeed, this idea had been done before and far better in Dance of the Dead directed by Gregg Bishop. This movie manages to work pretty well within its setting, unfortunately its less than sub-par when dealing with the zombies and comedy. This movie falls short of even being marginally decent if you're not real easy to please.

It really doesnt take long at all for things to get going. The motley crew of students quickly realize that their school has been overrun by zombie classmates, and their goal is to make it inside the school library and barricade themselves. They accomplish this task and from there they begin to bond; this is when the flick spins its wheels quite often.

Mann draws heavily on John Hughes film as he attempts to build his characters by addressing the usual teenage angst ridden situations; for the most part I can say these characters are somewhat likeable at least, and at times their actions can be well understood. I give Mann props for at least attempting to deliver characters worth caring about, but their interactions can be a bit too long and the zombie element is heavily underutilized. The only purpose the zombies serve is as an outside threat. There really aren't many hair-raising moments or much over the top comedy. In fact, I hardly ever laughed at the supposed comedy.

I cant stress enough on how poorly worked the zombie element was; at least two characters had vast knowledge on dealing with zombies due to them apparently being well versed with the films. I cant recall much about this knowledge being put to entertaining use though, which is really shameful because this opened doors to some nice possibilities.  The movie gives off an illusion as if its going somewhere, yet its still in the same place as it was before. The zombie encounters were standard fare with very little in way of imagination.

The zombie encounters rarely provide any sort of pay off; the clashes against them and gore effects are far below average. I will give some credit to this movie though. I did like the make up job on the zombies; they did have that raging flesh eating appeal to them. I thought the acting for a movie of this type was good. The actors are definitely experienced and worked well with what they had. However, I enjoyed the setting taking place inside the school most. Mann worked well here in establishing some type of belief that Lincoln High School library was the safest place to be and all was indeed lost, in which this works great into the ending.

When looking at numerous results on Detention of the Dead; it amazes me that some people I know enjoyed it so much. I personally believe that many of them were just starving for at least a watchable zombie flick, and I can understand this since there really aren't many out there that should even be bothered with. I only recommend this to zombie fans whom haven't already watched zombie flicks such as The Horde, Dead Snow, Dead Snow 2: Red vs. Dead, The Dead, Flight of the Living Dead, and even Dance of the Dead. Try not to land yourself in this detention hall too soon.",1454457600,,3691,4.660522273425499
5722279,5,B00CHMBQCU,Silly & dumb enough to be good.,1451692800,,31,3.5714285714285716
5722280,4,B00CHMBQCU,This movie is a fun twist on the Zombie genre. The hero turns out to be the one person you wouldn't think would be one.,1445558400,,119,3.8
5722281,5,B00CHMBQCU,One of my favorite Zombie movies of all time is a very teenager movie so get it if you are one n that movie is not boring seriously ill become one of your favorites too.,1444348800,,169,3.857142857142857
5722282,4,B00CHMBQCU,"Detention of the Dead might be one of the best zombie movies I've seen in a while!  It's a genius idea really- take high school kids, give each kid their own personality, and keep the attention in the classrooms, library and hallways.  Inside the school is where this entire movie takes place.  The film almost works like a zombie-fied version of the Breakfast Club but in a weird twisted comical way.

Anyway you have your quiet goth chick (Alexa Nikolas), your popular snotty head cheerleader (Christa B. Allen), your typical football jocks (Max Adler and Jayson Blair), your Asian drug addict (Justin Chon) and of course, the main character, your typical book/computer nerd (Jacob Zachar).  Oh, and the detention teacher who... well let's just say, her head hangs around throughout the movie, lol.  Really creepy when it blinks sometimes!  These kids all have very little in common, but when it's soon discovered that a zombie outbreak is occurring after one kid in the back of the detention room develops unusual hand pumping movements indicating the changeover into a zombie, the chase for survival is on!

Now I mention this is similar to the Breakfast Club because it actually is.  No it's not actually mocking the movie or anything, but these kids often find themselves in situations where they share things amongst each other with the rest of the group.  These teens constantly find themselves having to protect themselves from the zombie outbreak by boarding up windows and doors and having to escape when the going gets rough.

For the most part this movie tries to present itself as an equal balance of horror and comedy but of course, whenever you deal with zombies you're bound to have intentional or unintentional bits of comedy thrown in.  I mean picking and grabbing the legs of a student and beating zombies as you run down the hallways as a way to escape can't actually be taken seriously!  The scene where one zombie arm reaches through the library wall, grabs Jacob's crotch, and Justin tries to horse-ridingly pull it off Jacob's crotch after the arm is removed from the zombies body is just... LOL!  And when Jayson Blair hides a hand bite... yeah, you know what that means.  It's just amazing his detention mates didn't notice he was hiding his hand under his sleeve, even when he was raising his arm in the air for everyone to see.  And when the snotty cheerleader realizes she's about to be eaten by the zombies on the school rooftop and starts singing Cat Steven's ""Morning Has Broken""... Alexa gives her a weird look, LOL!

I think Detention of the Dead is a really awesome movie.  You really care about every single one of these characters because they're all given the proper time to develop their personalities.  I really liked the Asian kid the most.  He seemed to speak up and cause trouble (bring attention to the group!) during times he should've kept quiet, and the snotty cheerleader is actually really funny too.  She's usually the victim of blood splashing all over her pretty face.  Too bad.  Not quite 5 stars because it's just incredibly silly.  Overall, highly recommended!",1441497600,,3116,4.824858757062147
5722283,2,B00CHMBQCU,"I see what the director and the producers were trying to do by pulling in parts from different movies (Breakfast Club, Sean of the Dead, Napoleon Dynamite, etc) but it just wasn't as fun to watch as it probably was to make.  There was way more squishing and splatting sounds produced in the movie than there were laughs.  And the zombie gore scenes are done much better on TV on The Walking Dead, so the horror part didn't really work either.

The acting was OK.  No real issues there.  The rat though....  pretty weak.",1437523200,,519,4.468085106382978
5722284,5,B00CHMBQCU,Funny.,1432857600,,6,6.0
