,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5802911,3,B00DHJT4DU,"To this day, World War II is the deadliest military conflict in the history of man - with an estimated casualty count of anywhere from 50 to 85 million lives lost.  The war ended nearly 70 years ago, but its still fresh in a lot of peoples minds, especially since theres no shortage of films featuring the wide variety of events that took place during the six-year (plus one day) war.  From films like Schindlers List and The Longest Day to Flags of Our Fathers and Patton, new generations are able to get a glimpse and be reminded  through superb filmmaking reenactments, of what bravery looked like in the early 1940s.  However, heroics were not just reserved for the individuals that enlisted or who were drafted to protect their county, but also for those that took on their own cause.  And, in the case of the film, The Monuments Men  it was a cause of devotion to recovery and preservation.

The Monuments Men, which is based on the novel of the same name by Robert M. Edsel, is directed by George Clooney (Leatherheads, The Ides of March), who also stars as Frank Stokes  an army leader of a group of men devoted to the cause of preserving art in Europe during World War II.  With the war nearly over and the Germans in near full retreat, Stokes enlists the help of several fellow art enthusiasts, including James Granger (Matt Damon), Richard Campbell (Bill Murray), and Walter Garfield (John Goodman), to accompany him to Europe and maneuver around the final skirmishes to begin tracking down precious pieces of art that should be recovered and preserved for the good of culture and humanity.

Nazi leader Adolf Hitler was a well-known lover of art and even an artist himself in his younger years.  As the dictator of Germany, he plans to construct and open a Fhrer museum and orders his officers to steal the most precious art pieces ever created, including the Alterpiece  which is comprised of several different panel paintings.  The Altarpiece, along with several other priceless paintings and sculptures fall into the hands of the Nazis, and the officers have orders that  in the event Hitler falls  to burn and destroy everything.

Looking to make contact with anyone that might be able to help them, Granger eventually meets a former museum curator and supposed French traitor, Claire (Cate Blanchett), who might possibly know the locations of the art.  But, with time running out, it has put the men in the difficult position of each trying to individually find their own leads to recover the Nazi-possessed art.  The only question is: will they be able to locate the stolen items before the Nazi army has the opportunity to destroy it?

Much like Saving Private Ryan, The Monuments Men is about a group of men that are assembled with one specific task.  However, unlike Saving Private Ryan, this film lacks a clear, specific goal other than the randomized repossession of stolen art.  These men are not regulars in the army and are nothing more than art enthusiasts  meaning for much of the film they appear to be randomly wondering the countryside like a chicken with their heads cut off chasing after nothing in particular.  In the beginning, this film attempts to make it about retrieving one specific item  the Altarpiece, yet if thats the lone goal, the underlying premise will often elude your thoughts.  And, eventually emotional attachment comes into play as Clooneys character sets his sights on recovering one sculpture, called The Madonna of Bruges.

This film may star two high-profile actors in George Clooney and Matt Damon, but this film hardly highlights either one of them.  Oddly enough, this is a film less about specific acting ability and more about the occasionally broad story itself.  The wide range of characters is given relatively equal screen time, although it may lean a bit more so in the direction of Matt Damon  whose mission appears to be slightly more important than the rest.  Still, seeing John Goodman and Bill Murray in this film obviously lightens the mood, making a for a few brief moments of ironic humor  the most memorable of which takes place during their brief stint in basic training.

Honestly, the lovers of action-packed war films will be vastly disappointed in what this film has to off you.  Sure, there are encounters that require the abbreviated use of weaponry, but thats not exactly the point of this flick.  The war is coming to its end, and as you might have already anticipated, it causes this film to drag on more often than not.  Imagine a film where all you see is men cleaning up the mess after all the action takes place and thats roughly what youll see here.  Still, for me personally (as a lover of everything history-based), the lagging story wasn't that noticeable  but for anyone that doesnt find historical films to be all that entertaining (at least without action), this film could understandably feel like it goes on for an eternity rather than two hours.

Overall, The Monuments Men focuses on an isolated story that took place right about the time the dust was settling.  To that end, its commendable that a story like this receives attention  yet the film is noticeably clustered and lacks a prime directive.  Its as though the assertion is there but the emotion is absent.  The characters are spread extremely thin as far as their back-stories go and it makes it difficult to resonate with their individual predicaments as the story progresses.  History enthusiasts might find a certain amount of enjoyment or entertainment in this story, but for a film with unmistakably high-profile actors, it easy to see how this film could be a monumental disappointment  no pun intended.

GRADE:  C
FNDNreview.com",1391817600,2,5696,4.831785345717234
5802912,4,B00DHJT4DU,"A refreshing new dimension on the Second World War. This film provides a welcome change from all the conventional war films. Here the mission is to save cultural monuments and art, etc. Although the film has a strong historic background, I believe that the Nazis did not want only to destroy art and monuments but also to steal them. Hitler 'owned' one of the largest such collections of art stolen from conquered neighbours.
  George Clooney (like his father) has a social conscience about his work. In a recent interview he was honest enough to agree that the so-called Elgin Marbles (stolen from the Acropolis and still housed in the British Museum) should be returned to Greece where they belong. This was an entertaining film with a great cast. I hope that a sequel will be made about all the treasures stolen from the Museum in Baghdad!",1391817600,2,842,4.760273972602739
5802913,4,B00DHJT4DU,"""The Monument Men"" is a fun, old-fashioned, feel good movie. I walked out of the theater inspired. The movie isn't perfect but its gifts outweigh its flaws.

""The Monument Men"" tells the story of a group of art experts recruited by the US armed forces during WW II to ensure that Europe's artistic heritage was not destroyed in the war.

Hitler had been a painter before he became fuhrer. Joseph Goebbels was a novelist. Speer was an architect. Filmmaker Leni Riefenstahl did as much to spread Nazism as many troops. Nazis didn't just mass murder human beings. They burned books and paintings. They worked very hard to destroy ""decadent"" art and to elevate and appropriate art they deemed worthy. Nazis plundered and stockpiled other countries' art. Just the other day, Feburary 6, 2014, art the Nazis stole from Poland was repatriated. In January, 2014, the World Jewish Congress demanded that Germany do a better job of returning art.

There's a long tradition of World War II movies about international, all-star teams of experts uniting to achieve some goal: ""The Great Escape,"" ""The Guns of Navarone,"" ""Kelly's Heroes,"" ""Dirty Dozen,"" ""The Longest Day,"" ""A Bridge Too Far."" And of course George Clooney is a veteran of the ""Oceans"" movies.

""The Monument Men"" is a little bit WW II team movie, a little bit Oceans. The team members are shown going about their day to day lives when George Clooney shows up and signs them up. The movie is based on a real project, and it plays like the best anecdotes from that project's team members. It's a series of vignettes that aren't particularly coherently connected. Some of the vignettes were not clear to me. Why was Matt Damon suddenly flying in a biplane over Paris at night? It was a pretty scene but I didn't understand how it fit into the rest of the plot. Why was the German-Jewish translator, Sam, suddenly carrying a wounded soldier into a mobile army surgical unit? Who was that soldier? Not sure.

Other vignettes are really gripping, moving, suspenseful, and/or funny. The movie won me over with its depiction of a British art expert's heroic attempt to rescue a Michelangelo Madonna from Belgium. I cried. I was inspired.

There is a funny, scary, sickening scene where a beefy German dentist hammers away at Bill Murray's teeth with a mallet and pliers while Bob Balaban makes provocative commentary about how he bets all the Germans were innocent  not.

There's a powerful scene where Americans are invited to a German home for dinner, and discover that the paintings on the dining room walls are too good to be reproductions.

The movie is flawed. Its editing is choppy. It feels rushed. I got the sense that not enough time was devoted to cast members building bonds with each other. John Goodman and Jean Dujardin are meant to be tight team members, but I saw no real chemistry between them. Not nearly enough time is devoted to fleshing out the all-star cast's characters, or to simple exposition. I'd simply like to know more about everything onscreen, from the Ghent altarpiece to Hitler's Nero decree. I would like to have seen the Nero decree's destruction of art placed into the context of the mass suicides at the end of the war. Hitler's suicide isn't even mentioned in ""Monuments Men.""

Sam, a GI, is recruited as a German translator. The average moviegoer might have no idea that Sam is Jewish. Sam says, ""I'm from NORTH Newark."" How many moviegoers know that North Newark was a Jewish neighborhood? Sam says that his grandfather in Germany was not allowed to enter a museum and joked about being barred because he was ""too short."" The real reason he was barred is that he was a Jew, but the movie never states that plainly.

I got the impression that Clooney was making his film for people with short attention spans who want the shallowest treatment possible of the subject matter. That's too bad, because with a little more tender loving care, this could have been a great movie rather than a good one.

Some popular culture and even academic retellings of WW II work to humanize, or even exculpate, Germans. ""Monuments Men"" does not. At first I thought that Sam would be the good German character  the noble ""true"" German who hated the Nazis from the get-go, resisted them, and was now helping the allies defeat them. But Sam turns out to be Jewish. ""Monuments Men"" uses the word ""German"" were a more German-friendly film would be careful to use the word ""Nazi,"" thus emphasizing that not all Germans were guilty, but merely an ideology.

""Monuments Men"" is unusual among recent American films in that it unapologetically and enthusiastically celebrates Western Civilization and the Christian heritage as something that utopians  in this case Nazis  tried to destroy, and that good people  among them Americans  heroically and courageously died to preserve. This is a really remarkable message. I wonder if left-wing Clooney embraced it because he saw ""Monuments Men"" as being about Art, not about Western Civ or the Judeo-Christian heritage. The two artworks focused on the most  the Ghent altarpiece and the Michelangelo Madonna are both overtly Christian.",1391817600,3,5137,4.86368843069874
5802914,4,B00DHJT4DU,"During WWII, there was a group of soldiers and civilians who scoured Europe in order to ""safeguard historic and cultural monuments from war damage, and as the conflict came to a close, to find and return works of art and other items of cultural importance that had been stolen"" (quote from Wikipedia). This was something that had never been done before in war; in the past it had almost always been ""to the victor belong the spoils."" However, the Allies (not including Russia) realized that the preservation of art and culture was part of what they were fighting to protect. To make a better future, they wanted to save, protect, and preserve the past. Some of the undertakings of a few of the Monuments Men were told in the 2009 book THE MONUMENTS MEN and that book is what formed the basis for the movie THE MONUMENTS MEN.

Directed and co-written by George Clooney, THE MONUMENTS MEN follows a group of artists as they travel through Europe in an attempt to save and protect works of art and return those pieces to their rightful owners. Clooney stars in the movie as Frank Stokes. Stokes petitions President Roosevelt to let him assemble a group of artists and scholars that will be sent to Europe to protect works of art, architecture, and items of historical importance from destruction and return stolen items to their rightful owners. He recruits his good friend James Granger (Matt Damon) to assist him with his efforts. Together the two men round up the rest of their troop: Richard Campbell (Bill Murray), Walter Garfield (John Goodman), Preston Savitz (Bob Balaban), Donald Jeffries (Hugh Bonneville), and Jean Claude Clermont (Jean Dujardin). After going through basic training in England and arriving in France a month after D-Day, the group enlists Sam Epstein (Dimitri Leonidas), a German Jew who fled to America with his family as a child, to be their translator. The team splits off to different parts of the continent and while in Paris Granger meets Claire Simon (Cate Blanchett) who eventually provides him with key information to finding and retrieving lost artifacts. It all becomes a hunt against time as it becomes clear that Germany will lose the war, but the stakes are raised as the Russians refuse to return any stolen goods, claiming them as restitution for the twenty-million people the war cost them.

The acting in the movie is well done. Clooney and Damon portray characters that seem similar to other characters they have played before. All the lead cast gets at least one big moment to shine in this piece. However, I was particularly impressed by Bob Balaban, Bill Murray, and Cate Blanchett. Balaban's Preston Savitz is the eldest member of the group and has a wonderful dry sense of humor. The pairing of Balaban and Bill Murray was genius. Murray also has a moving solo scene that illustrates once again that Murray isn't just a comic actor, but a fine dramatic one, too. Meanwhile, Blanchett fills her role with all kinds of mesmerizing actions and movements. She's a pure delight to watch.

I enjoyed THE MONUMENTS MEN. Having read the book prior to seeing the film, I was surprised at how many of the stories from the book actually made it into the movie. There are some scenes that are added for dramatic effect. There are also certain events and people that have been condensed to make the story more cinematic, but overall the movie stays close to the source material. The one big thing I was surprised about were the names of the people in the movie: almost all of the major characters in THE MONUMENTS MEN are based upon real people, but for some reason they are given different names in the movie.

The movie never steers away from the importance of the mission these men have undertaken. The audience is reminded of it several times by different characters throughout the film. However, the film also has a comic tone to it, which is somewhat surprising for a war movie. The comic tone doesn't take away from the seriousness of the subject matter, however. Nor does the film shy away from the real dangers of war. However, there are some who might find the dual comic-dramatic elements of the film to be confusing and, perhaps, even inappropriate. This shouldn't be the case: life is often tragic and comical at the same time. Tragedy and comedy might be opposites, but they are not mutually exclusive.

Overall, THE MONUMENTS MEN is an entertaining film that brings to light an important aspect of WWII history that is often overlooked. It's lighthearted, but doesn't glass over the risk and tragedy of war and it's a great reminder that the past should be saved in order to make the future worth living.",1391731200,82,4655,4.777639751552795
5802915,4,B00DHJT4DU,"""The Monuments Men"" (2014 release; 118 min.) brings the story, ""based on true events"" we are reminded at the beginning of the movie, of 8 men, tasked by President Roosevelt himself, to try and protect and/or recover the troves of art looted or threatened to be looted by the Germans during WWII. As the movie opens, we are in Ghent, Belgium, where Jan van Eyk's Altarpiece is being dismantled and whisked away. The scenery shifts back to the US where Lt. Frank Stokes (played by George Clooney) is putting together his team. There is the architect (played by Bill Murray), the sculptor (played by John Goodman), etc. etc. Once they get to Europe they split up and head out to various areas (Belgium, France, Germany). In a parallel story, we also get to know Claire (played by Cate Blanchett), a Parisian secretary working for the Nazis but secretly keeping track of everything. To tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.

Several comments: this movie is very much driven by (a labor of love for) George Clooney, as he co-wrote, co-produced and directed this (his first since 2011's excellent ""The Ides of March"", and his 5th overall). Second, notwithstanding what I just wrote, the move is an ensemble performance of mostly all-stars. Besides the ones I've already mentioned, there is also Matt Damon, Jean Dujardin (he of ""The Artist"" a few years back) and the always reliable Bob Balaban, just to name those. Third, even though this is NOT an 'action' war movie in any way, there are nevertheless a number of impressive looking production scenes, with a cast of hundreds, as Clooney is trying to recreate the chaos that existed in the latter phases of WWII. Fourth, if you don't like art or history, save yourself the trouble as more than likely you will not enjoy this movie. Besides the search for the Van Eyk Altarpiece, the other artifact that is a major plot point in the movie is Michelangelo's sculpture of Madonna and Child, from Bruges, Belgium. AS it happens, I grew up in Belgium (went to HS in Bruges, no less), and have seen both these artifacts, but had no idea about their perils during WWII until I saw this movie. Last but certainly not least, there is a fantastic orchestral soundtrack to the movie, composed by Alexandre Desplat. Bottom line: this movie is definitely not for everyone, but if you do enjoy a historical drama with a heavy dose of art, you cannot go wrong with this. At one point in the movie, Hitler signs a decree that if he is killed, all, as in ALL, of the looted art works are to be destroyed. Clooney's men get wind of that, prompting one of them to comment ""Now we have to hope nobody kills Hitler. I thought I'd never say that"", ha!

I went to see the movie here in Cincinnati at a late matinee today. Imagine my surprise when it turned out this particular screening was absolutely PACKED! I never expected that. I enjoyed ""The Monuments Men"" more than I had anticipated, truth be told. This is a solid historical drama that gave me some insights on WWII, and in particular the preservation/recovery of art in WWII, which I didn't have before. ""The Monuments Men"" is well worth checking out, be it in the theater or on DVD/Blu-ray.",1391731200,5,3258,4.634948096885813
5802916,5,B00DHJT4DU,"George Clooney directed this movie, and stars as George Stout, the man who puts a mission together to preserve, and protect the world's greatest art. The Group is named 'The Monument's Men' who are sent on an almost impossible mission as they risk their lives, in a race against time to avoid destruction of the art, and return it to their rightful owners. The art is trapped behind enemy lines, with the German Army under orders to destroy everything as the Reich fell. This movie is based on the true story of the greatest treasure hunt in history, as the artistic Masterpieces are planned to be rescued from Nazi thieves.

The movie portrays a dark spot in history that covers the screen with explosive action, as the tension increases during 'mission impossible.' Some of the team members gave a superb acting performance: Matt Damon; Bill Murray; John Goodman; and Cate Blanchett were fantastic.

The entire cast grabbed your attention with the roles they played, and sound effects were excellent. The compelling story was informative and historic, with an incredible setting that grabs your attention immediately. Overall, this movie is packed with drama, and action until the end. Interesting, entertaining, great acting, and worth an Oscar. I haven't seen a good historic movie in a long time, one I could rave about. This intriguing movie filled the gap, and was totally satisfying.  Highly recommended to all those who enjoy history movies, and war stories!",1391731200,172,1467,5.02880658436214
5802947,5,B00DHJT4DU,"Sobering, I appreciated being  able to watch a movie that engages the mind and is thought provoking with out overt guts and gore.",1529280000,,129,4.608695652173913
5802948,5,B00DHJT4DU,Wow! What an amazing story!,1529193600,,27,4.6
5802949,1,B00DHJT4DU,"My daughter had to watch this movie as part of a high school assignment,  Oh my gosh; I couldn't believe how boring and predictable it was,  Don't waste your time.",1528675200,,163,4.4
5802950,5,B00DHJT4DU,It held you on till the end. Nice to know it was a part of our history. And the men who died to save art.,1528329600,,105,3.24
