,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5862010,5,B00DXJ1ZFO,Not much to say. Great old movies and quality copies. Enjoy,1411084800,,59,4.454545454545454
5862011,5,B00DXJ1ZFO,"Both of these are top notch action movies and a must have for any serious movie collection.  Gregory Peck, David Niven, Anthony Quinn, Alec Guiness and William Holden - Hell yah!",1396742400,5,178,4.741935483870968
5862012,1,B00DXJ1ZFO,Blu Ray box was smashed,1520899200,,23,3.8
5862013,5,B00DXJ1ZFO,Excellent movie. One of my favourite.,1520035200,,37,5.333333333333333
5862014,5,B00DXJ1ZFO,Excellent set of movies both are classics and worth a watch.,1519689600,,60,4.545454545454546
5862015,5,B00DXJ1ZFO,"Getting these two films together on blu ray at such a bargain price is almost unbelievable. If you like great films of this genre and era, buy this now. Both are outstanding, and worth twice the price you'd expect to pay for this package.",1519171200,,238,4.431818181818182
5862016,5,B00DXJ1ZFO,Two movie classics worth viewing and owning.,1518998400,,44,5.428571428571429
5862017,5,B00DXJ1ZFO,Great Christmas gift for my son. I already have my own copy.,1517270400,,60,4.083333333333333
5862018,5,B00DXJ1ZFO,Terrific price for 2 terrific classic movies. They don't make em like this anymore.,1516665600,,83,5.0
5862019,5,B00DXJ1ZFO,"In one package the purchaser gets two of the most famous WWII adventure movies ever made, and especially with the Bridge on the River Kwai one of the best ever made with a extraordinary portrayal of an English officer by Alex Guiness, with another terrific acting job by William Holden and the rest of the cast. It won 7 Academy Awards and for excellent reason",1513382400,,360,4.553846153846154
5862020,5,B00DXJ1ZFO,Love this show too,1510185600,,18,3.75
5862021,4,B00DXJ1ZFO,GOOD MOVIE PAIR,1505088000,,15,4.333333333333333
5862022,5,B00DXJ1ZFO,great war flicks,1504828800,,16,4.666666666666667
5862023,5,B00DXJ1ZFO,What a great DVD!!,1504483200,,18,3.75
5862024,5,B00DXJ1ZFO,LOVE BOTH MOVIES,1501286400,,16,4.666666666666667
5862025,5,B00DXJ1ZFO,What can I say 2 of the best movies ever made,1501027200,,45,3.1818181818181817
5862026,5,B00DXJ1ZFO,This was a fantastic product.,1500508800,,29,5.0
5862027,5,B00DXJ1ZFO,It's a Classic,1495670400,,14,4.0
5862028,5,B00DXJ1ZFO,Giant classics,1495497600,,14,6.5
5862029,1,B00DXJ1ZFO,"Movies top notch, but Ultra Violet copy key is expired and useless.",1488412800,3,67,4.666666666666667
5862030,5,B00DXJ1ZFO,"Alec Guiness David Niven Anthony Quinn  Gregory Peck  William Holden  YEAH !!
There are no actors Of their  caliber today
These were movies made by people with believable people in them
The movies may have been fiction but they presented  people in situations
That  represented  a time all l too real They told a story
Not much of that in cinema today",1488240000,,351,4.564516129032258
5862031,4,B00DXJ1ZFO,arrived In good working order,1486857600,,29,5.0
5862032,5,B00DXJ1ZFO,no comment,1482969600,,10,4.5
5862033,5,B00DXJ1ZFO,Love it.,1481500800,,8,3.5
5862034,5,B00DXJ1ZFO,Classics,1481068800,,8,8.0
5862035,5,B00DXJ1ZFO,"Got here quick, love these old movie.",1480464000,,37,4.428571428571429
5862036,5,B00DXJ1ZFO,A classic movie at its best especially Guns Of Navarone,1478476800,,55,4.6
5862037,5,B00DXJ1ZFO,"Two of the best wartime movies ever made, especially The Guns of Navarone, which is one to watch over and over again.  The Bridge on the River Kwai is supurbly acted, but is not a subject matter that is easy to watch; it won Best Picture and is a classic, but not one to watch many times.",1476403200,3,288,4.052631578947368
5862038,5,B00DXJ1ZFO,Great bargain and a great set of movies! It had been quite a few years since I had seen these-and the Blu-Ray quality makes them even more enjoyable.,1472342400,,149,4.357142857142857
5862039,5,B00DXJ1ZFO,Two of my favorite movies in blu-ray for a great price!  What's not to like?,1470873600,,76,4.066666666666666
5862040,5,B00DXJ1ZFO,Two great movies that are classics.,1470441600,,35,5.0
5862041,5,B00DXJ1ZFO,Two masterpieces for one great price.,1466553600,,37,5.333333333333333
5862042,5,B00DXJ1ZFO,I watch both movies a lot. The bridge is the best one. Still I enjoy both. Should be in everyone's library if you like WW11 movies.,1465430400,5,131,4.076923076923077
5862043,5,B00DXJ1ZFO,AWESOME!!!,1464998400,,10,10.0
5862044,5,B00DXJ1ZFO,Oldies but well done.  Acting like we don't see anymore.  Highly recommend.,1464825600,3,75,5.166666666666667
5862045,5,B00DXJ1ZFO,"A true classic!  Wonderful actors, a great story.",1464220800,,49,5.125
5862046,5,B00DXJ1ZFO,Great value.,1463788800,,12,5.5
5862047,5,B00DXJ1ZFO,"BOTRK is a classic, with unforgettable music theme.",1463788800,,51,5.5
5862048,5,B00DXJ1ZFO,great 2 movie combo.,1463270400,,20,4.25
5862049,5,B00DXJ1ZFO,"Both of these are classics. I remember them from the first time I saw them when I was a kid. They were both engaging and have historical value, so the action itself is appealing and the reflection on times gone past is instructive for the younger viewers too.",1463184000,5,259,4.416666666666667
5862050,5,B00DXJ1ZFO,"Two classics on Blu Ray at an absolute bargain price.
VERY highly recommended!",1461542400,4,78,5.076923076923077
5862051,5,B00DXJ1ZFO,Two bluray disc. Both movie transfers are good. One good prie at 8.50$.,1461456000,2,71,4.538461538461538
5862052,5,B00DXJ1ZFO,Great!,1459036800,,6,6.0
5862053,5,B00DXJ1ZFO,What a deal! Two great classic films in Blu-Ray for under ten bucks. Each on it own individual disc.,1457395200,,100,4.315789473684211
5862054,3,B00DXJ1ZFO,"Great movie, great pairing. Usually you get one great movie and the second is definite B rated.
AA all the way",1454198400,,110,4.285714285714286
5862055,5,B00DXJ1ZFO,Classics.  Amazing acting.  Great stories.  Surprising plots.,1453766400,,61,7.428571428571429
5862056,5,B00DXJ1ZFO,Good.,1452556800,,5,5.0
