,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
5926546,5,B00EKPSIIW,"My children enjoyed this movie.
The music was similar to Indiana Jones, but more appropriate for this movie.  Lots of adventure and little children play all the roles!  Very funny too.
It is a very enjoyable movie to watch.",1327708800,,223,4.6923076923076925
5926547,5,B00EKPSIIW,"In my quest for quality, Godly family movies, I came across this one.  We watched it last night for the first time and we all loved it - powerful message, great acting, Indiana Jones-type music in the action scenes, adorable children (5 who play all the parts!), funny moments that our kids just loved... I highly recommend this movie!

If you're like us, the beginning didn't quite make sense until we got a bit further into the movie; then all the parts fall into place and you'll be happy you stuck with it!  Enjoy! :)",1327708800,,521,4.463157894736842
5926548,5,B00EKPSIIW,"My kids, ages 4 years to 8 years, my wife, and I watched this last night and absolutely loved it.  The novelty of having all of the parts done by the 5 kids aside, it was extremely well done.  I really can't say enough about it.  Very pleased, keep 'em coming!",1326585600,4,260,4.0588235294117645
5926549,5,B00EKPSIIW,"This FABULOUS movie was great for the whole family.  Beautiful message, scenery and acting!  A talented family with very professional production skills.  Keep it up!",1324080000,,165,5.52
5926550,5,B00EKPSIIW,"I am a 12-year-old boy, and I loved it. There is suspense, action, and even special effects. The wardens are always behind the prison escapee, and but for an inexperienced guide, they would surely capture her. The guide tells her of the City of Refuge, where the wardens are not allowed. But will they make it there before the wardens catch up to them? There is a slightly malfunctioning rocket car on call.",1311120000,5,407,4.589041095890411
5926551,5,B00EKPSIIW,"This movie was superb from start to finish. The children were all wonderful actors but more than that, the message of the film came shining through without the need for any obvious hints. The plot was subtle and the characters, though the children often played dual roles, were thoroughly individual. Very encouraging film, highly recommended for the whole family.",1309046400,8,364,5.186440677966102
5926552,5,B00EKPSIIW,"This is now hands down my favorite movie! I LOVE this movie; and I'm very critical of movies normally. It's got GREAT acting--those kids are just amazing! And oh, the cuteness!!!

The music, the set, the action, the humor--everything about this movie is spectacular. I can't remember the last time I wanted to watch a movie twice, but I will definitely be watching this one again and again. Did I mention that this movie is hilarious?

Everyone should have this movie, really.

P.S. Try and get the version with subtitles. There are one or two places where the kid-factor made it a bit difficult to understand what the actors were saying, but this was very rare and didn't take anything away from the movie.",1453593600,3,707,4.685483870967742
5926553,5,B00EKPSIIW,Great movie.  Well done! Engadging for all ages. The message is great. Don't have to worry about content when I let the kids watch this,1449014400,,135,4.4
5926554,4,B00EKPSIIW,"This was a truly remarkable work of love. Now if you buy this and expect to watch a masterpiece such as the Lord of the Rings, you will be sorely disappointed. But, if you view this film for what it is, a simple production involving less than a half dozen actors on a very tight budget with a story of redemption to tell, then you will enjoy this little piece of work for what it is. If you're picky and don't appreciate the simple small things in life, then you will probably not be that impressed.",1437955200,3,499,4.208333333333333
5926555,5,B00EKPSIIW,Kids love it,1428278400,,12,3.3333333333333335
5926556,5,B00EKPSIIW,This is a great family film that will tickle your funny bone while it delivers an important message.,1421884800,,100,4.611111111111111
5926557,5,B00EKPSIIW,Fabulous!  Very well done and so delightful to watch with the whole family!,1412380800,,75,4.769230769230769
5926558,4,B00EKPSIIW,"It was cute and well made.  Please note:  this is a child's movie in my opinion.  It was not geared enough for adults in my opinion.  The little actors were darling, though.",1411516800,,173,4.3125
5926559,5,B00EKPSIIW,We watched this movie at a friend's house and my kids had to have their own DVD to watch over and over and over again!!  The love it!!  We are able to really have good conversation around sin and our Savior Jesus Christ.,1404691200,,220,4.093023255813954
5926560,4,B00EKPSIIW,"Ok. My kids would likely give this 5 stars and for an I dependent , low budget film=amazing.
  If I had not read some background on the film storyline and also had the subtitles on to understand all that was verbalized , I may have been slightly lost.
  BUT well done . Great acting by the kids . Amazing set an special effects .
  Lovely cinematography .
My kids ages 2,5,7,9&11. All loved and laughed.
  I can't imagine any little ones not enjoying watching these other kids act this out.
  Great, clean family movie night film with a message that might go over the little ones heads for now, but could have lasting positive results .",1388016000,,636,4.405172413793103
