,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6050658,5,B00G3BRC24,"I've been waiting for this ""final"" season (as far as I'm concerned).  ""Alice"" was an awesome ensemble show while Polly Holliday was a member.  The problem is, Linda Lavin certainly wasn't why people watched the show.  Polly Holliday is for whom ""Alice"" will be remembered, and this season is her last.  Diane Ladd is an extraordinary actress (no argument there), and even though she was the original ""Flo"" in ""Alice Doesn't Live Here Anymore,"" once Polly Holliday embodied the character, she was irreplaceable.

Others will certainly disagree, but for me (and many, many others), ""Alice"" started and ended with Flo, no matter how many seasons the show ran.  It was her chemistry with the cast that made it work for the majority.  I'm finished purchasing ""Alice"" now, and won't be getting any further releases.  Again, no disrespect to Diane Ladd or Celia Weston, but Polly, you were the best!",1383177600,8,892,4.939597315436242
6050659,5,B00G3BRC24,"The fourth season of ""ALICE"" found the gang at Mel's Diner enjoying their highest ratings ever as the show finished #4 among all programs on the air during the 1979-80 TV Season. This was also a year of big changes as the show loses it's most popular character when Polly Holliday's Flo exits for her own short-lived spinoff series. ""Flo's Farewell"" is a bittersweet episode that gives the sassy redhead a fitting sendoff and contains a touching scene that Holliday and Tayback play perfectly. With Flo gone, ""ALICE"" loses it's best character, but good writing and strong performances keep the show going strong for the next couple of seasons at least.

In what was likely seen by producers as a clever casting move, they brought in the original Flo from the 1974 film ""Alice Doesn't Live Here Anymore"" when Diane Ladd arrives as new character Belle Dupree, an ex-waitress of Mel's who returns from Mississippi with aspirations of becoming a famous country songwriter. Ladd appears in the season's final six episodes and some things about her character work and others don't. When Flo left, she took her famous catchphrase with her (""Kiss My Grits!"") and the writers try something for Belle, but instead of a simple three word phrase, they saddle her with the clunky ""My little voice calls me Isabelle"" which is thankfully dropped quickly after a few unsuccessful attempts to turn it into a running gag.

Despite the cast change, ""ALICE"" still delivers some great episodes this season. ""Vera the Vamp"" is one of the season's best and made a strong showing when WB polled fans back in 2006 for their picks to be included on the Fan Favorites disc. Also of note is the season-opener with guest star Telly Savalas containing a terrific scene in which Lavin serenades him on bended-knee imploring him to return to the diner to dissuade Vera from quitting. Mel's famous chili steals the show in THREE separate episodes this season. First, Mel fires Flo when he believes she gave his recipe to his biggest competitor. Later, Mel's invited to prepare his chili on Dinah Shore's TV show and finally tries to get Art Carney to endorse it as Chili con Carney. ""Good Buddy Flo"" features a hilarious and elaborate sight-gag as a jealous Flo crashes her two-timing trucker boyfriend's rig through the wall of Mel's diner.

Even if you aren't a fan of the Belle character, this one is a must-have being Flo's last hurrah on the series. Now that the character has exited ""ALICE"", hopefully her spinoff will be released by Warner Archive shortly since the episodes have already been available as digital download on Amazon for several years now.",1382659200,11,2629,4.850779510022272
6050660,5,B00G3BRC24,Now I can have all my FLO episodes. I love the truck episode and FLO drives into the dinner. Great episodes when Mel puts in a time clock and the girls go on strike. Carrie this season (Mel's mom) takes over in the dinner when Mel's back goes out. Watch Flo take over and make the biscuts. I also love seeing Art Carney and Dinah Shore in thise season. A must buy to complete the FLO years....,1382659200,10,393,4.116883116883117
6050681,5,B00G3BRC24,Excellent DVDS,1456704000,,14,6.5
6050682,5,B00G3BRC24,Awesome series of Alice. Grew up watching this series and I'm glad they made a DVD out of it.,1444176000,,93,3.9473684210526314
6050683,5,B00G3BRC24,Very favorite TV ever!!!!,1442361600,,25,5.5
6050684,5,B00G3BRC24,My son loves this program.  He has been collecting it as it comes out after looking for t for years.  Hooray for Amazon!,1441152000,,120,4.173913043478261
6050685,5,B00G3BRC24,Just as described. Thank you!,1434672000,,29,5.0
6050686,5,B00G3BRC24,it was funny,1433289600,,12,3.3333333333333335
6050687,5,B00G3BRC24,I love Alice and Love Flo. I hate to see her go but like Belle but not Jolene. So my collection is complete.,1432684800,,108,3.739130434782609
6050688,5,B00G3BRC24,"I love Alice and season 4 is Flo's last one before leaving to have her own spin off. Sorry to see Flo go, but happy that season 4 is available on DVD.",1432598400,,150,3.71875
6050689,5,B00G3BRC24,The DVD worked fine.,1430956800,,20,4.25
6050690,5,B00G3BRC24,Another Great Season Of Alice Enjoyed All The Episodes 5 Stars Gos Out For The Whole Main Cast Of Alice (Polly Holliday) (Beth Howland) (Vic Tayback)  (Philip McKeon) And (Diane Ladd) Thanks Guys For The Great Memory's & Loughs :) I Hope One Day Soon They Will Release The Rest Of The Series On DVD  But Who Knows When That Will Be :),1427500800,,334,4.285714285714286
6050701,3,B00G3BRC24,not my favorite season as flo left during this season they replayed some episodes from earlier seasons that were meant for season four,1423785600,,134,4.869565217391305
6050702,5,B00G3BRC24,Great to have on dvd,1422057600,,20,3.2
6050703,5,B00G3BRC24,Good season.  Miss Flo.,1421452800,,23,4.75
6050704,1,B00G3BRC24,Terrible DVD quality!  I understand it was ripped from VHS but this is really terrible.  A lot of red in the picture.  I checked my tv and the settings were fine.  The whole DVD set is like this.  Lets just say it watchable.,1420848000,3,224,4.116279069767442
6050705,5,B00G3BRC24,"I love the series and this one is just as good as the others.  Alice, Flo, Vera, Mel and Belle always brings a smile to my face.  They don't make comedy shows like this anymore.  I hope and pray for Season 5 to come out!!!  Can't wait.",1417651200,10,235,3.9361702127659575
6050706,5,B00G3BRC24,Got all of these to..Loved this show..,1416614400,,38,4.571428571428571
6050707,5,B00G3BRC24,"Season 4 is another great season, but unfortunately Flo's last as she leaves the diner for her own 1/2 hour show on CBS.  Her replacement Belle (played by Dianne Lad) is good, but definitely NOT the Flo we all know and love.  Belle appears for several of the last episodes of the season.  Special guest stars this season include Telly Savalis, Dina Shore and Martha Raye. Still another great season of Alice that will have you definitely ROFL :-)",1415577600,5,446,4.620253164556962
6050708,5,B00G3BRC24,Glory days of TV,1412812800,,16,3.25
6050709,5,B00G3BRC24,i grew up watching alice i also have the movie alice doesnt live here anymoreall great acters you got to love that bell,1409961600,,119,4.217391304347826
6050710,5,B00G3BRC24,"This show was on when I was a child. I didn't remember a whole about it and I didn't understand the humour.
Now as an adult I find myself laughing a lot.
The humour holds up!!!!!
It also makes me a little nostalgic.

The delivery of this product was quick and in perfect shape.
Perfect!",1409356800,2,286,4.2
6050721,5,B00G3BRC24,Awesome dvd I can't wait for season 5,1408060800,,37,3.75
6050722,5,B00G3BRC24,Great show !!,1406505600,,13,3.6666666666666665
6050723,1,B00G3BRC24,"The picture and audio is not good at all ..I have season 1 2 and 3 ..the picture and audio is good not going to say great but good and the shows were mush better written ..season 4 stinks and I am not mad about Flo leaving ..the person who took her place just did not have what Flo did,  even though she is prettier  ...not sure if it was the bad scripts for the reason, or was she just not right for the part  in season 4 ...well you got my review of season 4 ..I will be returning mine ..because it was a lot of money for a DVD to see people looking like they had yellow jaundice of the face and the color was bad also especially if they were wearing reds.",1405900800,3,658,3.859259259259259
6050724,5,B00G3BRC24,grest show,1405468800,,10,4.5
6050725,5,B00G3BRC24,Love this show.,1405468800,,15,4.333333333333333
6050726,5,B00G3BRC24,One of the best seasons there is. Flo leaves half way through the season and Belle comes and takes her place.,1405036800,,109,4.238095238095238
6050727,5,B00G3BRC24,Goodbye to Flo and Hello to Belle.  Diane Ladd took home an Emmy for her role on Alice as Belle.,1403827200,,96,3.8
6050728,2,B00G3BRC24,"Bought as a gift for some one and missed the deadline for a return.
disc # 2 is blank with an error message "" cannot be played""",1400716800,3,127,3.740740740740741
6050729,5,B00G3BRC24,"I grew up watching this on television every Sunday night. Having it on dvd,  i can watch everyday now. I laugh all the time its a nutty show. If you remember Henry the telephone repair man always got something spilled on him (hilarious).",1398124800,,237,4.511627906976744
6050730,5,B00G3BRC24,"This is a great show.........I'm amazed 4 seasons have been released so far. PLEASE keep them coming quickly :)

I think we will all agree that the first four season are probably the best..........but a lot of the later episodes are great too.",1395360000,5,243,4.651162790697675
6050741,5,B00G3BRC24,"Even without Flo, the show was good. I love Linda Lavin, Beth Howland, Vic Tayback, Philip McKeon, Polly Holiday, but Diane Ladd and Celia Weston were also fun to watch. This show was such a treat. The various guest stars and recurring characters mad this classic...well a classic. Please keep the rest of the seasons coming!!!",1393286400,7,327,4.857142857142857
6050742,5,B00G3BRC24,"Very interesting show.
I would recommend it to everyone.  It is a comedy and very intertaining.  I like Linda Lavin.  The other 3 Seasons were great also.",1392422400,,154,4.62962962962963
6050743,5,B00G3BRC24,Alice is one of the best comedies from the 70's and had some good writing and I hope they release the whole series and don't stop before the last season.,1388707200,,153,4.133333333333334
6050744,5,B00G3BRC24,"I love the series, and will miss Flo when she leaves the series. But it is still a great show, and I would recommend it to all my friends.",1388188800,,138,3.793103448275862
6050745,5,B00G3BRC24,This sitcom is so much fun to watch. One of the classics from the 1970's that has timeless episodes. The cast plays off of each other so well. One of my very favorite shows from childhood that I still enjoy today. This is a must own series for people that enjoy comedy that is geared for the whole family to see.,1387670400,,312,4.131147540983607
6050746,4,B00G3BRC24,loved this show beautiful transfer but like the other dvds there is no closed captioning so for those of us with hearing problems it will be less enjoyable,1387584000,2,155,4.571428571428571
6050747,5,B00G3BRC24,THIS COMMEDY SHOW IS REALLY GREAT.!!I I USE TO WATCH THIS SHOW DAILY BACK IN THE 1980'S. COMEDY SHOW WERE REALLY GREAT. THIS SHOW ALICE WILL KEEP YOU LAUGHING. THE PERSON THAT PLAY ALICE (LINDA LAVIN ) IS AN GREAT ACTOR. THE WHOLE INTIRE CAST IS REALLY GREAT. I SUGEST THAT YOU GET THIS SET OF COMEDY SHOW AND YOU WILL REALLY ENJOY IT.,1384128000,,335,4.25
