,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6136774,1,B00H7GBKYK,awful opening credits and music i hope this  gets better,1416441600,,56,4.6
6136775,4,B00H7GBKYK,Great movie. Shows us the struggle of relationships that don't work out and also teaches that love comes and goes.,1415318400,,114,4.75
6136776,3,B00H7GBKYK,IT'S DELIGHTFUL BUT COULD USE A GOOD MUSIC SCORE.,1414627200,,49,4.555555555555555
6136777,5,B00H7GBKYK,Yet another fine foreign film that was released in USA on a limited basis.,1414540800,,74,4.357142857142857
6136778,2,B00H7GBKYK,"Mostly (90%) in french despite what the trailer shows.
Also mostly mediocre in content. Of well, at least it isn't Transformers.",1413331200,,128,5.142857142857143
6136779,4,B00H7GBKYK,"If there's a Spanish equivalent to the films of Richard Linklater they would be Cedric Klapisch's 'Spanish Apartment' series- 2002's L'Auberge Espagnole and 2005's Russian Dolls. Equal parts charming and infuriatingly madcap, they nonetheless are impossible to resist because, darnit they are just so darn cute, earnest, and Euro in their explorations of hipster romance and professional aimlessness. Thankfully, Klapisch doesn't screw with the formula in the breezy and jazzy Chinese Puzzle, a fitting good-bye to the characters whose lives we've been following for years.

Or perhaps it's not so much a good-bye as a ""see you later""? Like Linklater's Before Sunrise trilogy, there's an enduring quality to the romantic entanglements of professional adolescent Xavier (Roman Duris), who has settled into his novelist career. His love life has only gotten more complicated as he approaches midlife crisis age, and Xavier continues to excel at making things worse despite well-meaning intentions. In an effort to stay a part of his kids' lives he up and moves from Paris to New York after his wife (the returning Kelly Reilly) relocates. Culture shock abounds but Xavier gets plenty of help from a few familiar faces. Klapisch has wisely paired down the overly large cast of the prior movies to focus on a small group of favorites, and one of those coming back is Xavier's lesbian best friend, Isabelle (Cecile de France). She's shacked up with a beautiful American (the gorgeous Sandrine Holt) and they desperately want Xavier to help them have a child. Things only get more difficult when Xavier's former flame Martine (Audrey Tautou, last seen with Duris in Mood Indigo) arrives in town with her kids and old passions are rekindled, although neither cares to admit it.

Most of the humor is basic fish-out-of-water stuff as Xavier deals with the high cost of living in the big city, encounters with unfamiliar ethnicities, and women of course. The ladies in Xavier's life, of which there are many, pull him in many different directions but we also see how screwed he would be without any of them. They make him a better man, and it's a pleasure to see a film that doesn't marginalize the female characters in the least. Between Xavier's novel, imaginary conversations with long dead German philosophers, and an impromptu marriage for American citizenship, there's a lot to contend with and Klapisch sometimes gets lost in the subplots. But even if Chinese Puzzle is a little bit messy it's pretty much what these moves were always meant to be and why many will be hoping Xavier's misadventures in love aren't over yet.",1412899200,4,2620,5.0625
6136780,5,B00H7GBKYK,I agree will this be available on dvd?,1410480000,2,38,3.875
6136781,5,B00H7GBKYK,"Really want to see this, however, is this also gonna be offered in the DVD or instant video SD or HD as well, or just bluray? I'm happy about that so, far considering you couldn't get it in region 1 before now...it was foreign...so, I guess this is a start!",1407456000,,257,4.16
6136782,4,B00H7GBKYK,"""Chinese Puzzle"" (2013 release from France; 117 min.; original title ""Casse-tte chinois"") brings the ongoing story of Xavier, now a 40 old father of 2 small kids, and his never-ending struggles with life in general, and women in particular. When we last saw Xavier, almost 10 years ago, he ended up happily in the arms of Wendy, the British woman he first met in Barcelona now almost 15 years ago. As ""Chinese Puzzle"" opens, we learn that Xavier is now in New York, trying to write a new novel about the complexities in life. Then in flashbacks we find out that a year earlier, he and his wife of 10 years (!) Wendy break up, in part because she met someone in New York, in part because he decides to donate sperm to a lesbian couple, of which Isabelle is a long-time friend. When Wendy announces that she is moving to New York and taking the kids with her, Xavier feels he has no choice but to also move to New York, so that he can remain close to his 2 kids. Will Wendy and Xavier find each other again in New York? What will happen to pregnant Isabelle? To tell you more would spoil your viewing experience, you'll just have to see for yourself how it all plays out.

Couple of comments: this is the third movie from writer-director Cdric Klapisch bringing us the chronicles of Xavier, following ""L'auberge espagnol"" (""The Spanish Apartment"") in 2002 and ""Les poupes russes"" (""Russian Dolls"") in 2005. The comparisons with the ""Before"" franchise starring Ethan Hawke and Julie Delpy are obvious. What surprised me (in the best possible way) is how, despite all of the commotion going on, Xavier remains level-headed (for most of the time). No bitterness about what unexpected turns life has in store for him (compare that to the growing bitterness of the Julie Delpy character in the ""Before"" franchise). The movie spends a fair amount of time focusing on the difficult adjustment to life in New York, where Xavier at first is a fish out of water (check out the hilarious scene when Xavier decides to hire a lawyer to represent him in his custody battle with Wendy). There are a couple of side  stories that really don't add much to the movie (Isabelle's affair with the Belgian babysitter being the chief one). Most importantly, though, is the winning performance from Romain Duris as Xavier. He simply oozes charm from start to finish and carries the movie on his shoulders. What resonates perhaps most for me in the movie is the tender look at Xavier's relationship with his 2 young children now that he is a divorced dad. Bottom line: this is a long overdue and welcome addition to the story of Xavier and the people around him, and I enjoyed this from start to finish. For those who have not seen the earlier movies: it is NOT ""required"" that you have seen the earlier movies, although it certainly adds to the enjoyment. For those who have seen the first two movies: ""Chinese Puzzle"" may be the most satisfying of the three, but I encourage you to check this out for yourself and draw your own conclusions.

""Chinese Puzzle"" opened recently at my local art-house theater here in Cincinnati and I couldn't wait to see it. The matinee performance where I saw this at was decently well attended but it wasn't packed or anywhere close to a sell-out (the movie left only after 1 week). No matter. ""Chinese Puzzle"" is a winning movie, and then some. If you are in the mood for something that is miles away from your standard Hollywood fare, you cannot go wrong with this. ""Chinese Puzzle"" is HIGHLY RECOMMENDED!",1403568000,8,3514,4.6192
6136783,4,B00H7GBKYK,Funny,1459123200,,5,5.0
