,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6546696,4,B00M1YSS7K,"Not sure why this didn't get more attention. Except for the brain scan scene (which I'll admit, was cringe-worthy), I thought this was a great little feel-good story. Simon Pegg is fantastic.",1423180800,3,191,5.0
6546697,5,B00M1YSS7K,"The world is divided into two kinds of people, those who know about this secret masterpiece of a film and those who don't.  It's a mystery how this movie didn't get an Academy Award nomination.  Masquerading as a comedy-drama, It's easily the most important film made in the last five years.  More like this please, Hollywood.  Glad I can finally get the DVD, but where's the hell is the Blu-Ray?!",1421712000,8,397,4.628571428571429
6546698,5,B00M1YSS7K,"Without a doubt, my favorite film of 2014. It will change the way you think about your life in a very positive way. Funny and very charming. Unique. This same director made two of my all time fave movies: Serendipity and Funny Bones. I cannot recommend this more highly! Loved it, AND so did everyone I know who saw it.",1421625600,16,319,4.333333333333333
6546699,4,B00M1YSS7K,"Watched this one with the hubby and he watched the whole movie with me. That is always a good sign since he is famous for leaving after 20 or 30 minutes.
A lot of the statements about happiness that were made in the movie made me consider my own life. Everyone searches for what they consider happiness to be. This film showed an adventurous and inspirational way to figure that out. That is also what makes the movie so good though. Not everyone has the luxury of taking off on a self-discovery trip around the world for who-knows-how-long. That sense of freedom, excitement, and adventure is what keeps the viewer entertained since it is so far out of a normal person's reach.
I haven't read the book it is based from, didn't even know there was one till seeing the film. Doubt I will read it now, but I wonder how much alike they are.
Lots of people are going to love this movie. Beware, you will get choked up a few times.",1421625600,17,926,4.358381502890174
6546700,4,B00M1YSS7K,"This film is better than expected as the advance information and trailer does not convey the depth of the acting of the lead character. He, the psychiatrist, is able to show a range of emotions in all types of situations and works hard to keep it honest. Possibly the girlfriend he leaves behind at home while he goes off on his adventure acts a little off the top but then she has to do a lot of it while talking on the phone or video conference.  The one bright moment she brings on is when she thinks he is dumping her and blurts it out.

The location scenery is a vibrant mix of China, Africa and even back yard with swimming pool Los Angeles. But best of all everyone involved exhibits energy and a love for a unique adventurous script without monsters or robots. But it does have enjoyable cartoon sequences reminiscent of James Thurber and Walter Mitty.

Bottom line- a nice change of pace movie where the viewing audience is not insulted or led astray.",1417996800,5,960,4.443181818181818
6546701,5,B00M1YSS7K,"A typical psychiatrist, this guy is always searching for happiness. What could have been a soppy, maudlin exercise in mediocrity, is instead an extremely well-acted comedy with more than its share of drama and excitement. Based on Francois Lelord's novel ""Le voyage d'Hector ou la recherche de bonheur,"" this R-rated comedy, co-written and directed by Peter Chelsom (Shall We Dance -2004), includes adventure in exotic places, e.g., China, Tibet, Africa and Los Angeles, plus domestic drama in London; so you'll get your money's worth.

Here is the cast:
  * Simon Pegg (""The World's End"") Hector wants to know what makes people happy around the world. He is pretty sure HE isn't, but wants to see what happiness looks like. We start with our hero in his well-ordered home and watch it all come apart.
  * Rosamund Pike (""Jack Reacher"") Clara very capably keeps the home fires burning. Isn't that enough to make him happy? Considering what she finds in the sock drawer, maybe not....
  * Stellan Skarsgrd (""Thor: The Dark World"") Edward says Hector is the last person on earth with whom he would want to spend any time. Watch his face as our clumsy hero takes a seat next to him in First Class!
  * Toni Collette (""Lucky Them"") Agnes conveys more with a glance than most actors with pages of dialogue. Yup! Hector is in for a session of TRUTH!
  * Jean Reno (""Alex Cross"") Diego tries to dismiss happiness...and our hero ...with prejudice. At least a psychiatrist understands pharmaceuticals.
  * Christopher Plummer (""Elsa and Fred"") Popular Professor Coreman TEACHES happiness! With wit, understanding and hi-tech tools.

The travel aspects of this film provide an authentic feel for various parts of the world, even though he stays in touch with that Tibetan monk via Skype! I also enjoyed it when Hector lost patience with his patients. BTW, the diary in which he records his journey is a delight.

There is not a weak actor in this roster, but Collette and Skarsgrd deserve special mention. I'd like to remind you that Pegg is versatile and talented, in case you have him typecast as ""just"" a comic. I always expect his characters to have a sweet center, and Hector delivers. I've pre-ordered my DVD from Amazon.",1417737600,22,2217,4.85904255319149
6546702,5,B00M1YSS7K,Thanks,1523491200,,6,6.0
6546703,5,B00M1YSS7K,"Unexpectedly brilliant, one of my top 20 all time favs!",1522713600,,55,4.6
6546704,3,B00M1YSS7K,dumb,1522108800,,4,4.0
6546705,5,B00M1YSS7K,One of my top 5 favorite films. Simon Pegg is such a great actor. A great film for anyone looking for their Ha-penis.,1520726400,,117,4.130434782608695
