,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6557620,4,B00M4LP84Q,"""A Most Wanted Man"" (2014 release; 121 min.) is the big screen adaptation of the John Le Carre novel of the same name. As the movie opens, we see some guy entering the port of Hamburg, Germany in a covert way. We later learn he is Issa, an alleged jihadist who has fled Chechnya, Russia for fear of prosecution. In a parallel story line, we get to know Gunther Bachmann (played by Philip Seymour Hoffman), who heads an anti-terror unit in the German security forces. Gunther and his colleague Erna (played by Nina Hoss) are quickly on the trail of Issa. Meanwhile, through mutual connections, Issa is put in touch with Annabel Richter (played by Rachel McAdams), a lawyer defending the causes of asylum seekers. To tell you more of the story would spoil your viewing experience of this plot-heavy movie, you'll just have to see for yourself how it all plays out.

Couple of comments: first, this is the latest movie from Dutch director Anton Corbijn, best known for his extensive visual design and video work for Depeche Mode and other bands. He also brought us ""Control"", the biopic about Joy Division's Ian Curtis. In this film, he stays more in the direction of his most recent film, ""The American"" (starring George Clooney). As you can expect, the visuals in ""A Most Wanted Man"" are given plenty of attention and detail. Hamburg (the city) is as much a character in the movie as are the key performers. Second, the movie itself works quite well. Compared to the previous John Le Carre adaptation for the big screen, 2011's disastrous ""Tinker Tailor Soldier Spy"", this movie is a masterpiece, albeit not without flaws. The movie keeps us guessing for much of the time as to what really is going on (primarily: is Issa ultimately a ""good"" guy or a ""bad"" guy?), and that keeps the tension of the movie up (in a good way). Third, this movie is, sadly, best known for being one of the very last on screen performances of Philip Seymour Hoffman. He does his usual great work, even with the funny faux German accent, but I have to say that he does not look well or at ease. The (literally) non-stop smoking during the entire movie surely does not help. There are quite a few other to take note of: Willem Dafoe as the (sleazy? good?) banker, Robin Wright as the American Embassy envoye, Rachel McAdams as the well-intended asylum lawyer, and last but certainly not least, Nina Hoss as Gunther's colleague. She is in my humble opinion one of Europe's top actresses of this generation, with such recent films as ""Barbara"", ""Yerichow"" and ""Yella"". Hoss brings a much needed spark to ""A Most Wanted Man"". Finally, there is a nice orchestral score for this movie, composed by German musician Herbert Gr&ouml;nemeyer.

The movie came out 3 weeks or so ago here in Cincinnati but for whatever reason I didn't get to see it until now. Imagine my surprise that the matinee screening where I saw this at this weekend was very well attended. Mostly an older audience I might add. I surmise that this being a John Le Carre adaptation plays a huge factor in people coming to check this movie out. Bottom line: ""A Most Wanted Man"" is a satisfactory spy-thriller with several stellar acting performances, in particular Philip Deymour Hoffman and Nina Hoss. ""A Most Wanted Man"" is definitely worth checking out, be it in the theater or on DVD/Bly-ray.",1407628800,4,3332,4.684300341296928
6557621,4,B00M4LP84Q,"A MOST WANTED MAN, (2014), is a current-day all-star thriller, set in dark, dense, gritty Hamburg, an ancient German port.  The approximately two hour film is based on the rather recent book of the same name by illustrious British spymeister John LeCarre, he of the long life and long prolific career.  The screenplay was written by Andrew Bovell; Anton Corbijn directed.  The picture tells the story of a young man, half-Russian, half-Chechen, who had been brutally tortured, and slips into Hamburg as a stowaway on a freighter from Turkey.  Once in Germany, he is taken in by its large Islamic community.

The illegal immigrant's arrival is noticed by German and American security agencies, whose interest in him deepens as he gets himself a blond German lawyer/social worker/do-gooder type, and lays claim to his late Russian father's huge ill-gotten fortune.

As is known by many, the movie stars the Oscar-winning Philip Seymour Hoffman, (CAPOTE), the mega-talented actor, in his last towering performance before his recent widely-mourned death. As Gunther Bachmann, obscure German functionary with tiny staff charged with preventing the next 9/11 attack by Islamic extremists, (which had been planned in Hamburg), Hoffman is in most scenes, and, with cigarette always in hand,  carries the picture seemingly effortlessly.  He receives top backing from the rest of the cast.  Grigorly Dobrygin plays Issa Karpov, the movie's tragic titular character.  Golden Globe winner Robin Wright, (THE PRINCESS BRIDE, FORREST GUMP) plays Martha Sullivan, Gunther's more powerful, better equipped American opposite.  The cute Rachel McAdams, (MEAN GIRLS, MIDNIGHT IN PARIS), plays Annabel Richter, Karpov's lawyer, in, to me, the film's only miscasting: she lacks the gravitas for the part, which, I think, needed a young Tilda Swinton.  Willem Dafoe (THE ENGLISH PATIENT) plays Tommy Brue, head of the bank his father founded, which has never been too particular about its depositors or their deposits.  In this typically for LeCarre, low-volume film, Gunther knows what he needs to do in this situation, knows what he needs to get the job done, and knows what he has available.  He must beg for men and materiel to do it.

The viewer gets to see a lot of Hamburg  in the film, and, believe me, it carries its weight with centuries-old muscle .  Officially the  Free and Hanseatic City of Hamburg, it is the second largest city in Germany. home to over 1.8 million people, while the Hamburg metropolitan region has more than 5 million inhabitants. On the river Elbe, out of the Baltic Sea, the port of Hamburg, now an affluent industrial/media powerhouse and transportation hub, is the second largest port in Europe (after  Rotterdam). Its official name reflects its history as a member of the medieval Hanseatic League, as a free imperial city of the Holy Roman Empire, and as a city-state, one of the 16 states of Germany; a sovereign state before Germany's1871 unification.

Hoffman turns in a powerful performance in a powerful movie.  A MOST WANTED MAN is an intelligent, dark contemporary tale of intrigue, love, rivalry, and politics.  It is cerebral, slow, no car crashes, gunplay, computer generations or blood, melancholy, and it can be confusing -- difficult to follow.  But it keeps up the tension right through to its last devastating scenes.  Be aware though, it does display the anti-American, anti-Israeli feelings that LeCarre apparently quietly holds in tune with much of the British upper crust, which have been displayed in much of his work.  But the author is a great story teller who knows his spy business, and his novel has here been brought to vivid, moving life.  I don't think you want to miss it.",1407628800,5,3718,5.104132231404959
6557622,4,B00M4LP84Q,"This is an excellent movie of its genre.

As I watched it, I drew comparisons with Martin Ritt's ""The Spy who came in from the Cold""- another superb adaptation of a Le Carre novel, featuring Richard Burton as a world weary spy.

The cast is uniformly excellent, delivering nuanced portrayals of complex characters. Philip Seymour Hoffman portrays the archetypal Le Carre spy masterfully. His performance stands comparison with that of Richard Burton in ""The Spy who came in from the Cold"".

Mr Corbijn's direction is restrained and effective in presenting a realistic picture of espionage. As a matter of interest, Mr Le Carre is an executive producer.

What is the story about? In post 9/11 Hamburg, a tight knit German counter terrorist organisation recruits spies and conducts covert surveillance in the fight against terrorism. Besides the challenge of performing their role, there's friction and rivalry  between the group and other counter terrorism authorities. It's a typical Le Carre tale- not everything is as it seems.  If you like the Le Carre style, you will enjoy this film; if not, you may find it a chore to watch.

Highly recommended for aficionados of Le Carre.",1406937600,2,1179,5.046391752577319
6557623,5,B00M4LP84Q,"Enter and Exit Philip Seymour Hoffman. Alas, this is the last film of the best actor of the last decade.

PSH is Gnter Bachmann, German anti terror spy with smoking, drinking, and weight problems.
On his job, in Hamburg, where 9-11 had been prepared. He is doing reasonably well. His team has found the whereabouts of a suspicious Chechen illegal. They have also made progress in their quest of discovering how a famous liberal Muslim intellectual, a Hamburg resident, manages to channel funds into terror networks...

Where Gnter Bachmann doesn't do so well is cooperation and coordination with other German law enforcement agencies. Even worse is alignment with CIA policies. Enough said.
Brilliant PSH in a typical low key, dark Le Carr story. The whole cast is outstanding., with some German stars in small roles.
Some reviewers have complained that the actors speak with artificial German accents. It is not really a big issue though.
An appropriate special effect: Robin Wright's CIA agent never learns how to pronounce Gnter Bachmann's name. That fits their level of mutual trust.
On the other hand, Dafoe, who plays a banker, should have tried harder to pronounce the name of Rachel McAdams' character Annabel Richter, a lawyer.
And in case that you wondered about my headline: yes, it is irony. Taken from the film. It is said twice, first by the CIA woman, later by Bachmann, shortly before the big betrayal.",1406851200,11,1418,4.9789029535864975
6557624,2,B00M4LP84Q,"Hollywood has never been more enamored with the tradecraft novels of John le Carr than they are right now, having gained in popularity in this post 9/11 society of ours. But for me, I've always had something of a love/hate relationship with his work. While the murky games of spies and dark government assets is one le Carre knows better than anybody, the realism of his writing doesn't always make for the greatest entertainment. Every now and then you wish a car would blow up or somebody would fire a rocket launcher or something. Much like the most recent le Carre adaptation, Tinker Tailor Soldier Spy, A Most Wanted Man is another pot boiler with a great cast and a story that emphasizes facts, figures, and mood while leaving character in the background.

Philip Seymour Hoffman brings a palpable weariness to the role of Gunther Bachmann, an espionage operative in Hamburg, a country trying to overcome its reputation as a hot bed of terrorist activity. Gunther is part of an organization so secret, so deep in the weeds nobody knows who they report to. They operate on their own, preventing any security threats in a way they see fit. Like many of le Carre's most popular protagonists, Gunther is a shrewd, calculating man who is smarter and tougher than his physical appearance would suggest. He's a man called on to make the hard decisions because he always does.

When a battered and starving half-Chechnyan, half-Russian man emerges out of nowhere seeking political asylum, it catches the attention of not only Gunther's agency, but the CIA (represented by Robin Wright) and other departments in Germany. Gunther's investigation into whether this man is truly who he says, or perhaps a terrorist in disguise, is undermined at every turn by those who claim to be on his side. The ways of spies are often like the mafia; it's your friend with the biggest smile who sticks in the knife. The situation becomes cloudier when a local banker and civil rights advocate (Rachel McAdams) gets involved, along with a shady money man (Willem Dafoe) who is hired to help the refugee gain access to a sizable inheritance.

The second international thriller by Anton Corbijn (he directed George Clooney in The American); the film gets off to a slow start and never gains any momentum. Not that a le Carre story ever aims for big sizzle, the lack of energy is especially burdensome since there is so little interest in developing any of these characters. By contrast, an excellent le Carre adaptation like The Constant Gardener has a central figure with a personal stake in finding a hidden truth. It's no less analytical than A Most Wanted Man or 'Tinker Tailor', but there's an attempt to tell a story, not just go over procedures. And it's a shame because Hoffman really is great as Gunther, a man carrying the weight of the world on his shoulders. The entire veteran cast, and yes that includes McAdams wielding a convincing German accent, fit into le Carre's world perfectly. Ultimately, A Most Wanted Man is too stiff and calculating to appeal to anybody but the most die-hard fan of the genre.",1406678400,8,3097,4.806754221388368
6557625,5,B00M4LP84Q,An outstanding movie. A shocker of an ending. A must see!,1406505600,,57,4.2727272727272725
6557626,5,B00M4LP84Q,"Under the cover of night, a Chechen man quietly enters Germany via the Hamburg port.  He soon becomes the subject of a manhunt and part of German spies' investigation into a wealthy Muslim's humanitarian activity; they believe, amidst many legitimate charities, he is financing Islamic radicals.  The aforementioned spies' leader is played by the late (and great) Philip Seymour Hoffman in his final lead role.  It is a riveting, though largely quiet performance consisting of cigarettes, sideways glances, and an authentic air of old-pro exhaustion.  This suspenseful spy drama is adapted from a novel by the celebrated John le Carr, the 82-year-old anti-Ian Fleming.  Audience members who know past le Carr adaptations, including The Spy Who Came in from the Cold and The Constant Gardener, will find neither the content nor the tone very surprising:  the film is a restrained portrait of espionage agents as grey-scale civil servants forced to weigh the complicated result of their twisted, often brutal actions and responses against the final result.

Here, the Hoffman character's vision of spying (quietly creating, even seducing, a system of informants and watching the streets closely) is compared and contrasted with the Western world's recent embrace of such brute-force and controversial practices as extraordinary rendition, in which a suspect is abducted and spirited abroad for questioning and torture.  American power is represented here by Robin Wright, extra icy.  In general, the film is defined by its parade of old-fashioned, but robust and welcome spy-game pleasures.  Nothing is a particular revelation, but the moral conundrums ring true, the urban spaces have a menacing atmosphere, and the tightly woven storyline draws viewers in early and holds them firmly until the final crosses and double-crosses.",1406332800,92,1827,5.446808510638298
6557627,3,B00M4LP84Q,"Slow moving, not much action, but good characters.",1521331200,,50,5.375
6557628,5,B00M4LP84Q,GREAT MOVIE!,1520035200,,12,5.5
6557629,4,B00M4LP84Q,Good book and I enjoyed the read,1519603200,,32,3.7142857142857144
