,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6597962,3,B00MP2FHNG,Probably a 4 star if you like churchy.,1419552000,2,38,3.875
6597963,3,B00MP2FHNG,The meaning if the movie is good but I was a little disappointed in the simple way the actors carried out the message.  It's a story about a wealthy family that suddenly is faced with tragic fatalities and how the living child reacts to their deaths by shutting everyone out that could bring him happiness.  The ending is good and very powerful and true as to what's important in this world.,1419292800,17,391,4.492957746478873
6597964,5,B00MP2FHNG,Great film with a touching story!,1419033600,,33,4.666666666666667
6597965,5,B00MP2FHNG,Cameron Stewart and Savannah McReynolds star in this terrific family movie with a positive message.  So refreshing to see a movie without murder and mayhem.,1418860800,,156,5.24
6597966,5,B00MP2FHNG,Beautiful family movie with an even more beautiful message,1418256000,2,58,5.555555555555555
6597967,5,B00MP2FHNG,Great family Christmas movie!!!,1418083200,7,31,7.0
6597968,5,B00MP2FHNG,A perfect family movie. Great message,1416528000,7,37,5.333333333333333
6597999,5,B00MP2FHNG,"Wife & I enjoyed this movie very much. Makes you think about your life's purpose, past and future.",1513382400,,98,4.5
6598000,5,B00MP2FHNG,Awesome Movie it Really Shows the Real  meaning of Christmas the Love Of Jesus Christ and the great Grace that he shows us ever-single day,1513036800,,138,4.52
6598001,5,B00MP2FHNG,I much more enjoy these types of Christmas movies that tell what Christmas is about. I wish there were more quality movies like this out there.,1512864000,,143,4.538461538461538
6598002,5,B00MP2FHNG,Loved this movie enough to date it. Such a sweet movie... LOVED IT!!!!,1512604800,,70,4.461538461538462
6598003,5,B00MP2FHNG,clean and sweet:),1512172800,,17,5.0
6598004,2,B00MP2FHNG,"Decent premise, but horrible acting.  This movie was beyond cheesy.  Not sure how it received such high ratings from lots of people.",1511222400,,132,4.954545454545454
6598005,1,B00MP2FHNG,"Reviewed by my 13-year-old son: Do not watch this movie. Although this movie is clearly ""Christian"", with multiple phrases about prayer and Christ coming to earth as a human, its theology is utterly skewed. (Spoilers) This is a Christmas Carolesque story in which the main character is visited by the ghost of his dead sister in a dream. Throughout the story, many drastic and dangerous theological mistakes are made, like that you must follow your dreams beyond anything else and that good deeds outweigh bad deeds. These misconceptions are presented as important, life-changing truths. In the end, the main character has a drastic change in his life that in a Christian movie you would expect to be repentance and belief in Christ; Actually, it is just that life is worth living and that you should be nice all the time instead of angry all the time. (End spoilers) This movie all around is a poor representation of Christianity and you should watch it with caution if you choose to watch it at all.",1511049600,5,1001,4.791907514450867
6598006,5,B00MP2FHNG,"We all get lost and need help finding our self. Here's hoping this is not just a movie but a story that we, if we haven't already, can say is about each of us.",1510876800,,159,3.7058823529411766
6598007,5,B00MP2FHNG,This movie is so precious. I loved it! It was so real. I cried more than I expected. :),1510876800,,87,3.6315789473684212
