,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6680363,5,B00NUNILZK,"I got this at a good price. It was in my saved shopping basket for quite some time. Yeah, already bought the first three seasons, but, with all the
special edition complete seasons still abundant, knowing SEASON FOUR, of six, is not due before February, I jumped into the double-dip pool.
I believe that the price I got this for---less than the $139 everyone keeps talking about---is a as good as I'll get it... until after seasons 4-6 are,
individually, released. Since I'll be 67 next year, this is just NOT a purchase that I can put off indefinately. Not only did I get a bargain with this, I
saved a BUNDLE on the 18-Blu-ray ""THAT '70s SHOW""... it, literally went up $50 the day after I bought it. I double-dipped there, too... I had the
24 DVDs, but couldn't resist the bargain. Anyone in Germany want my left-overs?
The economy AIN'T gettin' any better, and ""the wolf"" is at my door. I happen to love ""THAT '70s'"", and... '60s show TOO! Is it any wonder?! It
wouldn't hurt me to eat LESS, and watch more TV... better than EXERCISE!
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
BTW: This season three is one disc longer than the separate season issue. The FIFTH disc says ""Bonus Disc"".
___________________________________________________________________________________
It has been brought to my attention that this version, and, the 22-disc version have Closed  Captions, but,
alas[!] have NO Spanish language, nor, subtitles. I never said there was, and reviewers HAVE mentioned
it. The product description on this [26 DVD] version is incorrect, in THAT regard.
___________________________________________________________________________________",1446508800,16,1755,4.27027027027027
6680364,3,B00NUNILZK,You should put subtitles....my wife is deaf,1446422400,6,43,5.285714285714286
6680365,3,B00NUNILZK,"I love the series but I would have liked that these DVDs had at least some subtitles even just in English, I am not a native speaker and subtitles are always a big help. Though the series have cc (closed captions)  then you have to forget any HDMI upscaling or even a component connection.  My dream is that someday The Wonder Years become available in Bluray with Spanish audio and subtitles, meanwhile I will enjoy it on these DVDs which are not different to my recordings of the series except for the extras",1444780800,24,510,4.473118279569892
6680366,5,B00NUNILZK,"WHANT WHONDRFIL A SHOW THE WONDER YEARS: COMPLETE SERIES... I RELLY LOVE THAT SHOW LIKE POKER AND MORE SHOWS MY BEST SHOW IS POKER BECAUSE IT IS SO FUNNY SHOW THAT IS THE AND MORE FUNNY SHOWS STOMETIMES IT SAD AND SOMETMES IT FUNNY SHOWS AND PLEACE PRUSHED THIS $119.99 AND SAVE JOE D ODELL.JR AND PURSHED THIS Odelljoe977@yahoo.com IN TELL SAVE FOR $119.99 BECAUSE THAT IS MY FAVERET SHOW  SINCE I WAS JUST A KID AND IT HAS BEEN ALWAYS BEEN MY BEST SHOW SINCE I WAS A KID
THANKS GUY'S VERY MUCH FOR PURSHNED IT 5 STARS FOR ME AND PURSHNED IT IN STOCK FOR SHUER STRATING BY FRED SAVAGE
AND IT IS A PRFRECT SHOW ATAY IN STOCK AND STAY IN 5 STARS WHANT A COOL SHOW Odelljoe977@yahoo.com JOE D ODELL DONE
A+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++",1444694400,,818,5.014705882352941
6680367,4,B00NUNILZK,nan,1444176000,13,3,3.0
6680368,5,B00NUNILZK,"great show,overpriced dvds",1444089600,,26,8.0
6680369,5,B00NUNILZK,"I would be interested in seeing a more detailed picture of what this set will look like and how the discs are housed. Looking at this picture, it looks like the already issued locker version. Is this the ""shelf friendly"" 26 disc set for $139.00 that everyone is talking about that came out on October 6th?  Please tell us about what you have received for.$139.00.",1443744000,2,363,4.584615384615384
6680370,1,B00NUNILZK,There is not spanish language as indicated in the product description.,1516233600,5,70,5.454545454545454
6680371,2,B00NUNILZK,"Incredibly dissapointed by the lack of subtitles. I bought this collection to watch with my girlfriend who not only does not speak English fluently, but is also slightly deaf. I wanted to share this series from my childhood with the person I love, and it is now near impossible to do so. You would think that a $250 collection would have subtitles of some sort.",1515801600,,361,4.569230769230769
6680372,5,B00NUNILZK,We love it!,1514851200,,11,3.0
6680373,4,B00NUNILZK,Bought as a gift. The set was in perfect condition.,1503532800,,51,4.2
6680374,3,B00NUNILZK,"The show is a 10/5 stars, no doubt!  But this packaging is disappointing.  Each time you remove a DVD from the beautiful but troubling cardboard folders it leaves micro=scratches on the DVDs.  Look at them under a lamp so you can see the surface clearly, they are there right where the disc slid across the folder as you pulled it out.  What you have to do is remove the DVDs as carefully as possible and never put them back in the folders again.  Mine are in paper folders for now.

The episodes themselves could look and sound better.  This show is worthy of restoration.  But with that said, they did a marvelous job of getting this ""impossible to release"" show out.  I know I'm not the only one who has overwhelming nostalgia for The Wonder Years.  And it couldn't be better seeing this show again with most of the original music after all these years of waiting.  Every time a song appears in an episode it just leaves me elated.",1500681600,,934,4.435294117647059
6680375,4,B00NUNILZK,"The least one can do before publicly criticizing something is to take the time to research the issue at hand. First of all, the picture quality doesn't represent the current quality standards do to the fact that it was made in an age with different (lesser) standards. If my information is correct, the series was shot on 16mm film but mastered in VHS. This means that the final edits and the actual master of the show is in the VHS format. You can't improve on the original just because you put it on a newer (better quality) format. Those demanding Blu-ray versions of the series would also do well to keep this in mind. The only improvements that a Blu-ray release might create is a slightly less compressed image (and this would hardly be worth the price of an upgrade). If a VHS image isn't improved just by putting it on a DVD disc, it is ridiculous to expect any improvement from a Blu-ray release. Time Life has done a great job reproducing the original broadcast quality of these episodes and have gone to all kinds of trouble to make sure fans see these episodes with their original music in tact. The ONLY thing to complain about regarding their packaging concerns the DVD folder-style design that doesn't really offer much protection and might very well scratch the disc. Some slight modifications should have been made so that the discs could be held in a proper tray. I really dislike this new ""folder"" trend so common with recent boxed sets.",1500508800,,1456,4.625482625482626
6680376,5,B00NUNILZK,"Loved it, the locker was a little bent but other then that it's was great! The Wonder Years is the best show!",1498176000,,109,4.0
6680377,5,B00NUNILZK,"Arguably the best written half-hour television show in history, and certainly one of the best of the 80s/90s.  Many in the world have been waiting for music clearances to be secured, and thanks to Time-Warner, purveyors of the Time-Life Music History series, the whole Emmy Award-winning Wonder Years canon is now available. All six seasons, with bonus interviews and featurettes at the end of every season, and four additional discs of interviews and reminiscences by the cast, writers, directors, producers, creators, and key grip.  It's almost too much.

On a trivial note, a few of the opening credit scenes feature a different country singer performing Joe Cocker's arrangement of the Beatles' ""With A Little Help From My Friends"".  It's interesting, but not a major drawback.",1496966400,3,781,5.224
6680378,5,B00NUNILZK,"This is the best show to ever air on American television.  Very nostalgic.

Two complaints:

1.  The DVDs are too tight in the binder and difficult to remove

2.  The episodes I've watched so far have a music change from the originals - Riders on the Storm and Lightt My Fire, both Doors' songs, have been replaced with similar sounding, but very different, music.",1492905600,2,364,4.609375
6680379,5,B00NUNILZK,good,1491264000,,4,4.0
6680380,5,B00NUNILZK,This is how it was when I went to school - a bygone era.,1491177600,,56,3.0714285714285716
6680381,5,B00NUNILZK,Very nice set of DVDs,1489017600,,21,3.4
6680382,5,B00NUNILZK,Finally the original is out.  Love this series.,1488153600,,47,4.875
6680383,5,B00NUNILZK,Nice package and the best tv series.,1487030400,,36,4.285714285714286
6680384,5,B00NUNILZK,My nephew loved it!  Nice packaging,1485734400,,35,4.833333333333333
6680385,5,B00NUNILZK,"The Wonder Years is one of my favorite shows as a kid.  I read the scripts a lot, I always have more fun playing the voiceover of Kevin Arnold.  The show inspired Everybody Hates Chris, How I Met your Mother and The Goldbergs.",1484784000,,226,4.232558139534884
6680386,5,B00NUNILZK,Takes me back in time. :-),1483747200,,26,3.5
6680387,2,B00NUNILZK,Seemed used,1482969600,,11,5.0
6680388,5,B00NUNILZK,They came in excellent condition.,1482364800,,33,5.8
6680389,5,B00NUNILZK,At long last I finally got the complete series its one of the best shows I remember growing up its too bad some shows can't be like this one its truly one of a kind I have been a fan of The wonder years since I can remember so get it if your a fan,1480550400,,247,3.5090909090909093
6680390,5,B00NUNILZK,"Bought as a gift for my daughter.  She loves them.  Great ordering, great price, fast delivery!!!",1479772800,,97,5.0
6680391,5,B00NUNILZK,Just what I wanted!!!,1478908800,,21,4.5
6680392,5,B00NUNILZK,"I have been a fan of The Wonder Years since it first came out.  I tried to never miss an episode.  When I found out the series was being offered at a reasonable rate, I couldn't resist.  The DVD's are fantastic, and I'm enjoying going back in time remembering the 60's and 70's.  Of course, the music is fantastic!",1478476800,,314,4.271186440677966
6680393,5,B00NUNILZK,"I loved the series as a kid and I still love it as an adult, I had to wait for a long time to have it, but it has been everything I remembered",1477180800,,142,3.3333333333333335
6680394,1,B00NUNILZK,The description said the product had Spanish subtitle and Language. IT DID NOT.,1475798400,9,79,5.153846153846154
6680395,5,B00NUNILZK,Great!!!!!!!!!,1475107200,,14,14.0
6680396,1,B00NUNILZK,Too bad we did not come in Spanish as indicated in the WEB,1473033600,5,58,3.5384615384615383
6680397,1,B00NUNILZK,"We bought the set to watch it together with my parents, who are visiting, and only speak Spanish. We specifically bought the product because it lists in the details that it contains Spanish audio and Spanish subtitles. We played several of the DVDs, and we were surprised that none of them had Spanish audio nor subtitles so we couldn't watch them. Seller misrepresented the product by listing incorrect details.",1472947200,12,412,4.9855072463768115
6680398,2,B00NUNILZK,Broken box,1472774400,,10,4.5
6680399,5,B00NUNILZK,They are great,1472688000,,14,4.0
6680400,5,B00NUNILZK,What a great series! My wife and I just finished watching the third season and can't wait to get to the final three years of this exemplary show.,1470096000,,145,4.214285714285714
6680401,5,B00NUNILZK,It was great to relive the series that was one of my all time favorite shows.  A must for everybody that lived during that time.,1469923200,,128,4.12
6680402,5,B00NUNILZK,This is an awesome TV series.  My kids love it!,1469664000,,47,3.7
6680403,5,B00NUNILZK,"Excellent quality video, all of the episodes of all 7 seasons. Really brings back the memories of this wonderful series.",1468627200,,120,5.05
6680404,5,B00NUNILZK,I bought this for my cousin..He loves it!! Alot of extras.. Definitely worth the money!!,1468454400,,88,4.933333333333334
6680405,5,B00NUNILZK,awesome,1467072000,,7,7.0
6680406,5,B00NUNILZK,This is an amazing collectors item.,1466985600,,35,5.0
6680407,5,B00NUNILZK,Best birthday present ever...watched with my family as a child and now my children love it as well...perfect ..a must have .,1464825600,,124,4.681818181818182
6680408,5,B00NUNILZK,This was a present for a friend and it came exactly as advertised.  Great condition and exactly what we wanted.,1464739200,,111,4.55
6680409,1,B00NUNILZK,well this is the third time I buy something from you guys never had a problem until now the box was rip not cool the reason why I brought this is because I love the wonder years everything is OK watching it now but not happy about the box being broken I guess am gonna have to glue it,1464480000,10,284,3.830508474576271
6680410,5,B00NUNILZK,Takes my brother back.  He really enjoyed the series.,1464220800,,53,4.888888888888889
6680411,1,B00NUNILZK,Does this come with the red yearbook too?,1464134400,14,41,4.25
6680412,5,B00NUNILZK,"Love the series, this is the best set to get, I recommend it to any fan.",1464048000,,72,3.5625
6680413,1,B00NUNILZK,Didn't mean to rate it as one star but FIVE stars! Love the show and have enjoyed the extras.,1463184000,,93,3.9473684210526314
6680414,5,B00NUNILZK,I've waited years to see this series again,1462838400,,42,4.375
6680415,1,B00NUNILZK,"Best TV show ever. However, the locker box that holds the DVD's was busted through on almost all sides. The DVDs and booklets fell straight out of the bottom once I took the cellophane off. I am questioning if this was a used copy that was re-shrink wrapped.",1462060800,3,258,4.395833333333333
6680416,5,B00NUNILZK,"It's a completely amazing coming-of-age TV show. I loved it in the 80s, I love it now.",1461888000,,86,4.117647058823529
6680417,5,B00NUNILZK,Mine also sat in my shopping cart for quite some time and I can't wait for it to arrive a big part of my growing up teenage years and I'm excited to relive,1459555200,,155,3.727272727272727
6680418,5,B00NUNILZK,Very good.,1458518400,,10,4.5
6680419,5,B00NUNILZK,Awesome,1458000000,,7,7.0
6680420,5,B00NUNILZK,"Timeless.
Well worth the price!",1457913600,,31,5.4
6680421,5,B00NUNILZK,Still enjoy it as much as we use to.,1457049600,,36,3.111111111111111
6680422,5,B00NUNILZK,"wonderful series, well done",1456704000,,27,6.0
6680423,5,B00NUNILZK,Great,1455926400,,5,5.0
6680424,5,B00NUNILZK,"Wonder Years is one of our all time favorite shows, so we love having the series.",1455580800,,81,4.125
6680425,5,B00NUNILZK,Wonderful,1454457600,,9,9.0
6680426,5,B00NUNILZK,One of our most favorite series growing up. My husband is very impressed with everything about it. Well worth the money! :),1453593600,,123,4.636363636363637
6680427,5,B00NUNILZK,I love this series  have watched it 2 times since it arrived I love Kevin and Winnie,1453248000,,84,3.9411764705882355
6680428,5,B00NUNILZK,"It was a long time coming, but this set was completely worth the wait. The series was quite simply one of the best ever put on television. There are gobs and gobs of extras, and the vast majority of the original music so instrumental to the show's success is included. I can't recommend this series highly enough.",1453161600,5,313,4.508771929824562
6680429,2,B00NUNILZK,"I like everyone else have been waiting for this series for years.
I cannot believe how bad the picture quality is.",1452729600,6,114,4.476190476190476
6680430,5,B00NUNILZK,If anyone's ever seen this show they don't need a review.  I love it.  It brings back the easier times in life and is very funny.,1452729600,,129,3.923076923076923
6680431,5,B00NUNILZK,Christmas gift for son.,1452643200,,23,5.0
6680432,5,B00NUNILZK,"The wait is over! The Complete Series of The Wonder Years has finally come to DVD. The original music is in every episode including the phenomenal theme song by Joe Cocker. The DVD's come in cardboard Yearbooks & the set is an actual Wonder Years locker which is seriously the cutest thing ever. The box set also comes with amazing accessories like a soundtrack, t-shirt, pins, yearbooks & more. The bonus features are exceptional as we see brand new interviews from the cast & crew & how the idea of the show came from idea to screen. This is a must own & it's worth every penny. If you're a fan of the show I encourage you to buy this & save your time & energy on watching the show on Netflix because the music isn't the same & the music is a major character on the show. Enjoy!!",1451779200,10,781,4.248322147651007
6680433,5,B00NUNILZK,Great.,1451520000,,6,6.0
6680434,5,B00NUNILZK,So excited this was finally avail.!,1451260800,,35,5.0
6680435,5,B00NUNILZK,"Absolutely love this!!!!! Was waiting YEARS for this to come out, and was ecstatic when it was available. Love the box set look, and quality of the DVDs. Couldn't ask for anything better. Bought for myself for Christmas, and can't wait for the Wonder Years marathon this weekend!!! Arrived incredibly fast.",1450915200,2,306,5.019607843137255
6680436,5,B00NUNILZK,"Could u plz guide me , let me know is this the complete episodes",1449014400,,64,3.642857142857143
6680437,3,B00NUNILZK,"I was not only glad to see the Wonder Years finally released on DVD, but I was glad to see that it is now available in a ""shelf-friendly"" cardboard slipcase, AND at a more reasonable price than previous incarnations, AND that most of the original music is intact!

I had to knock off two stars for the way that the actual DVDs are packaged though. I have no gripes with the cardboard slipcase- that is what I wanted- as opposed to the metal locker or plastic slipcase versions- but the problem is, that the actual DVDs are housed in mere cardboard sleeves, which are bound into 2 ""notebook-style"" volumes (And I believe that this is the case even with the metal locker and plastic slipcase versions.

I mean seriously, these sets are noit exactly bargain-priced- and I would have hoped that the DVDs would have at least been housed in normal plastic, hubbed holders- but instead, they are wedged TIGHTLY into double-sided cardboard pages. They are quite cumbersome to remove and get back in- and because of the tight fit, and heavy amou8nt of friction created by the whole DVD being in contact with the cardboard, and needing to be slid in and out, it will not be long until the discs are scratched and worn just from taking them in and out of the cheesy packaging. I would surmise that the manufacturer doe this on purpose to ensure that there will be few sets available for sale on the used market- because they will all be scratched and scuffed in short order.

My one other grip-e is that there is a lot repetition in the extras. Don't get me wrong- there are some great extras- the interviews and discussions with cast and crew are thoroughly enjoyable- but many segments of the longer interviews are recycled and used multiple times in various features.

But hey, it's great to finally see this series on DVD! I certainly don't want to discourage anyone from buying it- I just want them to be aware of the issues I mentioned- and perhaps in the future, at least the packaging can be improved.

As for the show itself: I had enjoyed this show watching some episodes many years ago when I used to watch TV- so naturally I was very happy to see it finally released on DVD. Being a child of the 60's/70's myself, I just loved the nostalgia; the references to real-world events of the period; and of course, the MUSIC!

But watching this series in order on DVD, made me soon come to the realization that this is essentially a love story about 2 twelve year-olds! Kevin and Winnie's relationship is just too over-emphasized. Now, every time i hear Smokey Robinson singing ""Oooo Baby, Baby"" I picture romantic scenes between these two 12 year-olds, and it totally creeps me out! It just isn't right! I like the nostalgia, but i really don't care to follow the relationship details of adolescents/teens! I mean, sheesh! It seems everything spewing from the mainstream media is obsessed with sex and romance. Pretty sad when they even have to infuse a show about adolescents with that obsession. I mean, what's next? Will Spongebob Squarepants be ""getting it on"" with a clam?

IMO, this is a show that works the first time around, when it's new to you and you are taking it all in, and enjoying the nostalgia- but it does not withstand the scrutiny of repeated viewings, wherein the nostalgic aspects become familiar and fade, and all that is left is a love story involving 12 year-olds. Eeeeesh!

Ultimately, I sold my Wonder Years DVD set after going through it once. No regrets. Once was enough. And I can no longer listen to ""Oooo Baby, Baby"" :( ......",1448496000,18,3553,4.610759493670886
6680438,5,B00NUNILZK,"Yes, it just came today!  I was REALLY down and out; I thus watched two of these episodes in tandem (""White Lies"", and ""Wayne & Bonnie""), and they are PERFECT -- just what the Doctor ordered!  Now, I obviously can't yet say that I've sampled it fairly (as talked about in Statistics classes); but judging by this small sample size, the entire collection shows great promise.  Thank you so much, Amazon, for such speedy service!  o:-)",1448150400,4,433,4.657894736842105
6680439,5,B00NUNILZK,Great,1448064000,,5,5.0
8680303,3,B00NUNILZK,This is a good series but it seemed like a middle finger to the fans when Kevin and Winnie did not end up together.,1531872000,,115,3.8333333333333335
8680304,5,B00NUNILZK,"so fantastic, fast trans",1528416000,,24,5.25
8680305,1,B00NUNILZK,"It did't arrive, I'm in doubt if itis coming or not.",1528156800,,52,3.8181818181818183
8680306,5,B00NUNILZK,Good,1527292800,,4,4.0
8680307,5,B00NUNILZK,Loved it!,1523491200,,9,4.0
8680308,4,B00NUNILZK,My husband was ecstatic when I bought this for him. My only complaint is that there are no subtitles.,1522800000,,101,4.368421052631579
8680309,4,B00NUNILZK,I was 100% sure I was going to buy this since the day I heard about it finally coming out. Shop around & compare the different options that are on the market. The price bounces around quiet a bit & what you all get varies from basic disks to many extra bells & whistles. Overall its very well done & priceless in my mind. I do think however for the price you pay the book disk holders should be a better quality than cardboard. As far as the bonus features go some of it is interesting & worthwhile however much of it just drags on & on & repeats itself over & over. Bottom line if you love the show as much as I do this is a must have.,1522108800,2,636,3.9
