,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6750797,1,B00OHLR6KU,"Save your money. Seriously. The acting is atrocious, and the writing was worse than sophomoric. I doubt humorous writing could've saved this bomb.",1423180800,,146,5.391304347826087
6750798,3,B00OHLR6KU,"This film is the sequel to Asylum's ""Hansel and Gretel"" although unless you saw the first one, you wouldn't know it and will be totally confused by the film as ""the witch"" is long dead. That was the film with Dee Wallace and the meat pies. Brent Lydic has returned to play Hansel. Stephanie Greco had to wash her hair so didn't return for Gretel which is now wonderfully played by Lili Baross who gives us a fine ""B"" actress performance.

It seems the witch was part of a larger coven and Hansel has been traveling the past year killing witches. He has ""seen things that would turn your sh@# white."" Meanwhile Gretel has taken over the shop and still makes the human meat pies, which for some reason is a major disconnect for Hansel.

Hansel reads where a friend has gone missing in his home town and goes back to investigate. His sister joins in as well as another young couple and a witch's coven shows up. The title, which is a plot spoiler for the first 30 minutes, when Gretel goes rogue and we never know what side she is on from scene to scene. The end scene brings out our suspicions about Gretel but then tosses some stuff in that really didn't fit in with the rest of the stuff that didn't fit in.

Guide: F-bomb. No sex or nudity. 3 Asylum stars",1422748800,4,1256,4.313559322033898
6750799,1,B00OHLR6KU,"Do not, I repeat, DO NOT get this or any other movie that is coming from this studio ""the Asylum"" studio. The worst, even worse than the SciFy movies, yep, WORSE. Bad acting, bad effects, bad direction BAD, let me repeat that...BAD. if you see the name Dylan Vox associated with anything...run in a different direction. I won't even talk about any of the ""actors"". They did this to themselves.",1422576000,,393,4.628571428571429
6750800,1,B00OHLR6KU,Didn't like at all.,1463011200,,19,4.0
6750801,2,B00OHLR6KU,b movie,1462752000,,7,3.0
6750802,1,B00OHLR6KU,wasn't good enough,1462665600,,18,5.333333333333333
6750803,5,B00OHLR6KU,I enjoyed the movie.,1461801600,,20,4.25
6750804,1,B00OHLR6KU,Stupid.,1461715200,,7,7.0
6750805,1,B00OHLR6KU,Horrible acting and dialog. Worse than campy.,1461715200,,45,5.571428571428571
6750806,1,B00OHLR6KU,Not my style.,1461628800,,13,3.6666666666666665
