,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
6815216,5,B00PKPGLOY,"I feared I would  never find any series  close to as good  as Doc Martin or Downton Abbey.
 THIS ONE BEATS THEM",1419897600,6,111,3.909090909090909
6815217,5,B00PKPGLOY,"This is by far one of the best TV series to come out in a long time. This period drama takes place in 1953 (post-war) Australia where scars and wounds are still vividly fresh in everyones minds but are not discussed. The story about the Bligh family is compelling but what truly marks this series as special is the interaction of the actors who are all equally superb in their roles. We actually viewed Season 1 on Acorn tv in the US and saw Season 2 it in the UK at some crazy afternoon time slot but it was well worth viewing. Two more series are commissioned which my husband and I eagerly anticipate, wish we had more of these types of series in the US...the Australians are producing several good series another not to miss is Dr. Blake.",1419465600,17,742,4.345323741007194
6815218,5,B00PKPGLOY,"This is one of the best series to come out of Australia in many years. The attention to details is remarkable. Channel 7 who produce it saw fit to cancel it halfway through season two and there was such an outcry that Fox picked it up for two more season. When you watch season two you can see how they tried to wrap most of the threads up but there were still unanswered question. Watch for Noni Hazelhurst, as the matriarch of the clan. She is so amazing that you hate her and admire her all at the same time. Stellar performances from all involved.",1419033600,42,551,4.257142857142857
6815219,5,B00PKPGLOY,"This is incredibly good. The acting, characters, complexity of motivations, personal histories, and global issues of the day all conspire to make for great drama. That said, if you are looking for fast-action, quick camera cuts, or loud soundtracks, this is not for you.

I found it mesmerizing.

The Australian accents are easy to understand.

Now might be a great time to check out Acorn TV. I pay $5 for their streaming service and it offers up some of the best quality fare available.",1418515200,36,488,4.785714285714286
6815220,5,B00PKPGLOY,"This show is awesome!  It's streaming on Acorn. I watched the whole thing in a few days.  It's a very interesting story with very believable acting.  It's also beautifully filmed with great period music and really draws you in.  Story is about a nurse who goes back to Australia after being in Europe for 20 years, through the Spanish Civil War and WWII. She is working on the ship she's returning on and meets up with this wealthy Australian family on their way back from England fresh with Grandmother, who is the most manipulative person you ever met.  Then comes her son, whose wife has died prior and his two children, one a young man with his new  English bride and his sister.  That's as much as I can say without giving away stuff.  Then there are the people you meet back on land.  The year is 1953.  The story is warm and not at all what I would have expected on any level. Life is very different. There's secrets within secrets.  Every episode is a cliffhanger, so you're on to he next one before you know what's happening.  Just like a good book. Save this one for a nice rainy or snowy weekend when you can curl up with a nice bowl of soup and work your way through it.  You won't be sorry.  Can't wait for Season 2.  I understand it premiere's in Australia this year.",1418083200,107,1281,4.323529411764706
6815221,5,B00PKPGLOY,"I love this show! I watched the first thirteen episodes in two days.

It is very well written and acted. I love the fact that te main characters are not streotypes and that the main characters are not twentysomething.",1417910400,25,217,4.564102564102564
6815222,5,B00PKPGLOY,I saw this on a network that I stream.  The first season is fantastic!!!!  It has believable characters and very interesting stories.  It focuses on post-war Australia and the effects of World War II.  I have thoroughly enjoyed the first season and hate that I have to wait 3 months for Season 2.  This beats any American soap opera!,1417651200,65,333,4.576271186440678
6815223,5,B00PKPGLOY,Friends suggested it; its FABULOUS.,1530403200,,35,6.2
6815224,5,B00PKPGLOY,Must see TV from down under!,1530403200,,28,3.8333333333333335
6815225,1,B00PKPGLOY,"I got to where I couldn't watch anymore.  I understand the concept of DRAMA but this program was nonstop MEAN people being mean to each other, people they were supposed to love, and for no rational reason except that they didn't like who the person was falling in love with -- Elizabeth and Regina being the main mean ones but not the only ones.  God, it was neverending meanness.  Life is too short to have to watch more people being cruel to each other.",1529625600,,455,4.392857142857143
6815226,5,B00PKPGLOY,"Wonderful story. Both romance, intrigue and a good understanding of real emotion are presented  in this saga of an Australian family. i can hardly wait to view each new season.",1529020800,,176,4.866666666666666
6815227,2,B00PKPGLOY,Characters are not very relatable or believable.,1528675200,,48,6.0
6815228,5,B00PKPGLOY,Love it. They need to do more.,1528243200,,30,3.4285714285714284
