,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
7283150,5,B00ZJYVK5G,"I think that 3 of these 4 Hammer Films are Classics, and I'm very happy to see them on Blu-ray.
I hope for more of the Classic Hammer library (from all the studios who have USA rights to them!).

I've made my comments on the individual sites for each film:
""The Mummy"" 1959
""Dracula Has Risen From the Grave"" 1968
""Frankenstein Must Be Destroyed"" 1969
""Taste the Blood of Dracula"" 1970
Unfortunately, the 4 discs are not in proper order in the slipcase box containing the films,
and the uninitiated might watch the two Dracula films in reverse order which would lead to some
confusion (which I will not explain as I don't want to spoil anything for the first time viewer).

Hopefully, next year, Warner will release new and improved HD Blu-rays for ""The Curse of Frankenstein"" and
""Horror of Dracula.""

I will say that the box-set here is crammed too tight. I would suggest that once you
remove the booklet that contains the 4 discs that you never put the booklet back into the slip-case
(both for convenience and for the potential damage that such tight packaging can do to the discs.).",1438214400,3,1087,4.592783505154639
7283151,2,B00ZJYVK5G,This is way over priced. A better collection can be found with more movies for around the same price.,1437868800,6,101,4.368421052631579
7283152,5,B00ZJYVK5G,"This set includes 4 of the 6 movies that was in the HAMMER HORROR CLASSICS COLLECTION 6-DVD Set 2004! Christopher Lee, Peter Cushing! that included THE CURSE OF FRANKENSTEIN, DRACULA HAS RISEN FROM THE GRAVE, FRANKENSTEIN MUST BE DESTROYED, HORROR OF DRACULA, THE MUMMY, and TASTE THE BLOOD OF DRACULA. The picture shows 4 bluray disc in the set even though in the amazon description it says 1 disc, I think by mistake. Id like to see whats in volume 2 and when it will be released.",1436572800,6,482,4.551724137931035
7283153,5,B00ZJYVK5G,"Excellent collection of Hammer horror films on Blu-ray. Anxiously looking forward to watching these films in HD, as well as the subsequent collections.",1436054400,3,151,5.608695652173913
7283154,4,B00ZJYVK5G,Only one disc?? $49 list price??!!.. This should be a $24.95 list price. These titles are probably NOT remastered for Blu ray and simply up converted from the DVD masters. As compression will allow this many films to be stored appropriately on a single Blu ray disc.. This production cost savings should be passed along to the consumer with a respectable list price. 4 stars for the collection. 1 star for the list price.-Silly.,1435968000,4,428,4.797297297297297
7283155,3,B00ZJYVK5G,"No rhyme or reason to the four Hammer selections. A total headache for the collection logic - Different monsters, eras, directors, HOW and WHO decided this was brilliant? PLEASE JUST RELEASE THE FILMS BY SERIES, IN CHRONOLOGICAL ORDER, or is that the PLAN? Get us to buy the set yet again?",1435968000,21,289,4.686274509803922
7283156,4,B00ZJYVK5G,I hope these are restored and Un-Cut.  I noticed on the DVD in Frankenstein Must be Destroyed some on the scenes were cut. During the brain surgery scene I remember more gruesome scenes of removing the brain the freaked me out during the original release.  Seems that scene was cut for the DVD release.  Funny how some scenes just stay with you from your childhood.  This was and still is a fascinating movie with all the elements of horror like I mentioned that stays with you after watching.,1435622400,5,493,4.568181818181818
7283157,5,B00ZJYVK5G,Finally Warner Hammer boxset:  i hope we can have sparkling new 4K remasters and maybe some extras from the Mummy uk edition. Kudos Warners give us volume two quickly please.,1434240000,9,174,4.8
7283158,5,B00ZJYVK5G,i love the old classic horror movis with boris karloff and now i have jack nicolsons very first horror movie,1368403200,,108,4.45
7283159,3,B00ZJYVK5G,Good...,1458259200,,7,7.0
7283160,4,B00ZJYVK5G,"Three of the best Hammer horrors (plus the merely okay ""Taste the Blood of Dracula"") in good transfers.  The price may be a few bucks too high considering the lack of extras, but absolutely worthwhile for fans.",1453334400,,210,4.675675675675675
