,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
7329280,1,B0117UHFU4,"Extremely disappointed in Amazon.  This is classical price rigging at its finest, and since they have exclusivity rights, there's literally no reason to think this absurd price will change anytime soon.

So, congratulations Amazon.  This deal, which I assume you paid A LOT of money for, has pretty much cost you more sales than you could have imagined.  If these reviews, comments, complaints, and rants on various different sites are anything to go by.  I can just pray that Marvel and ABC have learned their lesson for the third season to NOT try this again.

Until then, import it is.",1442534400,110,588,4.83
7329281,5,B0117UHFU4,awesome show!,1441670400,,13,6.0
7329282,5,B0117UHFU4,"First episodes were a bit boring but it gets better and better! Keep watching, I'm glad I did.
I really like the little references to other Marvel movies. Skye is awesome! 2nd season was the best of 2015.",1441584000,,204,4.394736842105263
7329283,5,B0117UHFU4,"****************** UPDATE: Sept 22.
Back down to $54.99 as of this morning, Better but still should be in the $40s.
****************** UPDATE: Sept 19.
While I am glad I pre-ordered this at $54.99, I was hoping that with the low price guarantee that the price would go down, not up...way up. Amazon should be ashamed gouging their customers at $71.99 on the day of release. However, that will not lower my star rating for the series itself, as those 5 stars were earned. Amazon, however, gets 0 stars for extreme price fixing on this ""exclusive.""
****************** ORIGINAL REVIEW
Season 2 definitely takes off where Season 1 ended, with S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement, and Logistics Division) having collapsed due to extensive infiltration by Hydra. The principal cast, consisting of Clark Gregg (Phil Coulsen), Ming-Na Wen (Melinda May), Brett Dalton Grant Ward), Chloe Bennet (Skye), Iain De Caestecker (Leo Fitz), and Elizabeth Henstridge (Jenna Simmons) are joined by Nick Blood (Lance Hunter) and Adrianne Palicki (Bobbi Morse) and all turn in excellent performances. There is a lot more action and suspense in year two with various sub-plots occurring to keep you on your toes. The very much improved special effects simply adds to the overall value. One of the aspects that makes the Marvel Cinematic Universe so great happens to be the wealth of characters and being able to draw on them. Appearances by Lady Sif (Jaimie Alexander), Timothy ""Dum Dum"" Dugan (Neal McDonough), Peggy Carter (Hayley Atwell) and Maria Hill (Cobie Smulders), to name a few, along with interweaving story arcs from the movies adds a great deal to the entertainment of the series. Then, let's just add some outstanding Edward James Olmos (as Robert Gonzales) into the mix and see where you peg him. If you followed Season 1 during the building stage of this intricate show then you really need to get Season 2. IMO this is a definite must have for Marvel Cinematic Universe fans. Pre-ordered and waiting. Highly recommended.",1439424000,21,2038,5.123123123123123
7329284,5,B0117UHFU4,Such a good show! Season 1 is mainly setting up everything for an unbelievable season 2.,1438905600,,88,4.5625
7329285,5,B0117UHFU4,"This show is fantastic. Granted, it did start off a bit slow in season one (often times felt like a procedural), but it offered great character development. However, after the midseason break, it came back firing on all cylinders! It really outdid itself during the Uprising arc. Season two was just as intense and thrilling, introducing us to new characters that upped the stakes for the six original agents. The plot is complex, but not overwhelming, and the action scenes are incredible, two stand-outs are May vs. May and Skye vs. HYDRA.

Agents of SHIELD has become a great show. It has you on the edge of your seat, and something is always happening. Even when you think all is calm- for example, five seconds before the end of the season finale, BAM, it just hits you.",1438646400,13,775,4.656934306569343
7329286,5,B0117UHFU4,This is a very Excellent show with great character development!  I enjoy watching it and always look forward to the next episode.  I can't wait for season 3.,1438128000,10,157,4.571428571428571
7329287,5,B0117UHFU4,I thoroughly enjoyed this season and cannot wait until season 3,1438128000,11,63,4.818181818181818
7329288,5,B0117UHFU4,"Agents of SHIELD starts very slowly in season 1, but it all pays off here in season 2. Each episode is packed with action and intrigue. The characters are well developed and their relationships are interesting. This season deals with the fallout and consequences of season 1 and Captain America: The Winter Soldier. This is a spy show. You honestly don't know who's on whose side until the very end. Special effects are a major improvement over season 1, some scenes towards the end especially look like they belong in a movie. 5 out of 5, highly recommended for any fan of the Marvel Cinematic Universe. Crosses over with Avengers: Age of Ultron after episode 19 for those who want to know.",1438041600,21,691,4.672131147540983
7329289,1,B0117UHFU4,"ABC is good at canceling their own shows, but this one never should have been made.",1438041600,3,83,4.25
7329290,4,B0117UHFU4,Great,1529280000,,5,5.0
7329291,5,B0117UHFU4,Great show!,1529193600,,11,5.0
7329292,5,B0117UHFU4,Gave as a gift.,1527897600,,15,3.0
7329293,5,B0117UHFU4,love the series,1527120000,,15,4.333333333333333
7329294,5,B0117UHFU4,Really like this show but cannot find a DVD that is Region 1. Unfortunately Netflix produced Season 2 and when I tried to buy a DVD from them they did not have it only wanted to download. I want the DVD.,1527120000,,203,3.975609756097561
7329295,5,B0117UHFU4,"IT the MCU whats not to love. Phil Coulson is my hero, and Daisy is so awesome. Have the 'hots for' Melinda May she can rescue me anytime.",1526688000,,138,3.9642857142857144
7329296,1,B0117UHFU4,Its no good it didn't work as the last one I bought no more buying agent shield,1524441600,,79,3.7058823529411766
7329297,5,B0117UHFU4,"I like the series very much although I live in Mexico and I like to buy with subtitles in Spanish, this time I can share with an American to see the series with subtitles in English considering that he is deaf due to an accident he had",1523664000,,235,4.0212765957446805
7329298,5,B0117UHFU4,good show,1519516800,,9,4.0
7329299,1,B0117UHFU4,I tried to play the disc and my blu-ray player refused to play the disc and the reason it gave me was because the regional code was not for the United states.,1519430400,,158,3.96875
7329300,5,B0117UHFU4,"I enjoyed season 2 more than the first season.  Don't recall exactly why off-hand, as it's been a few years now.

I just wish that the powers that be would finally release the 3rd and 4th seasons.  I think the show is on season 5 or 6 now and season 2 was the last season released on a proper official release.  That's shameful.  Those season 3 & season 4 sets you'll see for sale in places are bootleg sets from what the people in the know tell me.",1519084800,,449,4.056818181818182
7329301,5,B0117UHFU4,Great series and the alert to buy it for under twelve dollars worked out well! But don't promise Sunday delivery unless you follow through.,1518739200,,139,4.833333333333333
7329302,5,B0117UHFU4,Great,1518393600,,5,5.0
7329303,5,B0117UHFU4,Awesome series. So glad it is on Blu-Rau,1517529600,,40,4.125
7329304,1,B0117UHFU4,We were unable to view the video b/c it was the EU version. Had to return it. Want to have an American version so we can see the season. Really liked season 1 and would like to see season 2-4. Can you help?,1517011200,,206,3.813953488372093
7329305,4,B0117UHFU4,"I love this show. The video and audio are perfect on Blu-ray. However, this release doesn't have any special features. Special features for tv show DVD and Blu-ray release has been a standard for a while. If you love the show and just want to watch it then this is perfect. But if you want anything more than that your going to be disappointed.",1517011200,,344,4.390625
7329306,5,B0117UHFU4,"Great product, affordable price, fast delivery",1516838400,,46,6.833333333333333
7329307,5,B0117UHFU4,Shipped fast. Was exactly like the description said,1516838400,,51,5.5
7329308,1,B0117UHFU4,Would not play in a U.S. player. Had to return it. Bummer because it was bought as a gift,1515456000,,89,3.736842105263158
7329309,5,B0117UHFU4,its a gift,1513728000,,10,2.6666666666666665
7329310,2,B0117UHFU4,I love this series but just a heads up this particular DVD set is not playable in the US.,1513123200,,89,3.736842105263158
7329311,5,B0117UHFU4,Great 2nd season.,1512432000,,17,5.0
7329312,5,B0117UHFU4,"If you liked season 1, what are you waiting for?  Great series, many surprises.",1509667200,,79,4.642857142857143
7329313,5,B0117UHFU4,great,1509667200,,5,5.0
7329314,4,B0117UHFU4,"Another good season.  Again far fetched, but again what you can expect with MARVEL!",1509235200,,83,4.928571428571429
7329315,5,B0117UHFU4,Easily my favorite Marvel TV series,1507680000,,35,5.0
7329316,5,B0117UHFU4,Really love the show alot,1507334400,,25,4.2
7329317,5,B0117UHFU4,Always have been a big fan of Marvel & Love the TV Show,1505865600,,55,3.3076923076923075
7329318,3,B0117UHFU4,My DVD case came broken so it doesn't shut properly.,1505865600,,52,4.3
7329319,5,B0117UHFU4,"Just started watching the series, season 4, so it's been nice to catch up. Quality of DVD was excellent, however I missed the Play All feature in the main menu. I like to watch a full disk at one shot when I have the time. It was tedious to return to the main menu to get to the next episode.  It's difficult to offer a complete review without offering up more in spoilers than anyone would appreciate. I will say that this season was a little darker than the first one. The lighter moments were infrequent. Treachery and deceit are a heavy emphasis. However it's still a must watch season.  We're introduced to new characters: Hunter, Bobbi and Mack. Most important - we get answers to a lot of the questions raised in season 1: What happened to May in Bahrain? Who is her ex-husband? What is Skye's destiny? Who are her parents? What is Fitz's condition? What is Coulson writing on the wall? Enjoy!",1505433600,,900,4.448484848484848
7329320,5,B0117UHFU4,Very nice,1505347200,,9,4.0
7329321,5,B0117UHFU4,Love this series.,1504396800,,17,5.0
7329322,5,B0117UHFU4,One of the best shows on TV.,1504310400,,28,3.142857142857143
7329323,4,B0117UHFU4,Always action packed and with enough twists to keep you occupied.,1503964800,,65,5.0
7329324,5,B0117UHFU4,Perfect arrived right on time. I like it is good,1502236800,,48,3.9
7329325,1,B0117UHFU4,The wrong region was sent to me. can not play it in my DVD player. you might want to be a little more careful about that. I do live in the United States.,1502236800,,153,3.6666666666666665
7329326,5,B0117UHFU4,The 1st one I got was also the wrong region. The second one I purchase was the right region.,1502064000,,92,3.8947368421052633
7329327,5,B0117UHFU4,Happy it works and came asap..Now I just gotta order the third season..,1502064000,,71,4.538461538461538
7329328,5,B0117UHFU4,Enjoyed  both seasons alot.,1500681600,,27,5.75
7329329,5,B0117UHFU4,"This season lagged a bit but by the end, was coming around to bigger and better things.",1500681600,,87,4.176470588235294
7329330,5,B0117UHFU4,I have every MCU movie that has been released but my collection would not be complete without the connective tissue that is Agents of Shield.,1498089600,,141,4.68
7329331,4,B0117UHFU4,Never a dull moment. I do enjoy the thrilling moments.,1497744000,,54,4.5
7329332,5,B0117UHFU4,Interesting,1497657600,,11,11.0
7329333,5,B0117UHFU4,"If you like action, this is the series to buy...",1497225600,,48,3.9
7329334,5,B0117UHFU4,"Great show, even better shipping!!",1497139200,,34,6.0
7329335,4,B0117UHFU4,Daughter likes these shows!,1497139200,,27,6.0
7329336,4,B0117UHFU4,Great show! I'm giving it 4 stars because the package was puncture,1496620800,,66,4.583333333333333
7329337,3,B0117UHFU4,Yes,1496534400,,3,3.0
7329338,5,B0117UHFU4,Love this show!,1495756800,,15,4.333333333333333
7329339,5,B0117UHFU4,Completely awesome! Came just as expected and at a great price.,1495238400,,63,4.818181818181818
7329340,5,B0117UHFU4,Great follow up to the marvel movies season 2 was great,1493510400,,55,4.090909090909091
7329341,5,B0117UHFU4,Great show! Love this season and shipping was nice and fast. Only complaint is that I had to order international since for some reason they don't sell this American show in America? What?,1493424000,,187,4.696969696969697
