,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
7476780,5,B016P01W4G,"Pixar presents a heart warming 3D tale of a lost Dinosaur, Arlo, seeking the courage to face his fears and find his family, and his best friend, a tiny human who comically captures the traits of a dog more than a human, appropriately named Spot. The scenery is stunning in its artistry and realism, nicely contrasted with the more cartoonish features of the characters and dinosaurs.
Pixar steps out of the comfort zone, showing some mild cartoon violence of Spot taking apart a bug he's about to feed to his friend, along with cute critters becoming snacks for some other dinosaurs. In summary, the 3D is outstanding beyond expectations from Pixar's previous 3D entries, with a constant serving of above average depth, dimension and even some nice pop outs, blending with a beautiful adventure of a dino and his pet, journeying through the dangerous wilderness of an alternate time where the extinction event never happened. Don't miss it.",1448668800,10,940,4.955696202531645
7476781,5,B016P01W4G,Sweet movie.,1533254400,,12,5.5
7476782,5,B016P01W4G,Fun game,1532908800,,8,3.5
7476783,4,B016P01W4G,This film came out after Inside Out and before Finding Dory.,1532736000,,60,4.545454545454546
7476784,4,B016P01W4G,Great movie but why does a parent always have to die???,1532390400,,55,4.090909090909091
7476785,5,B016P01W4G,I wish more people would watch it because if they did it would be one of their favorites my grandson LOVES LOVES it!,1531699200,,116,4.086956521739131
7476786,5,B016P01W4G,"It was a feel good, worth watching movie.",1531353600,,41,4.25
7476787,5,B016P01W4G,Cute cute cute,1531094400,,14,4.0
7476788,5,B016P01W4G,Good kids movie,1531094400,,15,4.333333333333333
7476789,5,B016P01W4G,First time watching this and loved it. A little sad in places!,1531008000,,62,4.25
7476790,5,B016P01W4G,Lovely movie that had the kids enthralled the entire time. Even the adults loved it.,1530921600,,84,4.666666666666667
7476791,3,B016P01W4G,My child is in love!,1530662400,,20,3.2
7476792,5,B016P01W4G,"We watched this movie with our 2 years old daughter, and we had a great night! She loves the dinosaur, even there was no dialogue, she understood the story, and cried in the end... sometimes sad music made her sad too. If you have a little one at home, this movie is a great choice!",1530489600,,282,4.1454545454545455
7476793,5,B016P01W4G,good and sad.,1530230400,,13,3.6666666666666665
