,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
7498071,5,B0179PIRQC,I love indie horror and this did not disappoint. Great storyline and acting was on point! Tammy Jean did an amazing job making me believe she was crazy. Asta also really did a fantastic job. It kept me on the edge of my seat the entire movie. Loved the music choice and what a great ending! Hope to see more movies from these directors. Definitely recommend!,1456099200,5,358,4.4393939393939394
7498072,2,B0179PIRQC,"I would say it should be called psychopath instead of sociopath, the movie was a B movie at best it was boring at times and overall it sucked",1455926400,2,141,4.071428571428571
7498073,1,B0179PIRQC,Bad all around.,1455580800,2,15,4.333333333333333
7498074,3,B0179PIRQC,"Mara (Tammy Jean) is a psycho-lesbian killer who makes up her victims as dolls. When Kat (Asta Paredes) enters her life, she doesn't want to kill her, but this causes other issues.

The characters were shallow. Acting wasn't much to speak about. The film was rather pointless.

F-bomb, F/F sex, ample nudity. 3 stars for the nudity.",1455408000,3,332,4.807017543859649
7498075,3,B0179PIRQC,"How in the world did this movie get such high ratings?The only thing I saw redeemable about it was the storyline. But the acting,the effects & the music were horrible. Also the ending was stupid.",1455321600,2,195,4.6
7498076,5,B0179PIRQC,"Blood, guts and beautiful girls...need I say more?",1455148800,7,50,5.375
7498077,1,B0179PIRQC,This was one of the most stupid films i have seen in a while with baaaad acting.,1455148800,3,80,3.764705882352941
7498078,4,B0179PIRQC,"Sociopathia focuses on Mara (Tammy Jean), an introverted woman who creates costumes for low-budget movies. Her reclusive persona, however, conceals an uncontrollable impulse to kill. When shes hired by Kat (Asta Paredes), an up-and-coming producer, the two instantly hit it off. As their relationship grows more intense, Mara begins to lose her already tenuous grip on reality.

Films about psychopaths are usually intriguing, and Sociopathia falls squarely in that category. We watch Mara with voyeuristic interest as she goes about her Jekyll/Hyde life, a quiet, reserved young woman who at times becomes a maniacal murderer. Unlike fantasy horror films about monsters and supernatural creatures, those centering on mental aberration are not only creepy, but possible, as newspaper headlines attest. So films about such disturbed people register more strongly. Norman Bates in Psycho set the standard of an apparently normal person with a horrifying secret. Mara joins that group of movie characters.

Ms. Jean shoulders most of the films dramatic and terror moments. She believably conveys a woman with a double life, and because of this, we remain involved. The final section of the film appears rushed and perfunctory, tying things together far too quickly and unimaginatively, but those who like their horror films with plenty of blood and gore won't be disappointed.

Bonus features on the widescreen DVD release include deleted scenes, a black-and-white version, and trailer.",1454803200,8,1483,5.524229074889868
7498079,5,B0179PIRQC,"I was lucky enough to catch this film in the lower east side of New York city for its theater premier. It was a wonderful night and the film's directors and some of the cast attended. I was not sure what to expect as the film begun, knowing only it was a horror film and that I certainly am a horror fan. I am interested in independent films, and when one like this is released, I make an effort to try to see it.
The movie was fantastic. It was a slow and moody burner building from the first scene. I was not sure what was going to take place but I knew something was brewing. A dark constrictive, almost claustrophobic atmosphere engrosses this film as we meet Mara, a film prop designer by day, and a sick twisted killer by night. She is clearly conflicted, caught in a battle between living a normal productive life and giving in to her dark twisted desires. She is a quiet seductive black widow, luring beautiful love interests into her life, but then eventually submitting to her dark side and killing them. Mara is not the love them and leave them type. She is a love them and keep them type as she builds her own dead girl menagerie in her home's basement. I do not want to give too much plot away as this film is also a thriller with some twists, so all I can say is if you like movies like Maniac or American Mary, then dive into the madness and see for yourself.",1452988800,7,1374,4.208333333333333
7498080,5,B0179PIRQC,"Ruby LaRocca & Rich Mallery Team-Up to Bring us this Spectacular, Surreal, Psychopathic, Sexual Slicer Flik !!!
There's Plenty of Beautiful Naked Ladies, Satisfying themselves& the Observant Viewer !
  The Cast is Superb, led by Tammy Jean as the Lesbian Collector of Ladies, ""Mara"" ! Her Mood Swings & Facial Changes are Phenominal; & Her Obsessions Know No Bounds ! It is nice that although ""Mara"" prefers the Ladies Sexually, She is a BiSexual Murderer ! Asta Paredes is Her Preferred Lover ""Kat"", who may be the Answer to her Dreams. Nicola Fiore is ""Roxy"", her troubled Lover, who Inspires ""Mara's"" Chosen Path .
Beautiful Ruby LaRocca even appears as the Once-Living-Doll ""Emily""; & Rich Mallery Portrays ""Garrett"" ! The rest of the Cast is Much Much More than Adequate, with Terrific Talent & Gorgeous Sexy Ladies !!!
  The Blood, Gore, & Weaponry is just Perfectly Spread Out Throughout this Marvelous Psycho-Sexual Psycho-Drama !!!
I Suggest that YOU Don't Upset ""Mara"" anymore than She already is !!!
Watch ""SOCIOPATHIA"" !!!",1477267200,2,1034,5.064705882352941
7498081,1,B0179PIRQC,This has to be one of the worst movies my husband and I have ever seen. To call it a B movie is too good for it. It has a very thin story line and I would wager a guess that the actors have had no previous  acting experience. If you have about an hr and a half of time to waste that you never want to get back or get anything out if this movie may be for you.,1464480000,4,359,3.4875
7498082,1,B0179PIRQC,"If I could give no stars I would...worst movie, like a terrible student film. Acting was abismal. Wish I could get my money back.",1461715200,2,129,4.416666666666667
7498083,2,B0179PIRQC,"If you're a horror buff, it's a decent movie.  The lead actress is really very good in a role that has her cycling through personas at a mile per minute.  But the rest of the actors aren't as skilled, they could well have just come to the set from an amateur porn film.  There is gore, though the effects look low budget and sometimes I cringed at the fakiness of it all.  The writers had a promising idea, the cast and production just couldn't pull it off in a satisfying way.",1461456000,6,477,4.208791208791209
7498084,4,B0179PIRQC,"Basically Sociopathia feels almost like a remake of the Maniac remake.  The biggest difference is that the killer is a woman.
I don't get it.  So many people criticize the acting in this film, yet most people had no problems with the terrible acting in The Blair Witch film.
Some of the acting is flawed, but it doesn't hurt the movie much.  A lot of this film is still very effective.  The actresses are attractive and get nekkid.  The atmosphere is creepy.  It's not boring, and the character development is pretty damned good too.
Watch the Maniac movies first, as the original, and remake are better than this film.  However, as far as Maniac ripoffs go, this is one of the better ones.",1461024000,8,690,4.560975609756097
7498085,5,B0179PIRQC,"Very suspenseful, psychological thriller.  The dialogue, acting and direction were excellent.",1456617600,3,93,7.454545454545454
7498086,2,B0179PIRQC,"If you're expecting an actual horror film, pass on this. The accurate genre is exploitation, B-Horror in the vein of Ilsa: She Wolf of the SS. Lots of girl on girl action, a bit of gore, an outrageous story line that allows for gross things to happen such as the psycho lead bathing with a corpse. As a part of this genre, eh, the film works--there's a story line. I laughed more than I think I was intended to. But, it's cheaply made and the acting is mostly horrible. Unless you have a taste for this sort of thing, keep looking for something else.",1456531200,5,550,4.298076923076923
